,date,value,name_B078YP7XL5
0,2018-07-13,15751.0,String Lights
1,2018-07-14,15751.0,String Lights
2,2018-07-15,10776.0,String Lights
3,2018-07-16,12604.0,String Lights
4,2018-07-17,8223.0,String Lights
5,2018-07-18,8223.0,String Lights
6,2018-07-19,11739.0,String Lights
7,2018-07-20,10337.0,String Lights
8,2018-07-21,11413.0,String Lights
9,2018-07-22,15152.0,String Lights
10,2018-07-23,16974.0,String Lights
11,2018-07-24,9094.0,String Lights
12,2018-07-25,11433.0,String Lights
13,2018-07-26,13136.0,String Lights
14,2018-07-27,13136.0,String Lights
15,2018-07-28,13136.0,String Lights
16,2018-07-29,22338.0,String Lights
17,2018-07-30,22096.0,String Lights
18,2018-07-31,21238.0,String Lights
19,2018-08-01,37837.0,String Lights
20,2018-08-02,37837.0,String Lights
21,2018-08-03,26631.0,String Lights
22,2018-08-04,26631.0,String Lights
23,2018-08-05,19677.0,String Lights
24,2018-08-06,19677.0,String Lights
25,2018-08-07,10531.0,String Lights
26,2018-08-08,10531.0,String Lights
27,2018-08-09,10531.0,String Lights
28,2018-08-10,10531.0,String Lights
29,2018-08-11,20798.0,String Lights
30,2018-08-12,20798.0,String Lights
31,2018-08-13,18712.0,String Lights
32,2018-08-14,18712.0,String Lights
33,2018-08-15,17287.0,String Lights
34,2018-08-16,12958.0,String Lights
35,2018-08-17,12958.0,String Lights
36,2018-08-18,12958.0,String Lights
37,2018-08-19,16630.0,String Lights
38,2018-08-20,11471.0,String Lights
39,2018-08-21,11471.0,String Lights
40,2018-08-22,11471.0,String Lights
41,2018-08-23,11471.0,String Lights
42,2018-08-24,26473.0,String Lights
43,2018-08-25,26473.0,String Lights
44,2018-08-26,15687.0,String Lights
45,2018-08-27,15687.0,String Lights
46,2018-08-28,16528.0,String Lights
47,2018-08-29,28988.0,String Lights
48,2018-08-30,15567.0,String Lights
49,2018-08-31,15567.0,String Lights
50,2018-09-01,15847.0,String Lights
51,2018-09-02,15847.0,String Lights
52,2018-09-03,14134.0,String Lights
53,2018-09-04,14134.0,String Lights
