,date,value,name_B08S7NLY7N
0,2021-01-15,6166.0,Collagen
1,2021-01-16,6153.0,Collagen
2,2021-01-17,6153.0,Collagen
3,2021-01-18,6153.0,Collagen
4,2021-01-19,6945.0,Collagen
5,2021-01-20,6945.0,Collagen
6,2021-01-21,6945.0,Collagen
7,2021-01-22,6945.0,Collagen
8,2021-01-23,7082.0,Collagen
9,2021-01-24,7082.0,Collagen
10,2021-01-25,7082.0,Collagen
11,2021-01-26,6049.0,Collagen
12,2021-01-27,5968.0,Collagen
13,2021-01-28,5968.0,Collagen
14,2021-01-29,5968.0,Collagen
15,2021-01-30,6244.0,Collagen
16,2021-01-31,6244.0,Collagen
17,2021-02-01,5363.0,Collagen
18,2021-02-02,5363.0,Collagen
19,2021-02-03,4640.0,Collagen
20,2021-02-04,4640.0,Collagen
21,2021-02-05,3927.0,Collagen
22,2021-02-06,3810.0,Collagen
23,2021-02-07,3810.0,Collagen
24,2021-02-08,3644.0,Collagen
25,2021-02-09,3644.0,Collagen
26,2021-02-10,6909.0,Collagen
27,2021-02-11,6909.0,Collagen
28,2021-02-12,6909.0,Collagen
29,2021-02-13,6949.0,Collagen
30,2021-02-14,6949.0,Collagen
31,2021-02-15,6949.0,Collagen
32,2021-02-16,6793.0,Collagen
33,2021-02-17,6793.0,Collagen
34,2021-02-18,4722.0,Collagen
35,2021-02-19,4722.0,Collagen
36,2021-02-20,5696.0,Collagen
37,2021-02-21,5696.0,Collagen
38,2021-02-22,5696.0,Collagen
39,2021-02-23,6789.0,Collagen
40,2021-02-24,6789.0,Collagen
41,2021-02-25,6789.0,Collagen
42,2021-02-26,5951.0,Collagen
43,2021-02-27,5951.0,Collagen
44,2021-02-28,5951.0,Collagen
45,2021-03-01,5951.0,Collagen
46,2021-03-02,5951.0,Collagen
47,2021-03-03,6879.0,Collagen
48,2021-03-04,6879.0,Collagen
49,2021-03-05,5875.0,Collagen
50,2021-03-06,5875.0,Collagen
51,2021-03-07,5875.0,Collagen
52,2021-03-08,6653.0,Collagen
53,2021-03-09,6434.0,Collagen
54,2021-03-10,6434.0,Collagen
55,2021-03-11,6434.0,Collagen
56,2021-03-12,6384.0,Collagen
57,2021-03-13,6384.0,Collagen
58,2021-03-14,5861.0,Collagen
59,2021-03-15,5861.0,Collagen
60,2021-03-16,5861.0,Collagen
61,2021-03-17,6252.0,Collagen
62,2021-03-18,6275.0,Collagen
63,2021-03-19,5917.0,Collagen
64,2021-03-20,5917.0,Collagen
65,2021-03-21,5917.0,Collagen
66,2021-03-22,3172.0,Collagen
67,2021-03-23,3172.0,Collagen
68,2021-03-24,4856.0,Collagen
69,2021-03-25,6567.0,Collagen
70,2021-03-26,6567.0,Collagen
71,2021-03-27,6567.0,Collagen
72,2021-03-28,6567.0,Collagen
73,2021-03-29,12633.0,Collagen
74,2021-03-30,12633.0,Collagen
75,2021-03-31,12633.0,Collagen
76,2021-04-01,12633.0,Collagen
77,2021-04-02,6754.0,Collagen
78,2021-04-03,6754.0,Collagen
79,2021-04-04,6754.0,Collagen
80,2021-04-05,6754.0,Collagen
81,2021-04-06,6445.0,Collagen
82,2021-04-07,6445.0,Collagen
