,date,value,name_B0955G3KZY
0,2021-05-19,4872.0,Kitchen & Dining Features
1,2021-05-20,5430.0,Kitchen & Dining Features
2,2021-05-21,5430.0,Kitchen & Dining Features
3,2021-05-22,4826.0,Kitchen & Dining Features
4,2021-05-23,5276.0,Kitchen & Dining Features
5,2021-05-24,5276.0,Kitchen & Dining Features
6,2021-05-25,5248.0,Kitchen & Dining Features
7,2021-05-26,6514.0,Kitchen & Dining Features
8,2021-05-27,6514.0,Kitchen & Dining Features
9,2021-05-28,4574.0,Kitchen & Dining Features
10,2021-05-29,4574.0,Kitchen & Dining Features
11,2021-05-30,3820.0,Kitchen & Dining Features
12,2021-05-31,3814.0,Kitchen & Dining Features
13,2021-06-01,4615.0,Kitchen & Dining Features
14,2021-06-02,4024.0,Kitchen & Dining Features
15,2021-06-03,4024.0,Kitchen & Dining Features
16,2021-06-04,2934.0,Kitchen & Dining Features
17,2021-06-05,2929.0,Kitchen & Dining Features
18,2021-06-06,2929.0,Kitchen & Dining Features
19,2021-06-07,3067.0,Kitchen & Dining Features
20,2021-06-08,3007.0,Kitchen & Dining Features
21,2021-06-09,3007.0,Kitchen & Dining Features
22,2021-06-10,2211.0,Kitchen & Dining Features
23,2021-06-11,2236.0,Kitchen & Dining Features
24,2021-06-12,2236.0,Kitchen & Dining Features
25,2021-06-13,1836.0,Kitchen & Dining Features
26,2021-06-14,1968.0,Kitchen & Dining Features
27,2021-06-15,2023.0,Kitchen & Dining Features
28,2021-06-16,2183.0,Kitchen & Dining Features
29,2021-06-17,1539.0,Kitchen & Dining Features
30,2021-06-18,1737.0,Kitchen & Dining Features
31,2021-06-19,1686.0,Kitchen & Dining Features
32,2021-06-20,1686.0,Kitchen & Dining Features
33,2021-06-21,1405.0,Kitchen & Dining Features
34,2021-06-22,2810.0,Kitchen & Dining Features
35,2021-06-23,2810.0,Kitchen & Dining Features
36,2021-06-24,2672.0,Kitchen & Dining Features
37,2021-06-25,2576.0,Kitchen & Dining Features
38,2021-06-26,2576.0,Kitchen & Dining Features
39,2021-06-27,2576.0,Kitchen & Dining Features
40,2021-06-28,2233.0,Kitchen & Dining Features
41,2021-06-29,2159.0,Kitchen & Dining Features
42,2021-06-30,2343.0,Kitchen & Dining Features
43,2021-07-01,2685.0,Kitchen & Dining Features
44,2021-07-02,3155.0,Kitchen & Dining Features
45,2021-07-03,2953.0,Kitchen & Dining Features
46,2021-07-04,3035.0,Kitchen & Dining Features
47,2021-07-05,3035.0,Kitchen & Dining Features
48,2021-07-06,4147.0,Kitchen & Dining Features
49,2021-07-07,4997.0,Kitchen & Dining Features
50,2021-07-08,4620.0,Kitchen & Dining Features
51,2021-07-09,5791.0,Kitchen & Dining Features
52,2021-07-10,5791.0,Kitchen & Dining Features
53,2021-07-11,5906.0,Kitchen & Dining Features
