,date,value,name_B07Z3Y46JQ
0,2020-05-27,5225.0,Feather Toys
1,2020-05-28,5225.0,Feather Toys
2,2020-05-29,5225.0,Feather Toys
3,2020-05-30,4195.0,Feather Toys
4,2020-05-31,4195.0,Feather Toys
5,2020-06-01,4195.0,Feather Toys
6,2020-06-02,4348.0,Feather Toys
7,2020-06-03,4348.0,Feather Toys
8,2020-06-04,4348.0,Feather Toys
9,2020-06-05,2471.0,Feather Toys
10,2020-06-06,2471.0,Feather Toys
11,2020-06-07,1731.0,Feather Toys
12,2020-06-08,1731.0,Feather Toys
13,2020-06-09,1731.0,Feather Toys
14,2020-06-10,1816.0,Feather Toys
15,2020-06-11,1816.0,Feather Toys
16,2020-06-12,1816.0,Feather Toys
17,2020-06-13,2357.0,Feather Toys
18,2020-06-14,3000.0,Feather Toys
19,2020-06-15,3000.0,Feather Toys
20,2020-06-16,3000.0,Feather Toys
21,2020-06-17,3922.0,Feather Toys
22,2020-06-18,3954.0,Feather Toys
23,2020-06-19,3954.0,Feather Toys
24,2020-06-20,3954.0,Feather Toys
25,2020-06-21,5980.0,Feather Toys
26,2020-06-22,5980.0,Feather Toys
27,2020-06-23,5980.0,Feather Toys
28,2020-06-24,6097.0,Feather Toys
29,2020-06-25,6097.0,Feather Toys
30,2020-06-26,6097.0,Feather Toys
31,2020-06-27,6097.0,Feather Toys
32,2020-06-28,4052.0,Feather Toys
33,2020-06-29,3392.0,Feather Toys
34,2020-06-30,3392.0,Feather Toys
35,2020-07-01,3392.0,Feather Toys
36,2020-07-02,4755.0,Feather Toys
37,2020-07-03,4557.0,Feather Toys
38,2020-07-04,4557.0,Feather Toys
39,2020-07-05,4557.0,Feather Toys
40,2020-07-06,4031.0,Feather Toys
41,2020-07-07,4031.0,Feather Toys
42,2020-07-08,4031.0,Feather Toys
43,2020-07-09,4899.0,Feather Toys
44,2020-07-10,4899.0,Feather Toys
45,2020-07-11,4899.0,Feather Toys
46,2020-07-12,4586.0,Feather Toys
47,2020-07-13,4586.0,Feather Toys
48,2020-07-14,5142.0,Feather Toys
49,2020-07-15,5359.0,Feather Toys
50,2020-07-16,5171.0,Feather Toys
51,2020-07-17,5171.0,Feather Toys
52,2020-07-18,5171.0,Feather Toys
53,2020-07-19,4944.0,Feather Toys
54,2020-07-20,4944.0,Feather Toys
55,2020-07-21,4944.0,Feather Toys
56,2020-07-22,4944.0,Feather Toys
57,2020-07-23,4787.0,Feather Toys
58,2020-07-24,4787.0,Feather Toys
59,2020-07-25,4787.0,Feather Toys
60,2020-07-26,6003.0,Feather Toys
61,2020-07-27,6003.0,Feather Toys
62,2020-07-28,5120.0,Feather Toys
63,2020-07-29,5120.0,Feather Toys
64,2020-07-30,4767.0,Feather Toys
65,2020-07-31,4767.0,Feather Toys
66,2020-08-01,4767.0,Feather Toys
67,2020-08-02,4432.0,Feather Toys
68,2020-08-03,4432.0,Feather Toys
69,2020-08-04,3742.0,Feather Toys
70,2020-08-05,3742.0,Feather Toys
71,2020-08-06,4786.0,Feather Toys
72,2020-08-07,4667.0,Feather Toys
73,2020-08-08,4667.0,Feather Toys
74,2020-08-09,4667.0,Feather Toys
75,2020-08-10,5120.0,Feather Toys
76,2020-08-11,5530.0,Feather Toys
77,2020-08-12,5530.0,Feather Toys
78,2020-08-13,5530.0,Feather Toys
79,2020-08-14,4182.0,Feather Toys
80,2020-08-15,4182.0,Feather Toys
81,2020-08-16,4066.0,Feather Toys
82,2020-08-17,4066.0,Feather Toys
83,2020-08-18,4066.0,Feather Toys
84,2020-08-19,5019.0,Feather Toys
85,2020-08-20,5019.0,Feather Toys
86,2020-08-21,4907.0,Feather Toys
87,2020-08-22,4907.0,Feather Toys
88,2020-08-23,4907.0,Feather Toys
89,2020-08-24,5377.0,Feather Toys
90,2020-08-25,5377.0,Feather Toys
91,2020-08-26,5755.0,Feather Toys
92,2020-08-27,5755.0,Feather Toys
93,2020-08-28,4198.0,Feather Toys
94,2020-08-29,4198.0,Feather Toys
95,2020-08-30,4198.0,Feather Toys
96,2020-08-31,5007.0,Feather Toys
97,2020-09-01,5007.0,Feather Toys
98,2020-09-02,5007.0,Feather Toys
99,2020-09-03,4921.0,Feather Toys
100,2020-09-04,4921.0,Feather Toys
101,2020-09-05,4704.0,Feather Toys
102,2020-09-06,4704.0,Feather Toys
103,2020-09-07,4704.0,Feather Toys
104,2020-09-08,5317.0,Feather Toys
105,2020-09-09,5317.0,Feather Toys
