,date,value,name_B08WNM5RCJ
0,2021-02-19,105648.0,Repellents
1,2021-02-20,105648.0,Repellents
2,2021-02-21,56255.0,Repellents
3,2021-02-22,56255.0,Repellents
4,2021-02-23,62647.0,Repellents
5,2021-02-24,62647.0,Repellents
6,2021-02-25,65534.0,Repellents
7,2021-02-26,53486.0,Repellents
8,2021-02-27,53486.0,Repellents
9,2021-02-28,53486.0,Repellents
10,2021-03-01,53486.0,Repellents
11,2021-03-02,65203.0,Repellents
12,2021-03-03,33285.0,Repellents
13,2021-03-04,32983.0,Repellents
14,2021-03-05,35674.0,Repellents
15,2021-03-06,35674.0,Repellents
16,2021-03-07,35674.0,Repellents
17,2021-03-08,34314.0,Repellents
18,2021-03-09,34314.0,Repellents
19,2021-03-10,34314.0,Repellents
20,2021-03-11,26079.0,Repellents
21,2021-03-12,26079.0,Repellents
22,2021-03-13,26079.0,Repellents
23,2021-03-14,31519.0,Repellents
24,2021-03-15,38063.0,Repellents
25,2021-03-16,38063.0,Repellents
26,2021-03-17,19618.0,Repellents
27,2021-03-18,19618.0,Repellents
28,2021-03-19,22375.0,Repellents
29,2021-03-20,22375.0,Repellents
30,2021-03-21,22375.0,Repellents
31,2021-03-22,40208.0,Repellents
32,2021-03-23,30276.0,Repellents
33,2021-03-24,53203.0,Repellents
34,2021-03-25,26200.0,Repellents
35,2021-03-26,26200.0,Repellents
36,2021-03-27,26200.0,Repellents
37,2021-03-28,26200.0,Repellents
38,2021-03-29,33788.0,Repellents
39,2021-03-30,33788.0,Repellents
40,2021-03-31,33788.0,Repellents
41,2021-04-01,42015.0,Repellents
42,2021-04-02,42015.0,Repellents
43,2021-04-03,42015.0,Repellents
44,2021-04-04,30127.0,Repellents
45,2021-04-05,39744.0,Repellents
46,2021-04-06,39744.0,Repellents
47,2021-04-07,52838.0,Repellents
48,2021-04-08,24262.0,Repellents
49,2021-04-09,24262.0,Repellents
50,2021-04-10,23352.0,Repellents
51,2021-04-11,23352.0,Repellents
52,2021-04-12,23352.0,Repellents
53,2021-04-13,25209.0,Repellents
54,2021-04-14,32789.0,Repellents
55,2021-04-15,32789.0,Repellents
56,2021-04-16,23205.0,Repellents
57,2021-04-17,23205.0,Repellents
58,2021-04-18,28812.0,Repellents
59,2021-04-19,28812.0,Repellents
60,2021-04-20,33720.0,Repellents
61,2021-04-21,27379.0,Repellents
62,2021-04-22,25068.0,Repellents
63,2021-04-23,25068.0,Repellents
64,2021-04-24,25068.0,Repellents
65,2021-04-25,25068.0,Repellents
66,2021-04-26,38939.0,Repellents
67,2021-04-27,38939.0,Repellents
68,2021-04-28,20328.0,Repellents
69,2021-04-29,20328.0,Repellents
70,2021-04-30,26548.0,Repellents
71,2021-05-01,26548.0,Repellents
72,2021-05-02,26548.0,Repellents
73,2021-05-03,29702.0,Repellents
74,2021-05-04,29702.0,Repellents
75,2021-05-05,17579.0,Repellents
76,2021-05-06,17579.0,Repellents
77,2021-05-07,20961.0,Repellents
78,2021-05-08,21607.0,Repellents
79,2021-05-09,21607.0,Repellents
80,2021-05-10,18088.0,Repellents
81,2021-05-11,17260.0,Repellents
82,2021-05-12,17260.0,Repellents
83,2021-05-13,12982.0,Repellents
84,2021-05-14,12982.0,Repellents
85,2021-05-15,14896.0,Repellents
86,2021-05-16,14896.0,Repellents
87,2021-05-17,15377.0,Repellents
88,2021-05-18,15377.0,Repellents
89,2021-05-19,15377.0,Repellents
90,2021-05-20,13835.0,Repellents
91,2021-05-21,13835.0,Repellents
92,2021-05-22,6938.0,Repellents
93,2021-05-23,6938.0,Repellents
94,2021-05-24,5667.0,Repellents
95,2021-05-25,5667.0,Repellents
96,2021-05-26,5281.0,Repellents
97,2021-05-27,5281.0,Repellents
98,2021-05-28,5540.0,Repellents
99,2021-05-29,5540.0,Repellents
100,2021-05-30,5540.0,Repellents
101,2021-05-31,7037.0,Repellents
102,2021-06-01,7037.0,Repellents
103,2021-06-02,6368.0,Repellents
104,2021-06-03,6368.0,Repellents
105,2021-06-04,4436.0,Repellents
106,2021-06-05,4604.0,Repellents
107,2021-06-06,4604.0,Repellents
108,2021-06-07,3668.0,Repellents
109,2021-06-08,3668.0,Repellents
110,2021-06-09,3733.0,Repellents
111,2021-06-10,3733.0,Repellents
112,2021-06-11,3724.0,Repellents
113,2021-06-12,3724.0,Repellents
114,2021-06-13,5186.0,Repellents
115,2021-06-14,5186.0,Repellents
116,2021-06-15,5186.0,Repellents
117,2021-06-16,3348.0,Repellents
118,2021-06-17,3348.0,Repellents
119,2021-06-18,2717.0,Repellents
120,2021-06-19,2717.0,Repellents
121,2021-06-20,3055.0,Repellents
122,2021-06-21,4167.0,Repellents
123,2021-06-22,4340.0,Repellents
124,2021-06-23,4340.0,Repellents
125,2021-06-24,4670.0,Repellents
126,2021-06-25,4704.0,Repellents
127,2021-06-26,4704.0,Repellents
128,2021-06-27,5697.0,Repellents
129,2021-06-28,5697.0,Repellents
130,2021-06-29,7310.0,Repellents
131,2021-06-30,6515.0,Repellents
132,2021-07-01,6500.0,Repellents
133,2021-07-02,6500.0,Repellents
134,2021-07-03,4455.0,Repellents
135,2021-07-04,4455.0,Repellents
136,2021-07-05,3755.0,Repellents
137,2021-07-06,3755.0,Repellents
138,2021-07-07,2758.0,Repellents
139,2021-07-08,3358.0,Repellents
140,2021-07-09,3358.0,Repellents
141,2021-07-10,2793.0,Repellents
