,date,value,name_B07HNNDB1K
0,2018-09-29,20355.0,Toy Bags & Nets
1,2018-09-30,20355.0,Toy Bags & Nets
2,2018-10-01,30964.0,Toy Bags & Nets
3,2018-10-02,45274.0,Toy Bags & Nets
4,2018-10-03,45274.0,Toy Bags & Nets
5,2018-10-04,45274.0,Toy Bags & Nets
6,2018-10-05,66331.0,Toy Bags & Nets
7,2018-10-06,32047.0,Toy Bags & Nets
8,2018-10-07,51626.0,Toy Bags & Nets
9,2018-10-08,51626.0,Toy Bags & Nets
10,2018-10-09,100458.0,Toy Bags & Nets
11,2018-10-10,34285.0,Toy Bags & Nets
12,2018-10-11,35968.0,Toy Bags & Nets
13,2018-10-12,41966.0,Toy Bags & Nets
14,2018-10-13,24139.0,Toy Bags & Nets
15,2018-10-14,24139.0,Toy Bags & Nets
16,2018-10-15,30034.0,Toy Bags & Nets
17,2018-10-16,30034.0,Toy Bags & Nets
18,2018-10-17,26499.0,Toy Bags & Nets
19,2018-10-18,34178.0,Toy Bags & Nets
20,2018-10-19,36946.0,Toy Bags & Nets
21,2018-10-20,36946.0,Toy Bags & Nets
22,2018-10-21,36946.0,Toy Bags & Nets
23,2018-10-22,36946.0,Toy Bags & Nets
24,2018-10-23,46377.0,Toy Bags & Nets
25,2018-10-24,46377.0,Toy Bags & Nets
26,2018-10-25,29017.0,Toy Bags & Nets
27,2018-10-26,29017.0,Toy Bags & Nets
28,2018-10-27,28581.0,Toy Bags & Nets
29,2018-10-28,28997.0,Toy Bags & Nets
30,2018-10-29,27655.0,Toy Bags & Nets
31,2018-10-30,27655.0,Toy Bags & Nets
32,2018-10-31,27655.0,Toy Bags & Nets
33,2018-11-01,24737.0,Toy Bags & Nets
34,2018-11-02,32778.0,Toy Bags & Nets
35,2018-11-03,32778.0,Toy Bags & Nets
36,2018-11-04,32778.0,Toy Bags & Nets
37,2018-11-05,32778.0,Toy Bags & Nets
38,2018-11-06,32778.0,Toy Bags & Nets
39,2018-11-07,32778.0,Toy Bags & Nets
40,2018-11-08,32778.0,Toy Bags & Nets
41,2018-11-09,16189.0,Toy Bags & Nets
42,2018-11-10,17545.0,Toy Bags & Nets
