,date,value,name_B08XY9H851
0,2021-03-09,11157.0,Herbal Supplements
1,2021-03-10,11157.0,Herbal Supplements
2,2021-03-11,11157.0,Herbal Supplements
3,2021-03-12,15419.0,Herbal Supplements
4,2021-03-13,15419.0,Herbal Supplements
5,2021-03-14,15419.0,Herbal Supplements
6,2021-03-15,19879.0,Herbal Supplements
7,2021-03-16,19879.0,Herbal Supplements
8,2021-03-17,19879.0,Herbal Supplements
9,2021-03-18,19879.0,Herbal Supplements
10,2021-03-19,18742.0,Herbal Supplements
11,2021-03-20,18742.0,Herbal Supplements
12,2021-03-21,18742.0,Herbal Supplements
13,2021-03-22,18742.0,Herbal Supplements
14,2021-03-23,22028.0,Herbal Supplements
15,2021-03-24,17249.0,Herbal Supplements
16,2021-03-25,17249.0,Herbal Supplements
17,2021-03-26,17249.0,Herbal Supplements
18,2021-03-27,19280.0,Herbal Supplements
19,2021-03-28,19280.0,Herbal Supplements
20,2021-03-29,19280.0,Herbal Supplements
21,2021-03-30,19280.0,Herbal Supplements
22,2021-03-31,34073.0,Herbal Supplements
23,2021-04-01,34073.0,Herbal Supplements
24,2021-04-02,34073.0,Herbal Supplements
25,2021-04-03,34073.0,Herbal Supplements
26,2021-04-04,34073.0,Herbal Supplements
27,2021-04-05,17104.0,Herbal Supplements
28,2021-04-06,17104.0,Herbal Supplements
29,2021-04-07,17104.0,Herbal Supplements
30,2021-04-08,12685.0,Herbal Supplements
31,2021-04-09,12685.0,Herbal Supplements
32,2021-04-10,12685.0,Herbal Supplements
33,2021-04-11,13765.0,Herbal Supplements
34,2021-04-12,13765.0,Herbal Supplements
35,2021-04-13,13765.0,Herbal Supplements
36,2021-04-14,13765.0,Herbal Supplements
37,2021-04-15,12336.0,Herbal Supplements
38,2021-04-16,12336.0,Herbal Supplements
39,2021-04-17,12336.0,Herbal Supplements
40,2021-04-18,11408.0,Herbal Supplements
41,2021-04-19,11408.0,Herbal Supplements
42,2021-04-20,10312.0,Herbal Supplements
43,2021-04-21,9817.0,Herbal Supplements
44,2021-04-22,13056.0,Herbal Supplements
45,2021-04-23,10686.0,Herbal Supplements
46,2021-04-24,10686.0,Herbal Supplements
47,2021-04-25,10686.0,Herbal Supplements
48,2021-04-26,13170.0,Herbal Supplements
49,2021-04-27,13170.0,Herbal Supplements
50,2021-04-28,13170.0,Herbal Supplements
51,2021-04-29,13908.0,Herbal Supplements
52,2021-04-30,13908.0,Herbal Supplements
53,2021-05-01,13908.0,Herbal Supplements
54,2021-05-02,13908.0,Herbal Supplements
55,2021-05-03,11765.0,Herbal Supplements
56,2021-05-04,11765.0,Herbal Supplements
57,2021-05-05,12692.0,Herbal Supplements
58,2021-05-06,12692.0,Herbal Supplements
59,2021-05-07,12692.0,Herbal Supplements
60,2021-05-08,12692.0,Herbal Supplements
61,2021-05-09,12692.0,Herbal Supplements
62,2021-05-10,11535.0,Herbal Supplements
63,2021-05-11,11535.0,Herbal Supplements
64,2021-05-12,11535.0,Herbal Supplements
65,2021-05-13,12635.0,Herbal Supplements
66,2021-05-14,12635.0,Herbal Supplements
67,2021-05-15,12635.0,Herbal Supplements
68,2021-05-16,12845.0,Herbal Supplements
69,2021-05-17,12845.0,Herbal Supplements
70,2021-05-18,12845.0,Herbal Supplements
71,2021-05-19,19256.0,Herbal Supplements
72,2021-05-20,23650.0,Herbal Supplements
73,2021-05-21,21782.0,Herbal Supplements
74,2021-05-22,21782.0,Herbal Supplements
75,2021-05-23,21782.0,Herbal Supplements
76,2021-05-24,21024.0,Herbal Supplements
77,2021-05-25,21024.0,Herbal Supplements
78,2021-05-26,21024.0,Herbal Supplements
79,2021-05-27,21544.0,Herbal Supplements
80,2021-05-28,21544.0,Herbal Supplements
81,2021-05-29,21544.0,Herbal Supplements
82,2021-05-30,21544.0,Herbal Supplements
