,date,value,name_B07L41V9V2
0,2020-05-30,47950.0,Vitamins & Dietary Supplements
1,2020-05-31,47950.0,Vitamins & Dietary Supplements
2,2020-06-01,47950.0,Vitamins & Dietary Supplements
3,2020-06-02,63653.0,Vitamins & Dietary Supplements
4,2020-06-03,63653.0,Vitamins & Dietary Supplements
5,2020-06-04,63653.0,Vitamins & Dietary Supplements
6,2020-06-05,63653.0,Vitamins & Dietary Supplements
7,2020-06-06,63653.0,Vitamins & Dietary Supplements
8,2020-06-07,63653.0,Vitamins & Dietary Supplements
9,2020-06-08,63653.0,Vitamins & Dietary Supplements
10,2020-06-09,63653.0,Vitamins & Dietary Supplements
11,2020-06-10,84721.0,Vitamins & Dietary Supplements
12,2020-06-11,84721.0,Vitamins & Dietary Supplements
13,2020-06-12,84721.0,Vitamins & Dietary Supplements
14,2020-06-13,84721.0,Vitamins & Dietary Supplements
15,2020-06-14,84721.0,Vitamins & Dietary Supplements
16,2020-06-15,84721.0,Vitamins & Dietary Supplements
17,2020-06-16,84721.0,Vitamins & Dietary Supplements
18,2020-06-17,84721.0,Vitamins & Dietary Supplements
19,2020-06-18,84721.0,Vitamins & Dietary Supplements
20,2020-06-19,84721.0,Vitamins & Dietary Supplements
21,2020-06-20,84721.0,Vitamins & Dietary Supplements
22,2020-06-21,84721.0,Vitamins & Dietary Supplements
23,2020-06-22,84721.0,Vitamins & Dietary Supplements
24,2020-06-23,84721.0,Vitamins & Dietary Supplements
25,2020-06-24,84721.0,Vitamins & Dietary Supplements
26,2020-06-25,84721.0,Vitamins & Dietary Supplements
27,2020-06-26,84721.0,Vitamins & Dietary Supplements
28,2020-06-27,84721.0,Vitamins & Dietary Supplements
29,2020-06-28,84721.0,Vitamins & Dietary Supplements
30,2020-06-29,84721.0,Vitamins & Dietary Supplements
31,2020-06-30,31610.0,Vitamins & Dietary Supplements
32,2020-07-01,31610.0,Vitamins & Dietary Supplements
33,2020-07-02,31610.0,Vitamins & Dietary Supplements
34,2020-07-03,31610.0,Vitamins & Dietary Supplements
35,2020-07-04,31610.0,Vitamins & Dietary Supplements
36,2020-07-05,31610.0,Vitamins & Dietary Supplements
37,2020-07-06,31610.0,Vitamins & Dietary Supplements
38,2020-07-07,31610.0,Vitamins & Dietary Supplements
39,2020-07-08,31610.0,Vitamins & Dietary Supplements
40,2020-07-09,31610.0,Vitamins & Dietary Supplements
41,2020-07-10,31610.0,Vitamins & Dietary Supplements
42,2020-07-11,31610.0,Vitamins & Dietary Supplements
43,2020-07-12,31610.0,Vitamins & Dietary Supplements
44,2020-07-13,31610.0,Vitamins & Dietary Supplements
45,2020-07-14,31610.0,Vitamins & Dietary Supplements
46,2020-07-15,31610.0,Vitamins & Dietary Supplements
47,2020-07-16,31610.0,Vitamins & Dietary Supplements
48,2020-07-17,44922.0,Vitamins & Dietary Supplements
49,2020-07-18,44922.0,Vitamins & Dietary Supplements
50,2020-07-19,44922.0,Vitamins & Dietary Supplements
51,2020-07-20,44922.0,Vitamins & Dietary Supplements
52,2020-07-21,44922.0,Vitamins & Dietary Supplements
53,2020-07-22,44922.0,Vitamins & Dietary Supplements
54,2020-07-23,44922.0,Vitamins & Dietary Supplements
55,2020-07-24,44922.0,Vitamins & Dietary Supplements
56,2020-07-25,44922.0,Vitamins & Dietary Supplements
57,2020-07-26,44922.0,Vitamins & Dietary Supplements
58,2020-07-27,44922.0,Vitamins & Dietary Supplements
59,2020-07-28,48491.0,Vitamins & Dietary Supplements
60,2020-07-29,48491.0,Vitamins & Dietary Supplements
61,2020-07-30,48491.0,Vitamins & Dietary Supplements
62,2020-07-31,48491.0,Vitamins & Dietary Supplements
63,2020-08-01,48491.0,Vitamins & Dietary Supplements
64,2020-08-02,48491.0,Vitamins & Dietary Supplements
65,2020-08-03,48491.0,Vitamins & Dietary Supplements
66,2020-08-04,48491.0,Vitamins & Dietary Supplements
67,2020-08-05,48491.0,Vitamins & Dietary Supplements
68,2020-08-06,45027.0,Vitamins & Dietary Supplements
69,2020-08-07,45027.0,Vitamins & Dietary Supplements
70,2020-08-08,45027.0,Vitamins & Dietary Supplements
71,2020-08-09,45027.0,Vitamins & Dietary Supplements
72,2020-08-10,45027.0,Vitamins & Dietary Supplements
73,2020-08-11,45027.0,Vitamins & Dietary Supplements
74,2020-08-12,45027.0,Vitamins & Dietary Supplements
75,2020-08-13,45027.0,Vitamins & Dietary Supplements
76,2020-08-14,45027.0,Vitamins & Dietary Supplements
77,2020-08-15,45027.0,Vitamins & Dietary Supplements
78,2020-08-16,45027.0,Vitamins & Dietary Supplements
79,2020-08-17,34039.0,Vitamins & Dietary Supplements
80,2020-08-18,34039.0,Vitamins & Dietary Supplements
81,2020-08-19,34039.0,Vitamins & Dietary Supplements
82,2020-08-20,38534.0,Vitamins & Dietary Supplements
83,2020-08-21,38534.0,Vitamins & Dietary Supplements
84,2020-08-22,38534.0,Vitamins & Dietary Supplements
85,2020-08-23,40941.0,Vitamins & Dietary Supplements
86,2020-08-24,40941.0,Vitamins & Dietary Supplements
87,2020-08-25,40941.0,Vitamins & Dietary Supplements
88,2020-08-26,56964.0,Vitamins & Dietary Supplements
89,2020-08-27,56964.0,Vitamins & Dietary Supplements
90,2020-08-28,56964.0,Vitamins & Dietary Supplements
