,date,value,name_B07VX3WJFJ
0,2019-08-09,950569.0,Decorative Bottles
1,2019-08-10,1073794.0,Decorative Bottles
2,2019-08-11,471059.0,Decorative Bottles
3,2019-08-12,588542.0,Decorative Bottles
4,2019-08-13,523960.0,Decorative Bottles
5,2019-08-14,581272.0,Decorative Bottles
6,2019-08-15,232077.0,Decorative Bottles
7,2019-08-16,305760.0,Decorative Bottles
8,2019-08-17,277745.0,Decorative Bottles
9,2019-08-18,263619.0,Decorative Bottles
10,2019-08-19,384576.0,Decorative Bottles
11,2019-08-20,513971.0,Decorative Bottles
12,2019-08-21,572565.0,Decorative Bottles
13,2019-08-22,644086.0,Decorative Bottles
14,2019-08-23,500908.0,Decorative Bottles
15,2019-08-24,353088.0,Decorative Bottles
16,2019-08-25,428911.0,Decorative Bottles
17,2019-08-26,488585.0,Decorative Bottles
18,2019-08-27,524028.0,Decorative Bottles
19,2019-08-28,509765.0,Decorative Bottles
20,2019-08-29,543027.0,Decorative Bottles
21,2019-08-30,285917.0,Decorative Bottles
22,2019-08-31,220448.0,Decorative Bottles
23,2019-09-01,219711.0,Decorative Bottles
24,2019-09-02,273716.0,Decorative Bottles
25,2019-09-03,209557.0,Decorative Bottles
26,2019-09-04,304936.0,Decorative Bottles
27,2019-09-05,264444.0,Decorative Bottles
28,2019-09-06,313932.0,Decorative Bottles
29,2019-09-07,157140.0,Decorative Bottles
30,2019-09-08,245154.0,Decorative Bottles
31,2019-09-09,359253.0,Decorative Bottles
32,2019-09-10,453292.0,Decorative Bottles
33,2019-09-11,484211.0,Decorative Bottles
34,2019-09-12,82128.0,Decorative Bottles
35,2019-09-13,185482.0,Decorative Bottles
36,2019-09-14,349915.0,Decorative Bottles
37,2019-09-15,206718.0,Decorative Bottles
38,2019-09-16,338889.0,Decorative Bottles
39,2019-09-17,173395.0,Decorative Bottles
40,2019-09-18,301321.0,Decorative Bottles
41,2019-09-19,239853.0,Decorative Bottles
42,2019-09-20,299009.0,Decorative Bottles
43,2019-09-21,131906.0,Decorative Bottles
