,date,value,name_B08ZDMZNP4
0,2021-03-20,1344.0,Unfinished Wood
1,2021-03-21,1344.0,Unfinished Wood
2,2021-03-22,1344.0,Unfinished Wood
3,2021-03-23,1280.0,Unfinished Wood
4,2021-03-24,1220.0,Unfinished Wood
5,2021-03-25,1220.0,Unfinished Wood
6,2021-03-26,1217.0,Unfinished Wood
7,2021-03-27,1217.0,Unfinished Wood
8,2021-03-28,1217.0,Unfinished Wood
9,2021-03-29,1244.0,Unfinished Wood
10,2021-03-30,1297.0,Unfinished Wood
11,2021-03-31,1441.0,Unfinished Wood
12,2021-04-01,1431.0,Unfinished Wood
13,2021-04-02,1372.0,Unfinished Wood
14,2021-04-03,1372.0,Unfinished Wood
15,2021-04-04,1426.0,Unfinished Wood
16,2021-04-05,1048.0,Unfinished Wood
17,2021-04-06,1213.0,Unfinished Wood
18,2021-04-07,1213.0,Unfinished Wood
19,2021-04-08,1400.0,Unfinished Wood
20,2021-04-09,1400.0,Unfinished Wood
21,2021-04-10,1455.0,Unfinished Wood
22,2021-04-11,1455.0,Unfinished Wood
23,2021-04-12,930.0,Unfinished Wood
24,2021-04-13,1067.0,Unfinished Wood
25,2021-04-14,1155.0,Unfinished Wood
26,2021-04-15,954.0,Unfinished Wood
27,2021-04-16,872.0,Unfinished Wood
28,2021-04-17,872.0,Unfinished Wood
29,2021-04-18,1057.0,Unfinished Wood
30,2021-04-19,1057.0,Unfinished Wood
31,2021-04-20,1160.0,Unfinished Wood
32,2021-04-21,1160.0,Unfinished Wood
33,2021-04-22,1165.0,Unfinished Wood
34,2021-04-23,1330.0,Unfinished Wood
35,2021-04-24,1330.0,Unfinished Wood
36,2021-04-25,1124.0,Unfinished Wood
37,2021-04-26,852.0,Unfinished Wood
38,2021-04-27,852.0,Unfinished Wood
39,2021-04-28,1074.0,Unfinished Wood
40,2021-04-29,1297.0,Unfinished Wood
41,2021-04-30,1297.0,Unfinished Wood
42,2021-05-01,1156.0,Unfinished Wood
43,2021-05-02,1065.0,Unfinished Wood
44,2021-05-03,1065.0,Unfinished Wood
45,2021-05-04,1043.0,Unfinished Wood
46,2021-05-05,1332.0,Unfinished Wood
47,2021-05-06,1332.0,Unfinished Wood
48,2021-05-07,1140.0,Unfinished Wood
49,2021-05-08,1140.0,Unfinished Wood
50,2021-05-09,957.0,Unfinished Wood
51,2021-05-10,876.0,Unfinished Wood
52,2021-05-11,921.0,Unfinished Wood
53,2021-05-12,921.0,Unfinished Wood
54,2021-05-13,818.0,Unfinished Wood
55,2021-05-14,677.0,Unfinished Wood
56,2021-05-15,765.0,Unfinished Wood
57,2021-05-16,670.0,Unfinished Wood
58,2021-05-17,670.0,Unfinished Wood
59,2021-05-18,873.0,Unfinished Wood
60,2021-05-19,691.0,Unfinished Wood
61,2021-05-20,942.0,Unfinished Wood
62,2021-05-21,717.0,Unfinished Wood
63,2021-05-22,908.0,Unfinished Wood
64,2021-05-23,908.0,Unfinished Wood
65,2021-05-24,786.0,Unfinished Wood
66,2021-05-25,786.0,Unfinished Wood
67,2021-05-26,786.0,Unfinished Wood
68,2021-05-27,772.0,Unfinished Wood
69,2021-05-28,999.0,Unfinished Wood
70,2021-05-29,999.0,Unfinished Wood
71,2021-05-30,1069.0,Unfinished Wood
72,2021-05-31,917.0,Unfinished Wood
73,2021-06-01,966.0,Unfinished Wood
74,2021-06-02,1192.0,Unfinished Wood
75,2021-06-03,992.0,Unfinished Wood
76,2021-06-04,992.0,Unfinished Wood
77,2021-06-05,972.0,Unfinished Wood
78,2021-06-06,962.0,Unfinished Wood
79,2021-06-07,873.0,Unfinished Wood
80,2021-06-08,873.0,Unfinished Wood
81,2021-06-09,1060.0,Unfinished Wood
82,2021-06-10,960.0,Unfinished Wood
83,2021-06-11,960.0,Unfinished Wood
84,2021-06-12,969.0,Unfinished Wood
85,2021-06-13,969.0,Unfinished Wood
86,2021-06-14,779.0,Unfinished Wood
87,2021-06-15,779.0,Unfinished Wood
88,2021-06-16,882.0,Unfinished Wood
89,2021-06-17,882.0,Unfinished Wood
90,2021-06-18,1065.0,Unfinished Wood
91,2021-06-19,1065.0,Unfinished Wood
92,2021-06-20,1065.0,Unfinished Wood
93,2021-06-21,1161.0,Unfinished Wood
94,2021-06-22,1799.0,Unfinished Wood
95,2021-06-23,1599.0,Unfinished Wood
96,2021-06-24,1391.0,Unfinished Wood
97,2021-06-25,1391.0,Unfinished Wood
98,2021-06-26,1391.0,Unfinished Wood
99,2021-06-27,1391.0,Unfinished Wood
100,2021-06-28,1125.0,Unfinished Wood
101,2021-06-29,991.0,Unfinished Wood
102,2021-06-30,991.0,Unfinished Wood
103,2021-07-01,1252.0,Unfinished Wood
104,2021-07-02,1252.0,Unfinished Wood
105,2021-07-03,1252.0,Unfinished Wood
106,2021-07-04,1285.0,Unfinished Wood
107,2021-07-05,1285.0,Unfinished Wood
108,2021-07-06,1099.0,Unfinished Wood
109,2021-07-07,1147.0,Unfinished Wood
110,2021-07-08,1147.0,Unfinished Wood
111,2021-07-09,1147.0,Unfinished Wood
112,2021-07-10,1359.0,Unfinished Wood
113,2021-07-11,1495.0,Unfinished Wood
