,date,value,name_B07MF6T9MM
0,2020-06-10,9739.0,Probiotics
1,2020-06-11,9739.0,Probiotics
2,2020-06-12,9739.0,Probiotics
3,2020-06-13,9739.0,Probiotics
4,2020-06-14,11023.0,Probiotics
5,2020-06-15,11023.0,Probiotics
6,2020-06-16,11023.0,Probiotics
7,2020-06-17,11023.0,Probiotics
8,2020-06-18,11001.0,Probiotics
9,2020-06-19,11001.0,Probiotics
10,2020-06-20,11001.0,Probiotics
11,2020-06-21,11001.0,Probiotics
12,2020-06-22,11001.0,Probiotics
13,2020-06-23,11001.0,Probiotics
14,2020-06-24,11001.0,Probiotics
15,2020-06-25,11001.0,Probiotics
16,2020-06-26,11001.0,Probiotics
17,2020-06-27,11001.0,Probiotics
18,2020-06-28,11001.0,Probiotics
19,2020-06-29,11184.0,Probiotics
20,2020-06-30,11184.0,Probiotics
21,2020-07-01,11184.0,Probiotics
22,2020-07-02,11184.0,Probiotics
23,2020-07-03,11184.0,Probiotics
24,2020-07-04,11184.0,Probiotics
25,2020-07-05,11184.0,Probiotics
26,2020-07-06,11184.0,Probiotics
27,2020-07-07,11184.0,Probiotics
28,2020-07-08,11184.0,Probiotics
29,2020-07-09,11184.0,Probiotics
30,2020-07-10,11184.0,Probiotics
31,2020-07-11,11184.0,Probiotics
32,2020-07-12,11184.0,Probiotics
33,2020-07-13,11184.0,Probiotics
34,2020-07-14,11184.0,Probiotics
35,2020-07-15,11184.0,Probiotics
36,2020-07-16,11184.0,Probiotics
37,2020-07-17,11184.0,Probiotics
38,2020-07-18,11184.0,Probiotics
39,2020-07-19,11184.0,Probiotics
40,2020-07-20,11184.0,Probiotics
41,2020-07-21,11184.0,Probiotics
42,2020-07-22,9493.0,Probiotics
43,2020-07-23,9493.0,Probiotics
44,2020-07-24,10794.0,Probiotics
45,2020-07-25,10794.0,Probiotics
46,2020-07-26,10794.0,Probiotics
47,2020-07-27,10794.0,Probiotics
48,2020-07-28,10794.0,Probiotics
49,2020-07-29,10794.0,Probiotics
50,2020-07-30,10794.0,Probiotics
51,2020-07-31,10794.0,Probiotics
52,2020-08-01,10794.0,Probiotics
53,2020-08-02,10794.0,Probiotics
54,2020-08-03,10794.0,Probiotics
55,2020-08-04,10794.0,Probiotics
56,2020-08-05,10794.0,Probiotics
57,2020-08-06,10794.0,Probiotics
58,2020-08-07,10794.0,Probiotics
59,2020-08-08,10794.0,Probiotics
60,2020-08-09,10794.0,Probiotics
61,2020-08-10,10794.0,Probiotics
62,2020-08-11,10794.0,Probiotics
63,2020-08-12,10794.0,Probiotics
64,2020-08-13,10794.0,Probiotics
65,2020-08-14,10794.0,Probiotics
66,2020-08-15,10794.0,Probiotics
67,2020-08-16,10794.0,Probiotics
68,2020-08-17,10794.0,Probiotics
69,2020-08-18,10794.0,Probiotics
70,2020-08-19,10794.0,Probiotics
71,2020-08-20,10794.0,Probiotics
72,2020-08-21,10794.0,Probiotics
73,2020-08-22,10794.0,Probiotics
74,2020-08-23,10794.0,Probiotics
75,2020-08-24,10794.0,Probiotics
76,2020-08-25,10794.0,Probiotics
77,2020-08-26,10794.0,Probiotics
78,2020-08-27,10794.0,Probiotics
79,2020-08-28,10794.0,Probiotics
80,2020-08-29,10794.0,Probiotics
81,2020-08-30,10794.0,Probiotics
82,2020-08-31,10794.0,Probiotics
83,2020-09-01,10794.0,Probiotics
84,2020-09-02,10794.0,Probiotics
85,2020-09-03,10794.0,Probiotics
86,2020-09-04,10794.0,Probiotics
87,2020-09-05,10794.0,Probiotics
88,2020-09-06,10794.0,Probiotics
89,2020-09-07,10794.0,Probiotics
90,2020-09-08,10794.0,Probiotics
91,2020-09-09,10794.0,Probiotics
92,2020-09-10,10794.0,Probiotics
93,2020-09-11,10794.0,Probiotics
94,2020-09-12,10794.0,Probiotics
95,2020-09-13,10794.0,Probiotics
96,2020-09-14,10794.0,Probiotics
97,2020-09-15,10794.0,Probiotics
98,2020-09-16,10794.0,Probiotics
99,2020-09-17,10794.0,Probiotics
100,2020-09-18,10794.0,Probiotics
101,2020-09-19,10794.0,Probiotics
102,2020-09-20,10794.0,Probiotics
103,2020-09-21,10794.0,Probiotics
104,2020-09-22,10794.0,Probiotics
105,2020-09-23,10794.0,Probiotics
106,2020-09-24,10794.0,Probiotics
107,2020-09-25,10794.0,Probiotics
108,2020-09-26,10794.0,Probiotics
109,2020-09-27,10794.0,Probiotics
