,date,value,name_B08F1Y5XFR
0,2020-08-17,12127.0,Reading Glasses
1,2020-08-18,12127.0,Reading Glasses
2,2020-08-19,12127.0,Reading Glasses
3,2020-08-20,8786.0,Reading Glasses
4,2020-08-21,8786.0,Reading Glasses
5,2020-08-22,8786.0,Reading Glasses
6,2020-08-23,8786.0,Reading Glasses
7,2020-08-24,11653.0,Reading Glasses
8,2020-08-25,9562.0,Reading Glasses
9,2020-08-26,8717.0,Reading Glasses
10,2020-08-27,8717.0,Reading Glasses
11,2020-08-28,8717.0,Reading Glasses
12,2020-08-29,9620.0,Reading Glasses
13,2020-08-30,9620.0,Reading Glasses
14,2020-08-31,9620.0,Reading Glasses
15,2020-09-01,9425.0,Reading Glasses
16,2020-09-02,9425.0,Reading Glasses
17,2020-09-03,9425.0,Reading Glasses
18,2020-09-04,8190.0,Reading Glasses
19,2020-09-05,8190.0,Reading Glasses
20,2020-09-06,9176.0,Reading Glasses
21,2020-09-07,9176.0,Reading Glasses
22,2020-09-08,9176.0,Reading Glasses
23,2020-09-09,9176.0,Reading Glasses
24,2020-09-10,9304.0,Reading Glasses
25,2020-09-11,9304.0,Reading Glasses
26,2020-09-12,9304.0,Reading Glasses
27,2020-09-13,9304.0,Reading Glasses
28,2020-09-14,9318.0,Reading Glasses
29,2020-09-15,9318.0,Reading Glasses
30,2020-09-16,9318.0,Reading Glasses
31,2020-09-17,9318.0,Reading Glasses
32,2020-09-18,10432.0,Reading Glasses
33,2020-09-19,10432.0,Reading Glasses
34,2020-09-20,10432.0,Reading Glasses
35,2020-09-21,11548.0,Reading Glasses
36,2020-09-22,11548.0,Reading Glasses
37,2020-09-23,10585.0,Reading Glasses
38,2020-09-24,11773.0,Reading Glasses
39,2020-09-25,11773.0,Reading Glasses
40,2020-09-26,11773.0,Reading Glasses
41,2020-09-27,9945.0,Reading Glasses
42,2020-09-28,9945.0,Reading Glasses
43,2020-09-29,9945.0,Reading Glasses
44,2020-09-30,11861.0,Reading Glasses
45,2020-10-01,11760.0,Reading Glasses
46,2020-10-02,11760.0,Reading Glasses
47,2020-10-03,10841.0,Reading Glasses
48,2020-10-04,10841.0,Reading Glasses
49,2020-10-05,10841.0,Reading Glasses
50,2020-10-06,12693.0,Reading Glasses
51,2020-10-07,12693.0,Reading Glasses
52,2020-10-08,11712.0,Reading Glasses
53,2020-10-09,11712.0,Reading Glasses
54,2020-10-10,11346.0,Reading Glasses
55,2020-10-11,11346.0,Reading Glasses
56,2020-10-12,11346.0,Reading Glasses
57,2020-10-13,9713.0,Reading Glasses
58,2020-10-14,10048.0,Reading Glasses
59,2020-10-15,10048.0,Reading Glasses
60,2020-10-16,10048.0,Reading Glasses
61,2020-10-17,10861.0,Reading Glasses
62,2020-10-18,10861.0,Reading Glasses
63,2020-10-19,11699.0,Reading Glasses
64,2020-10-20,11699.0,Reading Glasses
65,2020-10-21,10591.0,Reading Glasses
66,2020-10-22,10591.0,Reading Glasses
67,2020-10-23,11316.0,Reading Glasses
68,2020-10-24,11316.0,Reading Glasses
69,2020-10-25,10731.0,Reading Glasses
70,2020-10-26,14245.0,Reading Glasses
71,2020-10-27,14245.0,Reading Glasses
72,2020-10-28,14245.0,Reading Glasses
73,2020-10-29,14245.0,Reading Glasses
74,2020-10-30,13259.0,Reading Glasses
75,2020-10-31,11226.0,Reading Glasses
76,2020-11-01,8412.0,Reading Glasses
77,2020-11-02,12939.0,Reading Glasses
78,2020-11-03,11533.0,Reading Glasses
79,2020-11-04,11533.0,Reading Glasses
80,2020-11-05,11533.0,Reading Glasses
81,2020-11-06,11533.0,Reading Glasses
82,2020-11-07,11689.0,Reading Glasses
83,2020-11-08,11689.0,Reading Glasses
84,2020-11-09,12544.0,Reading Glasses
85,2020-11-10,11348.0,Reading Glasses
86,2020-11-11,11348.0,Reading Glasses
87,2020-11-12,11348.0,Reading Glasses
88,2020-11-13,11348.0,Reading Glasses
89,2020-11-14,15037.0,Reading Glasses
90,2020-11-15,14742.0,Reading Glasses
91,2020-11-16,12960.0,Reading Glasses
92,2020-11-17,12960.0,Reading Glasses
93,2020-11-18,12960.0,Reading Glasses
94,2020-11-19,10937.0,Reading Glasses
95,2020-11-20,10937.0,Reading Glasses
96,2020-11-21,10937.0,Reading Glasses
97,2020-11-22,10937.0,Reading Glasses
98,2020-11-23,10937.0,Reading Glasses
99,2020-11-24,12103.0,Reading Glasses
100,2020-11-25,13927.0,Reading Glasses
101,2020-11-26,13927.0,Reading Glasses
102,2020-11-27,10193.0,Reading Glasses
103,2020-11-28,10193.0,Reading Glasses
104,2020-11-29,10193.0,Reading Glasses
105,2020-11-30,11988.0,Reading Glasses
106,2020-12-01,10369.0,Reading Glasses
107,2020-12-02,10369.0,Reading Glasses
108,2020-12-03,10369.0,Reading Glasses
109,2020-12-04,12511.0,Reading Glasses
110,2020-12-05,11851.0,Reading Glasses
111,2020-12-06,11851.0,Reading Glasses
112,2020-12-07,11851.0,Reading Glasses
113,2020-12-08,12752.0,Reading Glasses
114,2020-12-09,12752.0,Reading Glasses
