,date,value,name_B076YGNW2Z
144,2018-04-07,268637.0,Reading Glasses
145,2018-04-08,268637.0,Reading Glasses
146,2018-04-09,268637.0,Reading Glasses
147,2018-04-10,268637.0,Reading Glasses
148,2018-04-11,390742.0,Reading Glasses
149,2018-04-12,390742.0,Reading Glasses
150,2018-04-13,232649.0,Reading Glasses
151,2018-04-14,232649.0,Reading Glasses
152,2018-04-15,104382.0,Reading Glasses
153,2018-04-16,104382.0,Reading Glasses
154,2018-04-17,104382.0,Reading Glasses
155,2018-04-18,104382.0,Reading Glasses
156,2018-04-19,104382.0,Reading Glasses
157,2018-04-20,104382.0,Reading Glasses
158,2018-04-21,104382.0,Reading Glasses
159,2018-04-22,104382.0,Reading Glasses
160,2018-04-23,137249.0,Reading Glasses
161,2018-04-24,137249.0,Reading Glasses
162,2018-04-25,137249.0,Reading Glasses
163,2018-04-26,137249.0,Reading Glasses
164,2018-04-27,137249.0,Reading Glasses
165,2018-04-28,137249.0,Reading Glasses
166,2018-04-29,137249.0,Reading Glasses
167,2018-04-30,137249.0,Reading Glasses
168,2018-05-01,126945.0,Reading Glasses
169,2018-05-02,313125.0,Reading Glasses
170,2018-05-03,339020.0,Reading Glasses
171,2018-05-04,229786.0,Reading Glasses
172,2018-05-05,229786.0,Reading Glasses
173,2018-05-06,421784.0,Reading Glasses
174,2018-05-07,421784.0,Reading Glasses
175,2018-05-08,421784.0,Reading Glasses
176,2018-05-09,502587.0,Reading Glasses
177,2018-05-10,502587.0,Reading Glasses
178,2018-05-11,256907.0,Reading Glasses
179,2018-05-12,256907.0,Reading Glasses
180,2018-05-13,483843.0,Reading Glasses
181,2018-05-14,552189.0,Reading Glasses
182,2018-05-15,633290.0,Reading Glasses
183,2018-05-16,633290.0,Reading Glasses
184,2018-05-17,633290.0,Reading Glasses
185,2018-05-18,633290.0,Reading Glasses
186,2018-05-19,212757.0,Reading Glasses
187,2018-05-20,212757.0,Reading Glasses
188,2018-05-21,212757.0,Reading Glasses
189,2018-05-22,523799.0,Reading Glasses
190,2018-05-23,523799.0,Reading Glasses
191,2018-05-24,523799.0,Reading Glasses
192,2018-05-25,523799.0,Reading Glasses
193,2018-05-26,373274.0,Reading Glasses
194,2018-05-27,306257.0,Reading Glasses
195,2018-05-28,306257.0,Reading Glasses
196,2018-05-29,134183.0,Reading Glasses
197,2018-05-30,199018.0,Reading Glasses
198,2018-05-31,412475.0,Reading Glasses
199,2018-06-01,412475.0,Reading Glasses
200,2018-06-02,542925.0,Reading Glasses
201,2018-06-03,583488.0,Reading Glasses
202,2018-06-04,583488.0,Reading Glasses
203,2018-06-05,161772.0,Reading Glasses
204,2018-06-06,231151.0,Reading Glasses
205,2018-06-07,190880.0,Reading Glasses
206,2018-06-08,252897.0,Reading Glasses
207,2018-06-09,243490.0,Reading Glasses
208,2018-06-10,142858.0,Reading Glasses
209,2018-06-11,142858.0,Reading Glasses
210,2018-06-12,142001.0,Reading Glasses
211,2018-06-13,116209.0,Reading Glasses
212,2018-06-14,166347.0,Reading Glasses
213,2018-06-15,111104.0,Reading Glasses
214,2018-06-16,123343.0,Reading Glasses
215,2018-06-17,89841.0,Reading Glasses
216,2018-06-18,120024.0,Reading Glasses
217,2018-06-19,151748.0,Reading Glasses
218,2018-06-20,94437.0,Reading Glasses
219,2018-06-21,114127.0,Reading Glasses
220,2018-06-22,128180.0,Reading Glasses
221,2018-06-23,128180.0,Reading Glasses
222,2018-06-24,139883.0,Reading Glasses
223,2018-06-25,107421.0,Reading Glasses
224,2018-06-26,76122.0,Reading Glasses
225,2018-06-27,151500.0,Reading Glasses
226,2018-06-28,143930.0,Reading Glasses
227,2018-06-29,143930.0,Reading Glasses
228,2018-06-30,64008.0,Reading Glasses
229,2018-07-01,79574.0,Reading Glasses
230,2018-07-02,181509.0,Reading Glasses
231,2018-07-03,181636.0,Reading Glasses
232,2018-07-04,181636.0,Reading Glasses
233,2018-07-05,79841.0,Reading Glasses
234,2018-07-06,79841.0,Reading Glasses
