,date,value,name_B082X5ZT28
0,2020-05-30,7967.0,Subject Notebooks
1,2020-05-31,7967.0,Subject Notebooks
2,2020-06-01,7967.0,Subject Notebooks
3,2020-06-02,7967.0,Subject Notebooks
4,2020-06-03,7967.0,Subject Notebooks
5,2020-06-04,7967.0,Subject Notebooks
6,2020-06-05,7967.0,Subject Notebooks
7,2020-06-06,7967.0,Subject Notebooks
8,2020-06-07,9290.0,Subject Notebooks
9,2020-06-08,9290.0,Subject Notebooks
10,2020-06-09,9290.0,Subject Notebooks
11,2020-06-10,9445.0,Subject Notebooks
12,2020-06-11,7541.0,Subject Notebooks
13,2020-06-12,7541.0,Subject Notebooks
14,2020-06-13,7541.0,Subject Notebooks
15,2020-06-14,7541.0,Subject Notebooks
16,2020-06-15,6203.0,Subject Notebooks
17,2020-06-16,8494.0,Subject Notebooks
18,2020-06-17,8494.0,Subject Notebooks
19,2020-06-18,8494.0,Subject Notebooks
20,2020-06-19,8494.0,Subject Notebooks
21,2020-06-20,8494.0,Subject Notebooks
22,2020-06-21,13425.0,Subject Notebooks
23,2020-06-22,13425.0,Subject Notebooks
24,2020-06-23,13425.0,Subject Notebooks
25,2020-06-24,13425.0,Subject Notebooks
26,2020-06-25,12487.0,Subject Notebooks
27,2020-06-26,12429.0,Subject Notebooks
28,2020-06-27,12429.0,Subject Notebooks
29,2020-06-28,12429.0,Subject Notebooks
30,2020-06-29,9484.0,Subject Notebooks
31,2020-06-30,9484.0,Subject Notebooks
32,2020-07-01,9484.0,Subject Notebooks
33,2020-07-02,9484.0,Subject Notebooks
34,2020-07-03,9484.0,Subject Notebooks
35,2020-07-04,9484.0,Subject Notebooks
36,2020-07-05,9484.0,Subject Notebooks
37,2020-07-06,9484.0,Subject Notebooks
38,2020-07-07,9484.0,Subject Notebooks
39,2020-07-08,9484.0,Subject Notebooks
40,2020-07-09,9484.0,Subject Notebooks
41,2020-07-10,9484.0,Subject Notebooks
42,2020-07-11,7332.0,Subject Notebooks
43,2020-07-12,7534.0,Subject Notebooks
44,2020-07-13,7534.0,Subject Notebooks
45,2020-07-14,10177.0,Subject Notebooks
46,2020-07-15,10177.0,Subject Notebooks
47,2020-07-16,6531.0,Subject Notebooks
48,2020-07-17,6531.0,Subject Notebooks
49,2020-07-18,6531.0,Subject Notebooks
50,2020-07-19,6531.0,Subject Notebooks
51,2020-07-20,5988.0,Subject Notebooks
52,2020-07-21,5988.0,Subject Notebooks
53,2020-07-22,7775.0,Subject Notebooks
54,2020-07-23,7775.0,Subject Notebooks
55,2020-07-24,7775.0,Subject Notebooks
56,2020-07-25,9474.0,Subject Notebooks
57,2020-07-26,9474.0,Subject Notebooks
58,2020-07-27,9474.0,Subject Notebooks
59,2020-07-28,9474.0,Subject Notebooks
60,2020-07-29,8264.0,Subject Notebooks
61,2020-07-30,8264.0,Subject Notebooks
62,2020-07-31,6325.0,Subject Notebooks
63,2020-08-01,6325.0,Subject Notebooks
64,2020-08-02,6325.0,Subject Notebooks
65,2020-08-03,7381.0,Subject Notebooks
66,2020-08-04,7381.0,Subject Notebooks
67,2020-08-05,7381.0,Subject Notebooks
68,2020-08-06,7633.0,Subject Notebooks
69,2020-08-07,7633.0,Subject Notebooks
70,2020-08-08,7633.0,Subject Notebooks
71,2020-08-09,7928.0,Subject Notebooks
72,2020-08-10,7902.0,Subject Notebooks
73,2020-08-11,7902.0,Subject Notebooks
74,2020-08-12,7902.0,Subject Notebooks
75,2020-08-13,7902.0,Subject Notebooks
76,2020-08-14,9946.0,Subject Notebooks
77,2020-08-15,8119.0,Subject Notebooks
78,2020-08-16,8119.0,Subject Notebooks
79,2020-08-17,8119.0,Subject Notebooks
80,2020-08-18,10351.0,Subject Notebooks
81,2020-08-19,10351.0,Subject Notebooks
82,2020-08-20,10351.0,Subject Notebooks
83,2020-08-21,8114.0,Subject Notebooks
84,2020-08-22,8114.0,Subject Notebooks
85,2020-08-23,8114.0,Subject Notebooks
86,2020-08-24,9405.0,Subject Notebooks
87,2020-08-25,6914.0,Subject Notebooks
88,2020-08-26,6914.0,Subject Notebooks
89,2020-08-27,6914.0,Subject Notebooks
90,2020-08-28,6099.0,Subject Notebooks
91,2020-08-29,7077.0,Subject Notebooks
92,2020-08-30,7077.0,Subject Notebooks
93,2020-08-31,7648.0,Subject Notebooks
94,2020-09-01,7648.0,Subject Notebooks
95,2020-09-02,7648.0,Subject Notebooks
96,2020-09-03,7648.0,Subject Notebooks
97,2020-09-04,7648.0,Subject Notebooks
98,2020-09-05,7648.0,Subject Notebooks
99,2020-09-06,7648.0,Subject Notebooks
100,2020-09-07,8808.0,Subject Notebooks
101,2020-09-08,8808.0,Subject Notebooks
102,2020-09-09,8808.0,Subject Notebooks
103,2020-09-10,8808.0,Subject Notebooks
104,2020-09-11,8951.0,Subject Notebooks
105,2020-09-12,8951.0,Subject Notebooks
106,2020-09-13,8951.0,Subject Notebooks
107,2020-09-14,8951.0,Subject Notebooks
108,2020-09-15,8951.0,Subject Notebooks
109,2020-09-16,8951.0,Subject Notebooks
110,2020-09-17,11084.0,Subject Notebooks
111,2020-09-18,11084.0,Subject Notebooks
112,2020-09-19,11084.0,Subject Notebooks
113,2020-09-20,11084.0,Subject Notebooks
114,2020-09-21,11084.0,Subject Notebooks
115,2020-09-22,11084.0,Subject Notebooks
116,2020-09-23,11084.0,Subject Notebooks
117,2020-09-24,18480.0,Subject Notebooks
118,2020-09-25,18480.0,Subject Notebooks
119,2020-09-26,18480.0,Subject Notebooks
120,2020-09-27,7534.0,Subject Notebooks
121,2020-09-28,8261.0,Subject Notebooks
