,date,value,name_B093WT4WXJ
0,2021-05-12,28249.0,Table Runners
1,2021-05-13,28249.0,Table Runners
2,2021-05-14,28249.0,Table Runners
3,2021-05-15,22121.0,Table Runners
4,2021-05-16,22121.0,Table Runners
5,2021-05-17,22121.0,Table Runners
6,2021-05-18,22121.0,Table Runners
7,2021-05-19,22121.0,Table Runners
8,2021-05-20,22121.0,Table Runners
9,2021-05-21,22121.0,Table Runners
10,2021-05-22,22121.0,Table Runners
11,2021-05-23,22121.0,Table Runners
12,2021-05-24,22121.0,Table Runners
13,2021-05-25,43859.0,Table Runners
14,2021-05-26,43859.0,Table Runners
15,2021-05-27,45102.0,Table Runners
16,2021-05-28,24279.0,Table Runners
17,2021-05-29,24279.0,Table Runners
18,2021-05-30,24279.0,Table Runners
19,2021-05-31,24279.0,Table Runners
20,2021-06-01,13231.0,Table Runners
21,2021-06-02,13231.0,Table Runners
22,2021-06-03,13231.0,Table Runners
23,2021-06-04,10190.0,Table Runners
24,2021-06-05,10190.0,Table Runners
25,2021-06-06,9739.0,Table Runners
26,2021-06-07,14606.0,Table Runners
27,2021-06-08,14606.0,Table Runners
28,2021-06-09,14606.0,Table Runners
29,2021-06-10,12492.0,Table Runners
30,2021-06-11,12492.0,Table Runners
31,2021-06-12,16891.0,Table Runners
32,2021-06-13,17857.0,Table Runners
33,2021-06-14,17772.0,Table Runners
34,2021-06-15,17772.0,Table Runners
35,2021-06-16,18072.0,Table Runners
36,2021-06-17,18072.0,Table Runners
37,2021-06-18,18072.0,Table Runners
38,2021-06-19,18072.0,Table Runners
39,2021-06-20,15933.0,Table Runners
40,2021-06-21,18376.0,Table Runners
41,2021-06-22,29407.0,Table Runners
42,2021-06-23,30830.0,Table Runners
43,2021-06-24,23584.0,Table Runners
44,2021-06-25,23584.0,Table Runners
45,2021-06-26,10160.0,Table Runners
46,2021-06-27,9896.0,Table Runners
47,2021-06-28,9676.0,Table Runners
48,2021-06-29,7784.0,Table Runners
49,2021-06-30,7079.0,Table Runners
50,2021-07-01,8957.0,Table Runners
51,2021-07-02,8127.0,Table Runners
52,2021-07-03,6201.0,Table Runners
53,2021-07-04,7217.0,Table Runners
54,2021-07-05,6662.0,Table Runners
55,2021-07-06,5295.0,Table Runners
56,2021-07-07,5817.0,Table Runners
57,2021-07-08,5220.0,Table Runners
58,2021-07-09,6540.0,Table Runners
