,date,value,name_B08HSXGPC8
0,2021-02-18,4233.0,Laser & Inkjet Printer Labels
1,2021-02-19,4165.0,Laser & Inkjet Printer Labels
2,2021-02-20,3038.0,Laser & Inkjet Printer Labels
3,2021-02-21,3038.0,Laser & Inkjet Printer Labels
4,2021-02-22,3831.0,Laser & Inkjet Printer Labels
5,2021-02-23,3831.0,Laser & Inkjet Printer Labels
6,2021-02-24,5946.0,Laser & Inkjet Printer Labels
7,2021-02-25,5946.0,Laser & Inkjet Printer Labels
8,2021-02-26,5946.0,Laser & Inkjet Printer Labels
9,2021-02-27,5086.0,Laser & Inkjet Printer Labels
10,2021-02-28,5086.0,Laser & Inkjet Printer Labels
11,2021-03-01,5086.0,Laser & Inkjet Printer Labels
12,2021-03-02,5592.0,Laser & Inkjet Printer Labels
13,2021-03-03,6934.0,Laser & Inkjet Printer Labels
14,2021-03-04,4986.0,Laser & Inkjet Printer Labels
15,2021-03-05,4986.0,Laser & Inkjet Printer Labels
16,2021-03-06,5438.0,Laser & Inkjet Printer Labels
17,2021-03-07,5438.0,Laser & Inkjet Printer Labels
18,2021-03-08,5259.0,Laser & Inkjet Printer Labels
19,2021-03-09,5259.0,Laser & Inkjet Printer Labels
20,2021-03-10,5259.0,Laser & Inkjet Printer Labels
21,2021-03-11,6833.0,Laser & Inkjet Printer Labels
22,2021-03-12,6833.0,Laser & Inkjet Printer Labels
23,2021-03-13,6833.0,Laser & Inkjet Printer Labels
24,2021-03-14,9301.0,Laser & Inkjet Printer Labels
25,2021-03-15,9301.0,Laser & Inkjet Printer Labels
26,2021-03-16,9301.0,Laser & Inkjet Printer Labels
27,2021-03-17,6716.0,Laser & Inkjet Printer Labels
28,2021-03-18,6716.0,Laser & Inkjet Printer Labels
29,2021-03-19,6716.0,Laser & Inkjet Printer Labels
30,2021-03-20,6716.0,Laser & Inkjet Printer Labels
31,2021-03-21,3470.0,Laser & Inkjet Printer Labels
32,2021-03-22,3470.0,Laser & Inkjet Printer Labels
33,2021-03-23,3470.0,Laser & Inkjet Printer Labels
34,2021-03-24,3224.0,Laser & Inkjet Printer Labels
35,2021-03-25,3224.0,Laser & Inkjet Printer Labels
36,2021-03-26,3690.0,Laser & Inkjet Printer Labels
37,2021-03-27,3690.0,Laser & Inkjet Printer Labels
38,2021-03-28,3690.0,Laser & Inkjet Printer Labels
39,2021-03-29,3690.0,Laser & Inkjet Printer Labels
40,2021-03-30,2660.0,Laser & Inkjet Printer Labels
41,2021-03-31,2660.0,Laser & Inkjet Printer Labels
42,2021-04-01,2240.0,Laser & Inkjet Printer Labels
43,2021-04-02,2240.0,Laser & Inkjet Printer Labels
44,2021-04-03,2240.0,Laser & Inkjet Printer Labels
45,2021-04-04,2465.0,Laser & Inkjet Printer Labels
46,2021-04-05,2511.0,Laser & Inkjet Printer Labels
47,2021-04-06,2511.0,Laser & Inkjet Printer Labels
48,2021-04-07,3417.0,Laser & Inkjet Printer Labels
49,2021-04-08,3417.0,Laser & Inkjet Printer Labels
50,2021-04-09,3634.0,Laser & Inkjet Printer Labels
51,2021-04-10,3634.0,Laser & Inkjet Printer Labels
52,2021-04-11,3634.0,Laser & Inkjet Printer Labels
53,2021-04-12,5822.0,Laser & Inkjet Printer Labels
54,2021-04-13,5617.0,Laser & Inkjet Printer Labels
55,2021-04-14,5617.0,Laser & Inkjet Printer Labels
56,2021-04-15,5065.0,Laser & Inkjet Printer Labels
57,2021-04-16,5065.0,Laser & Inkjet Printer Labels
58,2021-04-17,5065.0,Laser & Inkjet Printer Labels
59,2021-04-18,5065.0,Laser & Inkjet Printer Labels
60,2021-04-19,5065.0,Laser & Inkjet Printer Labels
61,2021-04-20,3983.0,Laser & Inkjet Printer Labels
62,2021-04-21,3983.0,Laser & Inkjet Printer Labels
63,2021-04-22,4071.0,Laser & Inkjet Printer Labels
64,2021-04-23,5188.0,Laser & Inkjet Printer Labels
65,2021-04-24,5188.0,Laser & Inkjet Printer Labels
66,2021-04-25,4546.0,Laser & Inkjet Printer Labels
67,2021-04-26,4670.0,Laser & Inkjet Printer Labels
68,2021-04-27,3850.0,Laser & Inkjet Printer Labels
69,2021-04-28,3850.0,Laser & Inkjet Printer Labels
70,2021-04-29,3850.0,Laser & Inkjet Printer Labels
71,2021-04-30,2857.0,Laser & Inkjet Printer Labels
72,2021-05-01,2857.0,Laser & Inkjet Printer Labels
73,2021-05-02,2901.0,Laser & Inkjet Printer Labels
74,2021-05-03,2948.0,Laser & Inkjet Printer Labels
75,2021-05-04,3779.0,Laser & Inkjet Printer Labels
76,2021-05-05,3779.0,Laser & Inkjet Printer Labels
77,2021-05-06,3853.0,Laser & Inkjet Printer Labels
78,2021-05-07,3853.0,Laser & Inkjet Printer Labels
79,2021-05-08,3853.0,Laser & Inkjet Printer Labels
80,2021-05-09,3853.0,Laser & Inkjet Printer Labels
81,2021-05-10,3853.0,Laser & Inkjet Printer Labels
82,2021-05-11,5296.0,Laser & Inkjet Printer Labels
83,2021-05-12,5296.0,Laser & Inkjet Printer Labels
84,2021-05-13,5917.0,Laser & Inkjet Printer Labels
85,2021-05-14,5917.0,Laser & Inkjet Printer Labels
86,2021-05-15,7317.0,Laser & Inkjet Printer Labels
87,2021-05-16,8950.0,Laser & Inkjet Printer Labels
88,2021-05-17,8950.0,Laser & Inkjet Printer Labels
89,2021-05-18,8950.0,Laser & Inkjet Printer Labels
90,2021-05-19,6590.0,Laser & Inkjet Printer Labels
91,2021-05-20,5698.0,Laser & Inkjet Printer Labels
92,2021-05-21,5698.0,Laser & Inkjet Printer Labels
93,2021-05-22,2901.0,Laser & Inkjet Printer Labels
94,2021-05-23,2901.0,Laser & Inkjet Printer Labels
95,2021-05-24,4934.0,Laser & Inkjet Printer Labels
96,2021-05-25,3770.0,Laser & Inkjet Printer Labels
97,2021-05-26,3770.0,Laser & Inkjet Printer Labels
98,2021-05-27,3439.0,Laser & Inkjet Printer Labels
99,2021-05-28,3439.0,Laser & Inkjet Printer Labels
100,2021-05-29,3439.0,Laser & Inkjet Printer Labels
101,2021-05-30,3439.0,Laser & Inkjet Printer Labels
