,date,value,name_B08QYQJ37N
0,2020-12-29,26965.0,Decorative Fences
1,2020-12-30,26965.0,Decorative Fences
2,2020-12-31,26965.0,Decorative Fences
3,2021-01-01,26965.0,Decorative Fences
4,2021-01-02,26965.0,Decorative Fences
5,2021-01-03,26965.0,Decorative Fences
6,2021-01-04,12905.0,Decorative Fences
7,2021-01-05,12905.0,Decorative Fences
8,2021-01-06,12905.0,Decorative Fences
9,2021-01-07,10806.0,Decorative Fences
10,2021-01-08,10370.0,Decorative Fences
11,2021-01-09,10370.0,Decorative Fences
12,2021-01-10,10370.0,Decorative Fences
13,2021-01-11,10370.0,Decorative Fences
14,2021-01-12,10370.0,Decorative Fences
15,2021-01-13,10370.0,Decorative Fences
16,2021-01-14,15519.0,Decorative Fences
17,2021-01-15,15519.0,Decorative Fences
18,2021-01-16,15519.0,Decorative Fences
19,2021-01-17,17075.0,Decorative Fences
20,2021-01-18,17075.0,Decorative Fences
21,2021-01-19,17075.0,Decorative Fences
22,2021-01-20,17075.0,Decorative Fences
23,2021-01-21,16431.0,Decorative Fences
24,2021-01-22,16431.0,Decorative Fences
25,2021-01-23,16431.0,Decorative Fences
26,2021-01-24,13702.0,Decorative Fences
27,2021-01-25,13702.0,Decorative Fences
28,2021-01-26,13702.0,Decorative Fences
29,2021-01-27,12340.0,Decorative Fences
30,2021-01-28,12340.0,Decorative Fences
31,2021-01-29,10336.0,Decorative Fences
32,2021-01-30,10336.0,Decorative Fences
33,2021-01-31,10336.0,Decorative Fences
34,2021-02-01,10336.0,Decorative Fences
35,2021-02-02,10336.0,Decorative Fences
36,2021-02-03,10336.0,Decorative Fences
37,2021-02-04,20571.0,Decorative Fences
38,2021-02-05,20571.0,Decorative Fences
39,2021-02-06,20571.0,Decorative Fences
40,2021-02-07,20571.0,Decorative Fences
41,2021-02-08,20571.0,Decorative Fences
42,2021-02-09,20571.0,Decorative Fences
43,2021-02-10,11135.0,Decorative Fences
44,2021-02-11,18869.0,Decorative Fences
45,2021-02-12,18869.0,Decorative Fences
46,2021-02-13,18869.0,Decorative Fences
47,2021-02-14,18869.0,Decorative Fences
48,2021-02-15,18869.0,Decorative Fences
49,2021-02-16,17215.0,Decorative Fences
50,2021-02-17,17215.0,Decorative Fences
51,2021-02-18,17215.0,Decorative Fences
52,2021-02-19,17215.0,Decorative Fences
53,2021-02-20,16941.0,Decorative Fences
54,2021-02-21,16941.0,Decorative Fences
55,2021-02-22,16941.0,Decorative Fences
56,2021-02-23,16050.0,Decorative Fences
57,2021-02-24,24929.0,Decorative Fences
58,2021-02-25,24929.0,Decorative Fences
59,2021-02-26,24929.0,Decorative Fences
60,2021-02-27,24929.0,Decorative Fences
61,2021-02-28,20085.0,Decorative Fences
62,2021-03-01,20085.0,Decorative Fences
63,2021-03-02,20085.0,Decorative Fences
64,2021-03-03,20085.0,Decorative Fences
65,2021-03-04,11459.0,Decorative Fences
66,2021-03-05,11459.0,Decorative Fences
67,2021-03-06,5859.0,Decorative Fences
68,2021-03-07,5510.0,Decorative Fences
69,2021-03-08,5510.0,Decorative Fences
70,2021-03-09,4464.0,Decorative Fences
71,2021-03-10,4464.0,Decorative Fences
72,2021-03-11,2656.0,Decorative Fences
73,2021-03-12,2656.0,Decorative Fences
74,2021-03-13,3129.0,Decorative Fences
75,2021-03-14,3129.0,Decorative Fences
76,2021-03-15,3129.0,Decorative Fences
77,2021-03-16,4131.0,Decorative Fences
78,2021-03-17,4842.0,Decorative Fences
79,2021-03-18,4842.0,Decorative Fences
80,2021-03-19,3423.0,Decorative Fences
81,2021-03-20,3423.0,Decorative Fences
82,2021-03-21,3939.0,Decorative Fences
83,2021-03-22,3939.0,Decorative Fences
84,2021-03-23,3939.0,Decorative Fences
85,2021-03-24,4190.0,Decorative Fences
86,2021-03-25,4190.0,Decorative Fences
87,2021-03-26,3859.0,Decorative Fences
88,2021-03-27,3859.0,Decorative Fences
89,2021-03-28,3859.0,Decorative Fences
90,2021-03-29,4850.0,Decorative Fences
91,2021-03-30,5482.0,Decorative Fences
92,2021-03-31,5482.0,Decorative Fences
93,2021-04-01,4646.0,Decorative Fences
94,2021-04-02,4646.0,Decorative Fences
95,2021-04-03,4908.0,Decorative Fences
96,2021-04-04,4908.0,Decorative Fences
97,2021-04-05,4908.0,Decorative Fences
98,2021-04-06,6667.0,Decorative Fences
99,2021-04-07,6667.0,Decorative Fences
100,2021-04-08,7329.0,Decorative Fences
101,2021-04-09,7329.0,Decorative Fences
102,2021-04-10,8949.0,Decorative Fences
103,2021-04-11,8949.0,Decorative Fences
104,2021-04-12,8949.0,Decorative Fences
105,2021-04-13,8532.0,Decorative Fences
106,2021-04-14,9867.0,Decorative Fences
107,2021-04-15,9867.0,Decorative Fences
108,2021-04-16,9867.0,Decorative Fences
109,2021-04-17,11364.0,Decorative Fences
110,2021-04-18,11364.0,Decorative Fences
111,2021-04-19,11364.0,Decorative Fences
112,2021-04-20,10114.0,Decorative Fences
113,2021-04-21,10114.0,Decorative Fences
114,2021-04-22,6494.0,Decorative Fences
115,2021-04-23,6494.0,Decorative Fences
116,2021-04-24,6494.0,Decorative Fences
117,2021-04-25,6494.0,Decorative Fences
118,2021-04-26,2737.0,Decorative Fences
119,2021-04-27,2737.0,Decorative Fences
120,2021-04-28,2708.0,Decorative Fences
121,2021-04-29,2148.0,Decorative Fences
122,2021-04-30,2148.0,Decorative Fences
123,2021-05-01,2153.0,Decorative Fences
124,2021-05-02,2153.0,Decorative Fences
125,2021-05-03,2316.0,Decorative Fences
126,2021-05-04,2316.0,Decorative Fences
127,2021-05-05,3137.0,Decorative Fences
128,2021-05-06,4559.0,Decorative Fences
