,date,value,name_B0919CJWKF
0,2021-04-28,116177,Lids
1,2021-04-29,63800,Lids
2,2021-04-30,34314,Lids
3,2021-05-01,53917,Lids
4,2021-05-02,29566,Lids
5,2021-05-03,18238,Lids
6,2021-05-04,10404,Lids
7,2021-05-05,8075,Lids
8,2021-05-06,9390,Lids
9,2021-05-07,11793,Lids
10,2021-05-08,7481,Lids
11,2021-05-09,7959,Lids
12,2021-05-10,6973,Lids
13,2021-05-11,8384,Lids
14,2021-05-12,8338,Lids
15,2021-05-13,5616,Lids
16,2021-05-14,4648,Lids
17,2021-05-15,4311,Lids
18,2021-05-16,4299,Lids
19,2021-05-17,3805,Lids
20,2021-05-18,4708,Lids
21,2021-05-19,7771,Lids
22,2021-05-20,12763,Lids
23,2021-05-21,17198,Lids
24,2021-05-22,10203,Lids
25,2021-05-23,11844,Lids
26,2021-05-24,12484,Lids
27,2021-05-25,10319,Lids
28,2021-05-26,9949,Lids
29,2021-05-27,8562,Lids
30,2021-05-28,10684,Lids
31,2021-05-29,6604,Lids
32,2021-05-30,5449,Lids
33,2021-05-31,5005,Lids
34,2021-06-01,3477,Lids
35,2021-06-02,2946,Lids
36,2021-06-03,1834,Lids
37,2021-06-04,2420,Lids
38,2021-06-05,2754,Lids
39,2021-06-06,2736,Lids
40,2021-06-07,3420,Lids
41,2021-06-08,4333,Lids
42,2021-06-09,4333,Lids
43,2021-06-10,4722,Lids
44,2021-06-11,5834,Lids
45,2021-06-12,6095,Lids
46,2021-06-13,3752,Lids
47,2021-06-14,3342,Lids
48,2021-06-15,2551,Lids
49,2021-06-16,1996,Lids
50,2021-06-17,2868,Lids
51,2021-06-18,2453,Lids
52,2021-06-19,3061,Lids
53,2021-06-20,3520,Lids
54,2021-06-21,4490,Lids
55,2021-06-22,7197,Lids
56,2021-06-23,8977,Lids
57,2021-06-24,8359,Lids
58,2021-06-25,6718,Lids
59,2021-06-26,2331,Lids
60,2021-06-27,2055,Lids
61,2021-06-28,2157,Lids
62,2021-06-29,2859,Lids
63,2021-06-30,4313,Lids
64,2021-07-01,4697,Lids
65,2021-07-02,4260,Lids
66,2021-07-03,3821,Lids
67,2021-07-04,4331,Lids
68,2021-07-05,5334,Lids
69,2021-07-06,5661,Lids
70,2021-07-07,6626,Lids
71,2021-07-08,4465,Lids
72,2021-07-09,6090,Lids
