,date,value,name_B08BLH4V9X
0,2020-06-28,277539.0,Racks & Displays
1,2020-06-29,277539.0,Racks & Displays
2,2020-06-30,277539.0,Racks & Displays
3,2020-07-01,277539.0,Racks & Displays
4,2020-07-02,244725.0,Racks & Displays
5,2020-07-03,326335.0,Racks & Displays
6,2020-07-04,378591.0,Racks & Displays
7,2020-07-05,378591.0,Racks & Displays
8,2020-07-06,378591.0,Racks & Displays
9,2020-07-07,562178.0,Racks & Displays
10,2020-07-08,562178.0,Racks & Displays
11,2020-07-09,562178.0,Racks & Displays
12,2020-07-10,865239.0,Racks & Displays
13,2020-07-11,865239.0,Racks & Displays
14,2020-07-12,865239.0,Racks & Displays
15,2020-07-13,974418.0,Racks & Displays
16,2020-07-14,1024664.0,Racks & Displays
17,2020-07-15,1024664.0,Racks & Displays
18,2020-07-16,1024664.0,Racks & Displays
19,2020-07-17,1121662.0,Racks & Displays
20,2020-07-18,1121662.0,Racks & Displays
21,2020-07-19,1121662.0,Racks & Displays
22,2020-07-20,1121662.0,Racks & Displays
23,2020-07-21,1222053.0,Racks & Displays
24,2020-07-22,1222053.0,Racks & Displays
25,2020-07-23,1222053.0,Racks & Displays
26,2020-07-24,1335334.0,Racks & Displays
27,2020-07-25,1335334.0,Racks & Displays
28,2020-07-26,1335334.0,Racks & Displays
29,2020-07-27,1434895.0,Racks & Displays
30,2020-07-28,1434895.0,Racks & Displays
31,2020-07-29,1541069.0,Racks & Displays
32,2020-07-30,1541069.0,Racks & Displays
33,2020-07-31,1541069.0,Racks & Displays
34,2020-08-01,1658965.0,Racks & Displays
35,2020-08-02,1658965.0,Racks & Displays
36,2020-08-03,1658965.0,Racks & Displays
37,2020-08-04,1785107.0,Racks & Displays
38,2020-08-05,1785107.0,Racks & Displays
39,2020-08-06,1785107.0,Racks & Displays
40,2020-08-07,1785107.0,Racks & Displays
41,2020-08-08,1785107.0,Racks & Displays
42,2020-08-09,2024985.0,Racks & Displays
43,2020-08-10,2075983.0,Racks & Displays
44,2020-08-11,2075983.0,Racks & Displays
45,2020-08-12,2117884.0,Racks & Displays
46,2020-08-13,2117884.0,Racks & Displays
47,2020-08-14,2117884.0,Racks & Displays
48,2020-08-15,2117884.0,Racks & Displays
49,2020-08-16,2296517.0,Racks & Displays
50,2020-08-17,2296517.0,Racks & Displays
51,2020-08-18,2296517.0,Racks & Displays
52,2020-08-19,2385314.0,Racks & Displays
53,2020-08-20,2385314.0,Racks & Displays
54,2020-08-21,2457073.0,Racks & Displays
55,2020-08-22,2457073.0,Racks & Displays
56,2020-08-23,2457073.0,Racks & Displays
57,2020-08-24,2457073.0,Racks & Displays
58,2020-08-25,226747.0,Racks & Displays
59,2020-08-26,226747.0,Racks & Displays
60,2020-08-27,80319.0,Racks & Displays
61,2020-08-28,64558.0,Racks & Displays
62,2020-08-29,73944.0,Racks & Displays
63,2020-08-30,128453.0,Racks & Displays
64,2020-08-31,128453.0,Racks & Displays
65,2020-09-01,86483.0,Racks & Displays
66,2020-09-02,86483.0,Racks & Displays
