,date,value,name_B08J357J1R
0,2020-09-18,1228.0,Body Fat Monitors
1,2020-09-19,1228.0,Body Fat Monitors
2,2020-09-20,1228.0,Body Fat Monitors
3,2020-09-21,1216.0,Body Fat Monitors
4,2020-09-22,1216.0,Body Fat Monitors
5,2020-09-23,1144.0,Body Fat Monitors
6,2020-09-24,1144.0,Body Fat Monitors
7,2020-09-25,1088.0,Body Fat Monitors
8,2020-09-26,1088.0,Body Fat Monitors
9,2020-09-27,1088.0,Body Fat Monitors
10,2020-09-28,1030.0,Body Fat Monitors
11,2020-09-29,1123.0,Body Fat Monitors
12,2020-09-30,1071.0,Body Fat Monitors
13,2020-10-01,1077.0,Body Fat Monitors
14,2020-10-02,1107.0,Body Fat Monitors
15,2020-10-03,1107.0,Body Fat Monitors
16,2020-10-04,1139.0,Body Fat Monitors
17,2020-10-05,1056.0,Body Fat Monitors
18,2020-10-06,1107.0,Body Fat Monitors
19,2020-10-07,1107.0,Body Fat Monitors
20,2020-10-08,1157.0,Body Fat Monitors
21,2020-10-09,1093.0,Body Fat Monitors
22,2020-10-10,1080.0,Body Fat Monitors
23,2020-10-11,1080.0,Body Fat Monitors
24,2020-10-12,1080.0,Body Fat Monitors
25,2020-10-13,1317.0,Body Fat Monitors
26,2020-10-14,1492.0,Body Fat Monitors
27,2020-10-15,1474.0,Body Fat Monitors
28,2020-10-16,1372.0,Body Fat Monitors
29,2020-10-17,1372.0,Body Fat Monitors
30,2020-10-18,1372.0,Body Fat Monitors
31,2020-10-19,1178.0,Body Fat Monitors
32,2020-10-20,1178.0,Body Fat Monitors
33,2020-10-21,1111.0,Body Fat Monitors
34,2020-10-22,1185.0,Body Fat Monitors
35,2020-10-23,1185.0,Body Fat Monitors
36,2020-10-24,1074.0,Body Fat Monitors
37,2020-10-25,1074.0,Body Fat Monitors
38,2020-10-26,1097.0,Body Fat Monitors
39,2020-10-27,1097.0,Body Fat Monitors
40,2020-10-28,1097.0,Body Fat Monitors
41,2020-10-29,1097.0,Body Fat Monitors
42,2020-10-30,1150.0,Body Fat Monitors
43,2020-10-31,1184.0,Body Fat Monitors
44,2020-11-01,1184.0,Body Fat Monitors
45,2020-11-02,1083.0,Body Fat Monitors
46,2020-11-03,1061.0,Body Fat Monitors
47,2020-11-04,1067.0,Body Fat Monitors
48,2020-11-05,1067.0,Body Fat Monitors
49,2020-11-06,1086.0,Body Fat Monitors
50,2020-11-07,1141.0,Body Fat Monitors
51,2020-11-08,1213.0,Body Fat Monitors
52,2020-11-09,1213.0,Body Fat Monitors
53,2020-11-10,1213.0,Body Fat Monitors
54,2020-11-11,1221.0,Body Fat Monitors
55,2020-11-12,1221.0,Body Fat Monitors
56,2020-11-13,1010.0,Body Fat Monitors
57,2020-11-14,1010.0,Body Fat Monitors
58,2020-11-15,1231.0,Body Fat Monitors
59,2020-11-16,1103.0,Body Fat Monitors
60,2020-11-17,1103.0,Body Fat Monitors
61,2020-11-18,1019.0,Body Fat Monitors
62,2020-11-19,1019.0,Body Fat Monitors
63,2020-11-20,1019.0,Body Fat Monitors
64,2020-11-21,980.0,Body Fat Monitors
65,2020-11-22,980.0,Body Fat Monitors
66,2020-11-23,1013.0,Body Fat Monitors
67,2020-11-24,1013.0,Body Fat Monitors
68,2020-11-25,1016.0,Body Fat Monitors
69,2020-11-26,1016.0,Body Fat Monitors
70,2020-11-27,1016.0,Body Fat Monitors
71,2020-11-28,1282.0,Body Fat Monitors
72,2020-11-29,1332.0,Body Fat Monitors
73,2020-11-30,1332.0,Body Fat Monitors
74,2020-12-01,1249.0,Body Fat Monitors
75,2020-12-02,1249.0,Body Fat Monitors
76,2020-12-03,1249.0,Body Fat Monitors
77,2020-12-04,1064.0,Body Fat Monitors
78,2020-12-05,1064.0,Body Fat Monitors
79,2020-12-06,1064.0,Body Fat Monitors
