,date,value,name_B0948T632J
0,2021-05-11,113287.0,Kitchen & Dining Features
1,2021-05-12,132318.0,Kitchen & Dining Features
2,2021-05-13,110607.0,Kitchen & Dining Features
3,2021-05-14,83965.0,Kitchen & Dining Features
4,2021-05-15,83965.0,Kitchen & Dining Features
5,2021-05-16,83965.0,Kitchen & Dining Features
6,2021-05-17,88305.0,Kitchen & Dining Features
7,2021-05-18,75681.0,Kitchen & Dining Features
8,2021-05-19,73860.0,Kitchen & Dining Features
9,2021-05-20,51611.0,Kitchen & Dining Features
10,2021-05-21,90010.0,Kitchen & Dining Features
11,2021-05-22,68043.0,Kitchen & Dining Features
12,2021-05-23,68043.0,Kitchen & Dining Features
13,2021-05-24,68043.0,Kitchen & Dining Features
14,2021-05-25,69828.0,Kitchen & Dining Features
15,2021-05-26,70133.0,Kitchen & Dining Features
16,2021-05-27,52041.0,Kitchen & Dining Features
17,2021-05-28,47518.0,Kitchen & Dining Features
18,2021-05-29,48637.0,Kitchen & Dining Features
19,2021-05-30,48637.0,Kitchen & Dining Features
20,2021-05-31,48637.0,Kitchen & Dining Features
21,2021-06-01,48637.0,Kitchen & Dining Features
22,2021-06-02,65059.0,Kitchen & Dining Features
23,2021-06-03,101359.0,Kitchen & Dining Features
24,2021-06-04,101359.0,Kitchen & Dining Features
25,2021-06-05,96322.0,Kitchen & Dining Features
26,2021-06-06,80022.0,Kitchen & Dining Features
27,2021-06-07,80022.0,Kitchen & Dining Features
28,2021-06-08,80022.0,Kitchen & Dining Features
29,2021-06-09,80022.0,Kitchen & Dining Features
30,2021-06-10,105373.0,Kitchen & Dining Features
31,2021-06-11,99841.0,Kitchen & Dining Features
32,2021-06-12,99841.0,Kitchen & Dining Features
33,2021-06-13,99841.0,Kitchen & Dining Features
34,2021-06-14,103771.0,Kitchen & Dining Features
35,2021-06-15,127854.0,Kitchen & Dining Features
36,2021-06-16,80436.0,Kitchen & Dining Features
37,2021-06-17,80436.0,Kitchen & Dining Features
38,2021-06-18,49850.0,Kitchen & Dining Features
39,2021-06-19,49850.0,Kitchen & Dining Features
40,2021-06-20,102027.0,Kitchen & Dining Features
41,2021-06-21,98242.0,Kitchen & Dining Features
42,2021-06-22,98242.0,Kitchen & Dining Features
43,2021-06-23,84176.0,Kitchen & Dining Features
44,2021-06-24,84176.0,Kitchen & Dining Features
45,2021-06-25,48498.0,Kitchen & Dining Features
46,2021-06-26,28883.0,Kitchen & Dining Features
47,2021-06-27,28883.0,Kitchen & Dining Features
48,2021-06-28,28883.0,Kitchen & Dining Features
49,2021-06-29,32508.0,Kitchen & Dining Features
50,2021-06-30,32508.0,Kitchen & Dining Features
51,2021-07-01,32508.0,Kitchen & Dining Features
52,2021-07-02,30720.0,Kitchen & Dining Features
53,2021-07-03,30720.0,Kitchen & Dining Features
54,2021-07-04,38210.0,Kitchen & Dining Features
55,2021-07-05,38210.0,Kitchen & Dining Features
56,2021-07-06,38210.0,Kitchen & Dining Features
57,2021-07-07,53503.0,Kitchen & Dining Features
58,2021-07-08,57584.0,Kitchen & Dining Features
59,2021-07-09,60495.0,Kitchen & Dining Features
