,date,value,name_B08HYMGP18
117,2021-03-17,107383.0,Free Standing Shoe Racks
118,2021-03-18,107383.0,Free Standing Shoe Racks
119,2021-03-19,107383.0,Free Standing Shoe Racks
120,2021-03-20,82524.0,Free Standing Shoe Racks
121,2021-03-21,109678.0,Free Standing Shoe Racks
122,2021-03-22,120725.0,Free Standing Shoe Racks
123,2021-03-23,145549.0,Free Standing Shoe Racks
124,2021-03-24,129462.0,Free Standing Shoe Racks
125,2021-03-25,107301.0,Free Standing Shoe Racks
126,2021-03-26,117512.0,Free Standing Shoe Racks
127,2021-03-27,117512.0,Free Standing Shoe Racks
128,2021-03-28,142763.0,Free Standing Shoe Racks
129,2021-03-29,154346.0,Free Standing Shoe Racks
130,2021-03-30,140249.0,Free Standing Shoe Racks
131,2021-03-31,231386.0,Free Standing Shoe Racks
132,2021-04-01,247557.0,Free Standing Shoe Racks
133,2021-04-02,84171.0,Free Standing Shoe Racks
134,2021-04-03,126569.0,Free Standing Shoe Racks
135,2021-04-04,126569.0,Free Standing Shoe Racks
136,2021-04-05,133168.0,Free Standing Shoe Racks
137,2021-04-06,133168.0,Free Standing Shoe Racks
138,2021-04-07,168978.0,Free Standing Shoe Racks
139,2021-04-08,182251.0,Free Standing Shoe Racks
140,2021-04-09,89059.0,Free Standing Shoe Racks
141,2021-04-10,130070.0,Free Standing Shoe Racks
142,2021-04-11,173079.0,Free Standing Shoe Racks
143,2021-04-12,149584.0,Free Standing Shoe Racks
144,2021-04-13,137301.0,Free Standing Shoe Racks
145,2021-04-14,137301.0,Free Standing Shoe Racks
146,2021-04-15,137301.0,Free Standing Shoe Racks
147,2021-04-16,120743.0,Free Standing Shoe Racks
148,2021-04-17,105828.0,Free Standing Shoe Racks
149,2021-04-18,64192.0,Free Standing Shoe Racks
150,2021-04-19,69460.0,Free Standing Shoe Racks
151,2021-04-20,110126.0,Free Standing Shoe Racks
152,2021-04-21,137295.0,Free Standing Shoe Racks
153,2021-04-22,137295.0,Free Standing Shoe Racks
154,2021-04-23,83136.0,Free Standing Shoe Racks
155,2021-04-24,80041.0,Free Standing Shoe Racks
156,2021-04-25,82383.0,Free Standing Shoe Racks
157,2021-04-26,52621.0,Free Standing Shoe Racks
158,2021-04-27,67687.0,Free Standing Shoe Racks
159,2021-04-28,67687.0,Free Standing Shoe Racks
160,2021-04-29,67687.0,Free Standing Shoe Racks
161,2021-04-30,53920.0,Free Standing Shoe Racks
162,2021-05-01,53920.0,Free Standing Shoe Racks
163,2021-05-02,62125.0,Free Standing Shoe Racks
164,2021-05-03,58994.0,Free Standing Shoe Racks
165,2021-05-04,58994.0,Free Standing Shoe Racks
166,2021-05-05,63053.0,Free Standing Shoe Racks
167,2021-05-06,24471.0,Free Standing Shoe Racks
168,2021-05-07,24471.0,Free Standing Shoe Racks
169,2021-05-08,23461.0,Free Standing Shoe Racks
170,2021-05-09,33564.0,Free Standing Shoe Racks
171,2021-05-10,33267.0,Free Standing Shoe Racks
172,2021-05-11,26864.0,Free Standing Shoe Racks
173,2021-05-12,25722.0,Free Standing Shoe Racks
174,2021-05-13,25657.0,Free Standing Shoe Racks
175,2021-05-14,28299.0,Free Standing Shoe Racks
176,2021-05-15,28299.0,Free Standing Shoe Racks
177,2021-05-16,28571.0,Free Standing Shoe Racks
178,2021-05-17,28571.0,Free Standing Shoe Racks
179,2021-05-18,44679.0,Free Standing Shoe Racks
180,2021-05-19,48777.0,Free Standing Shoe Racks
181,2021-05-20,54948.0,Free Standing Shoe Racks
182,2021-05-21,54948.0,Free Standing Shoe Racks
183,2021-05-22,43025.0,Free Standing Shoe Racks
184,2021-05-23,43025.0,Free Standing Shoe Racks
185,2021-05-24,37436.0,Free Standing Shoe Racks
186,2021-05-25,40319.0,Free Standing Shoe Racks
187,2021-05-26,58119.0,Free Standing Shoe Racks
188,2021-05-27,58119.0,Free Standing Shoe Racks
189,2021-05-28,36352.0,Free Standing Shoe Racks
190,2021-05-29,34816.0,Free Standing Shoe Racks
191,2021-05-30,28390.0,Free Standing Shoe Racks
192,2021-05-31,28390.0,Free Standing Shoe Racks
193,2021-06-01,28390.0,Free Standing Shoe Racks
194,2021-06-02,31537.0,Free Standing Shoe Racks
195,2021-06-03,33362.0,Free Standing Shoe Racks
196,2021-06-04,27597.0,Free Standing Shoe Racks
197,2021-06-05,27597.0,Free Standing Shoe Racks
198,2021-06-06,28318.0,Free Standing Shoe Racks
199,2021-06-07,28356.0,Free Standing Shoe Racks
200,2021-06-08,32832.0,Free Standing Shoe Racks
201,2021-06-09,33666.0,Free Standing Shoe Racks
202,2021-06-10,42942.0,Free Standing Shoe Racks
203,2021-06-11,51333.0,Free Standing Shoe Racks
204,2021-06-12,22600.0,Free Standing Shoe Racks
205,2021-06-13,22600.0,Free Standing Shoe Racks
206,2021-06-14,29216.0,Free Standing Shoe Racks
207,2021-06-15,29481.0,Free Standing Shoe Racks
208,2021-06-16,38464.0,Free Standing Shoe Racks
209,2021-06-17,43289.0,Free Standing Shoe Racks
210,2021-06-18,46314.0,Free Standing Shoe Racks
211,2021-06-19,46314.0,Free Standing Shoe Racks
212,2021-06-20,46314.0,Free Standing Shoe Racks
213,2021-06-21,38643.0,Free Standing Shoe Racks
214,2021-06-22,31333.0,Free Standing Shoe Racks
215,2021-06-23,31333.0,Free Standing Shoe Racks
