,date,value,name_B0854NMH99
0,2020-05-27,14483.0,Whey
1,2020-05-28,14178.0,Whey
2,2020-05-29,14178.0,Whey
3,2020-05-30,14178.0,Whey
4,2020-05-31,14178.0,Whey
5,2020-06-01,14178.0,Whey
6,2020-06-02,13462.0,Whey
7,2020-06-03,11934.0,Whey
8,2020-06-04,11934.0,Whey
9,2020-06-05,11934.0,Whey
10,2020-06-06,11934.0,Whey
11,2020-06-07,11934.0,Whey
12,2020-06-08,11934.0,Whey
13,2020-06-09,13914.0,Whey
14,2020-06-10,13914.0,Whey
15,2020-06-11,13914.0,Whey
16,2020-06-12,13914.0,Whey
17,2020-06-13,13914.0,Whey
18,2020-06-14,13914.0,Whey
19,2020-06-15,13914.0,Whey
20,2020-06-16,13914.0,Whey
21,2020-06-17,13914.0,Whey
22,2020-06-18,12727.0,Whey
23,2020-06-19,12727.0,Whey
24,2020-06-20,12727.0,Whey
25,2020-06-21,16354.0,Whey
26,2020-06-22,16354.0,Whey
27,2020-06-23,16354.0,Whey
28,2020-06-24,16805.0,Whey
29,2020-06-25,16805.0,Whey
30,2020-06-26,16805.0,Whey
31,2020-06-27,16805.0,Whey
32,2020-06-28,16805.0,Whey
33,2020-06-29,15820.0,Whey
34,2020-06-30,12993.0,Whey
35,2020-07-01,12993.0,Whey
36,2020-07-02,12993.0,Whey
37,2020-07-03,12993.0,Whey
38,2020-07-04,12993.0,Whey
39,2020-07-05,12993.0,Whey
40,2020-07-06,21454.0,Whey
41,2020-07-07,15036.0,Whey
42,2020-07-08,17929.0,Whey
43,2020-07-09,17929.0,Whey
44,2020-07-10,17929.0,Whey
45,2020-07-11,17929.0,Whey
46,2020-07-12,17929.0,Whey
47,2020-07-13,22557.0,Whey
48,2020-07-14,15810.0,Whey
49,2020-07-15,15810.0,Whey
50,2020-07-16,15810.0,Whey
51,2020-07-17,17064.0,Whey
52,2020-07-18,17064.0,Whey
53,2020-07-19,17064.0,Whey
54,2020-07-20,23011.0,Whey
55,2020-07-21,23011.0,Whey
56,2020-07-22,15785.0,Whey
57,2020-07-23,15785.0,Whey
58,2020-07-24,15785.0,Whey
59,2020-07-25,12549.0,Whey
60,2020-07-26,12549.0,Whey
61,2020-07-27,12549.0,Whey
62,2020-07-28,14695.0,Whey
63,2020-07-29,14695.0,Whey
64,2020-07-30,14695.0,Whey
65,2020-07-31,14695.0,Whey
66,2020-08-01,14695.0,Whey
67,2020-08-02,14695.0,Whey
68,2020-08-03,17538.0,Whey
69,2020-08-04,14787.0,Whey
70,2020-08-05,14787.0,Whey
71,2020-08-06,15041.0,Whey
72,2020-08-07,15041.0,Whey
73,2020-08-08,15041.0,Whey
74,2020-08-09,15041.0,Whey
75,2020-08-10,15041.0,Whey
76,2020-08-11,15041.0,Whey
77,2020-08-12,15283.0,Whey
78,2020-08-13,15283.0,Whey
79,2020-08-14,15283.0,Whey
80,2020-08-15,12565.0,Whey
81,2020-08-16,12565.0,Whey
82,2020-08-17,12565.0,Whey
83,2020-08-18,13892.0,Whey
84,2020-08-19,13063.0,Whey
85,2020-08-20,13063.0,Whey
86,2020-08-21,13063.0,Whey
87,2020-08-22,13063.0,Whey
88,2020-08-23,13063.0,Whey
89,2020-08-24,17757.0,Whey
90,2020-08-25,17757.0,Whey
91,2020-08-26,17757.0,Whey
92,2020-08-27,14512.0,Whey
93,2020-08-28,14512.0,Whey
94,2020-08-29,14512.0,Whey
95,2020-08-30,16360.0,Whey
96,2020-08-31,16360.0,Whey
97,2020-09-01,15368.0,Whey
98,2020-09-02,15368.0,Whey
99,2020-09-03,15368.0,Whey
100,2020-09-04,15368.0,Whey
101,2020-09-05,16179.0,Whey
102,2020-09-06,16179.0,Whey
103,2020-09-07,22747.0,Whey
104,2020-09-08,22747.0,Whey
105,2020-09-09,19662.0,Whey
106,2020-09-10,19662.0,Whey
107,2020-09-11,19662.0,Whey
108,2020-09-12,20974.0,Whey
109,2020-09-13,20974.0,Whey
110,2020-09-14,20974.0,Whey
111,2020-09-15,20974.0,Whey
112,2020-09-16,17997.0,Whey
113,2020-09-17,17997.0,Whey
114,2020-09-18,20546.0,Whey
