,date,value,name_B07P41PJX5
0,2019-03-15,182256.0,Cleaning Tools
1,2019-03-16,182256.0,Cleaning Tools
2,2019-03-17,140880.0,Cleaning Tools
3,2019-03-18,107497.0,Cleaning Tools
4,2019-03-19,107497.0,Cleaning Tools
5,2019-03-20,107497.0,Cleaning Tools
6,2019-03-21,107497.0,Cleaning Tools
7,2019-03-22,123559.0,Cleaning Tools
8,2019-03-23,123559.0,Cleaning Tools
9,2019-03-24,123559.0,Cleaning Tools
10,2019-03-25,123559.0,Cleaning Tools
11,2019-03-26,123559.0,Cleaning Tools
12,2019-03-27,118069.0,Cleaning Tools
13,2019-03-28,118069.0,Cleaning Tools
14,2019-03-29,47429.0,Cleaning Tools
15,2019-03-30,47429.0,Cleaning Tools
16,2019-03-31,47429.0,Cleaning Tools
17,2019-04-01,47429.0,Cleaning Tools
18,2019-04-02,133978.0,Cleaning Tools
19,2019-04-03,133978.0,Cleaning Tools
20,2019-04-04,133978.0,Cleaning Tools
21,2019-04-05,133978.0,Cleaning Tools
22,2019-04-06,84925.0,Cleaning Tools
23,2019-04-07,84925.0,Cleaning Tools
24,2019-04-08,84925.0,Cleaning Tools
25,2019-04-09,171157.0,Cleaning Tools
26,2019-04-10,171157.0,Cleaning Tools
27,2019-04-11,171157.0,Cleaning Tools
28,2019-04-12,171157.0,Cleaning Tools
29,2019-04-13,171157.0,Cleaning Tools
30,2019-04-14,171157.0,Cleaning Tools
31,2019-04-15,171157.0,Cleaning Tools
32,2019-04-16,171157.0,Cleaning Tools
33,2019-04-17,171157.0,Cleaning Tools
34,2019-04-18,171157.0,Cleaning Tools
35,2019-04-19,171157.0,Cleaning Tools
36,2019-04-20,88746.0,Cleaning Tools
37,2019-04-21,88746.0,Cleaning Tools
38,2019-04-22,49708.0,Cleaning Tools
39,2019-04-23,49708.0,Cleaning Tools
40,2019-04-24,64052.0,Cleaning Tools
41,2019-04-25,64052.0,Cleaning Tools
42,2019-04-26,64052.0,Cleaning Tools
43,2019-04-27,64052.0,Cleaning Tools
44,2019-04-28,64052.0,Cleaning Tools
45,2019-04-29,64052.0,Cleaning Tools
