,date,value,name_B08T8VWV9D
0,2021-03-30,92563.0,Panels
1,2021-03-31,92563.0,Panels
2,2021-04-01,98691.0,Panels
3,2021-04-02,98691.0,Panels
4,2021-04-03,98691.0,Panels
5,2021-04-04,98691.0,Panels
6,2021-04-05,98691.0,Panels
7,2021-04-06,98691.0,Panels
8,2021-04-07,98691.0,Panels
9,2021-04-08,102454.0,Panels
10,2021-04-09,102454.0,Panels
11,2021-04-10,136692.0,Panels
12,2021-04-11,136692.0,Panels
13,2021-04-12,87472.0,Panels
14,2021-04-13,87472.0,Panels
15,2021-04-14,87472.0,Panels
16,2021-04-15,96386.0,Panels
17,2021-04-16,96386.0,Panels
18,2021-04-17,96386.0,Panels
19,2021-04-18,96386.0,Panels
20,2021-04-19,96386.0,Panels
21,2021-04-20,96386.0,Panels
22,2021-04-21,61695.0,Panels
23,2021-04-22,61695.0,Panels
24,2021-04-23,61695.0,Panels
25,2021-04-24,61695.0,Panels
26,2021-04-25,61695.0,Panels
27,2021-04-26,61695.0,Panels
28,2021-04-27,61695.0,Panels
29,2021-04-28,164053.0,Panels
30,2021-04-29,164053.0,Panels
31,2021-04-30,164053.0,Panels
32,2021-05-01,164053.0,Panels
33,2021-05-02,164053.0,Panels
34,2021-05-03,164053.0,Panels
35,2021-05-04,111465.0,Panels
36,2021-05-05,111465.0,Panels
37,2021-05-06,111465.0,Panels
38,2021-05-07,111465.0,Panels
39,2021-05-08,110575.0,Panels
40,2021-05-09,110575.0,Panels
41,2021-05-10,139657.0,Panels
42,2021-05-11,139657.0,Panels
43,2021-05-12,139657.0,Panels
44,2021-05-13,139657.0,Panels
45,2021-05-14,139657.0,Panels
46,2021-05-15,139657.0,Panels
47,2021-05-16,139657.0,Panels
48,2021-05-17,65581.0,Panels
49,2021-05-18,65581.0,Panels
50,2021-05-19,65581.0,Panels
51,2021-05-20,65581.0,Panels
52,2021-05-21,65581.0,Panels
53,2021-05-22,65581.0,Panels
54,2021-05-23,65581.0,Panels
55,2021-05-24,50033.0,Panels
56,2021-05-25,96811.0,Panels
57,2021-05-26,96811.0,Panels
58,2021-05-27,96811.0,Panels
59,2021-05-28,96811.0,Panels
60,2021-05-29,70627.0,Panels
61,2021-05-30,70627.0,Panels
62,2021-05-31,70627.0,Panels
63,2021-06-01,116235.0,Panels
64,2021-06-02,116235.0,Panels
65,2021-06-03,76153.0,Panels
66,2021-06-04,76153.0,Panels
67,2021-06-05,76153.0,Panels
68,2021-06-06,85295.0,Panels
69,2021-06-07,85295.0,Panels
70,2021-06-08,96699.0,Panels
71,2021-06-09,96699.0,Panels
72,2021-06-10,96699.0,Panels
73,2021-06-11,96699.0,Panels
74,2021-06-12,96699.0,Panels
75,2021-06-13,85954.0,Panels
76,2021-06-14,85954.0,Panels
77,2021-06-15,85954.0,Panels
78,2021-06-16,85954.0,Panels
79,2021-06-17,85954.0,Panels
80,2021-06-18,85954.0,Panels
81,2021-06-19,100689.0,Panels
82,2021-06-20,100689.0,Panels
83,2021-06-21,91330.0,Panels
84,2021-06-22,91330.0,Panels
85,2021-06-23,66676.0,Panels
86,2021-06-24,66676.0,Panels
87,2021-06-25,100528.0,Panels
88,2021-06-26,86042.0,Panels
89,2021-06-27,86042.0,Panels
90,2021-06-28,86042.0,Panels
91,2021-06-29,87478.0,Panels
92,2021-06-30,92816.0,Panels
93,2021-07-01,74191.0,Panels
94,2021-07-02,74191.0,Panels
95,2021-07-03,85877.0,Panels
96,2021-07-04,85877.0,Panels
97,2021-07-05,85877.0,Panels
98,2021-07-06,85877.0,Panels
99,2021-07-07,84621.0,Panels
100,2021-07-08,84621.0,Panels
101,2021-07-09,96562.0,Panels
