,date,value,name_B08CR9J4X7
0,2020-07-15,8589.0,Muscle Stimulators & Accessories
1,2020-07-16,8663.0,Muscle Stimulators & Accessories
2,2020-07-17,8663.0,Muscle Stimulators & Accessories
3,2020-07-18,8663.0,Muscle Stimulators & Accessories
4,2020-07-19,8212.0,Muscle Stimulators & Accessories
5,2020-07-20,10396.0,Muscle Stimulators & Accessories
6,2020-07-21,7020.0,Muscle Stimulators & Accessories
7,2020-07-22,7190.0,Muscle Stimulators & Accessories
8,2020-07-23,8918.0,Muscle Stimulators & Accessories
9,2020-07-24,8918.0,Muscle Stimulators & Accessories
10,2020-07-25,8918.0,Muscle Stimulators & Accessories
11,2020-07-26,9467.0,Muscle Stimulators & Accessories
12,2020-07-27,9464.0,Muscle Stimulators & Accessories
13,2020-07-28,9730.0,Muscle Stimulators & Accessories
14,2020-07-29,10395.0,Muscle Stimulators & Accessories
15,2020-07-30,7589.0,Muscle Stimulators & Accessories
16,2020-07-31,7663.0,Muscle Stimulators & Accessories
17,2020-08-01,7663.0,Muscle Stimulators & Accessories
18,2020-08-02,7663.0,Muscle Stimulators & Accessories
19,2020-08-03,9598.0,Muscle Stimulators & Accessories
20,2020-08-04,7753.0,Muscle Stimulators & Accessories
21,2020-08-05,7753.0,Muscle Stimulators & Accessories
22,2020-08-06,7753.0,Muscle Stimulators & Accessories
23,2020-08-07,7753.0,Muscle Stimulators & Accessories
24,2020-08-08,5211.0,Muscle Stimulators & Accessories
25,2020-08-09,5211.0,Muscle Stimulators & Accessories
26,2020-08-10,8063.0,Muscle Stimulators & Accessories
27,2020-08-11,8063.0,Muscle Stimulators & Accessories
28,2020-08-12,8063.0,Muscle Stimulators & Accessories
29,2020-08-13,7597.0,Muscle Stimulators & Accessories
30,2020-08-14,9742.0,Muscle Stimulators & Accessories
31,2020-08-15,9354.0,Muscle Stimulators & Accessories
32,2020-08-16,9473.0,Muscle Stimulators & Accessories
33,2020-08-17,9473.0,Muscle Stimulators & Accessories
34,2020-08-18,11544.0,Muscle Stimulators & Accessories
35,2020-08-19,9990.0,Muscle Stimulators & Accessories
36,2020-08-20,9990.0,Muscle Stimulators & Accessories
37,2020-08-21,8441.0,Muscle Stimulators & Accessories
38,2020-08-22,8441.0,Muscle Stimulators & Accessories
39,2020-08-23,8441.0,Muscle Stimulators & Accessories
40,2020-08-24,9308.0,Muscle Stimulators & Accessories
41,2020-08-25,9308.0,Muscle Stimulators & Accessories
42,2020-08-26,9308.0,Muscle Stimulators & Accessories
43,2020-08-27,8310.0,Muscle Stimulators & Accessories
44,2020-08-28,8310.0,Muscle Stimulators & Accessories
45,2020-08-29,8666.0,Muscle Stimulators & Accessories
46,2020-08-30,8666.0,Muscle Stimulators & Accessories
47,2020-08-31,8666.0,Muscle Stimulators & Accessories
48,2020-09-01,10104.0,Muscle Stimulators & Accessories
49,2020-09-02,10104.0,Muscle Stimulators & Accessories
50,2020-09-03,10104.0,Muscle Stimulators & Accessories
51,2020-09-04,7729.0,Muscle Stimulators & Accessories
52,2020-09-05,7729.0,Muscle Stimulators & Accessories
53,2020-09-06,7729.0,Muscle Stimulators & Accessories
54,2020-09-07,8681.0,Muscle Stimulators & Accessories
55,2020-09-08,8681.0,Muscle Stimulators & Accessories
56,2020-09-09,8681.0,Muscle Stimulators & Accessories
57,2020-09-10,8681.0,Muscle Stimulators & Accessories
58,2020-09-11,8827.0,Muscle Stimulators & Accessories
59,2020-09-12,8827.0,Muscle Stimulators & Accessories
60,2020-09-13,7279.0,Muscle Stimulators & Accessories
61,2020-09-14,7279.0,Muscle Stimulators & Accessories
62,2020-09-15,8364.0,Muscle Stimulators & Accessories
63,2020-09-16,8364.0,Muscle Stimulators & Accessories
64,2020-09-17,8364.0,Muscle Stimulators & Accessories
65,2020-09-18,7393.0,Muscle Stimulators & Accessories
66,2020-09-19,7393.0,Muscle Stimulators & Accessories
67,2020-09-20,7393.0,Muscle Stimulators & Accessories
68,2020-09-21,8955.0,Muscle Stimulators & Accessories
69,2020-09-22,8955.0,Muscle Stimulators & Accessories
70,2020-09-23,8955.0,Muscle Stimulators & Accessories
