,date,value,name_B08YJ5X9VX
0,2021-03-17,22468.0,Hookahs
1,2021-03-18,22468.0,Hookahs
2,2021-03-19,22468.0,Hookahs
3,2021-03-20,22468.0,Hookahs
4,2021-03-21,38170.0,Hookahs
5,2021-03-22,38170.0,Hookahs
6,2021-03-23,38170.0,Hookahs
7,2021-03-24,43459.0,Hookahs
8,2021-03-25,38467.0,Hookahs
9,2021-03-26,38467.0,Hookahs
10,2021-03-27,38467.0,Hookahs
11,2021-03-28,38467.0,Hookahs
12,2021-03-29,19858.0,Hookahs
13,2021-03-30,19858.0,Hookahs
14,2021-03-31,19858.0,Hookahs
15,2021-04-01,19858.0,Hookahs
16,2021-04-02,19858.0,Hookahs
17,2021-04-03,19858.0,Hookahs
18,2021-04-04,18104.0,Hookahs
19,2021-04-05,18104.0,Hookahs
20,2021-04-06,13171.0,Hookahs
21,2021-04-07,13171.0,Hookahs
22,2021-04-08,13171.0,Hookahs
23,2021-04-09,19100.0,Hookahs
24,2021-04-10,19100.0,Hookahs
25,2021-04-11,19100.0,Hookahs
26,2021-04-12,13969.0,Hookahs
27,2021-04-13,13969.0,Hookahs
28,2021-04-14,13969.0,Hookahs
29,2021-04-15,14570.0,Hookahs
30,2021-04-16,14570.0,Hookahs
31,2021-04-17,14570.0,Hookahs
32,2021-04-18,14570.0,Hookahs
33,2021-04-19,14570.0,Hookahs
34,2021-04-20,14570.0,Hookahs
35,2021-04-21,15199.0,Hookahs
36,2021-04-22,15199.0,Hookahs
37,2021-04-23,15199.0,Hookahs
38,2021-04-24,13885.0,Hookahs
39,2021-04-25,13885.0,Hookahs
40,2021-04-26,13390.0,Hookahs
41,2021-04-27,13390.0,Hookahs
42,2021-04-28,12145.0,Hookahs
43,2021-04-29,12145.0,Hookahs
44,2021-04-30,12145.0,Hookahs
45,2021-05-01,11620.0,Hookahs
46,2021-05-02,12570.0,Hookahs
47,2021-05-03,12570.0,Hookahs
48,2021-05-04,15509.0,Hookahs
49,2021-05-05,15509.0,Hookahs
50,2021-05-06,17763.0,Hookahs
51,2021-05-07,16550.0,Hookahs
52,2021-05-08,16550.0,Hookahs
53,2021-05-09,14726.0,Hookahs
54,2021-05-10,18242.0,Hookahs
55,2021-05-11,18242.0,Hookahs
56,2021-05-12,14953.0,Hookahs
57,2021-05-13,14953.0,Hookahs
58,2021-05-14,13011.0,Hookahs
59,2021-05-15,13838.0,Hookahs
60,2021-05-16,13838.0,Hookahs
61,2021-05-17,13838.0,Hookahs
62,2021-05-18,14661.0,Hookahs
63,2021-05-19,16394.0,Hookahs
64,2021-05-20,13755.0,Hookahs
65,2021-05-21,17204.0,Hookahs
66,2021-05-22,14841.0,Hookahs
67,2021-05-23,14841.0,Hookahs
68,2021-05-24,11607.0,Hookahs
69,2021-05-25,14721.0,Hookahs
70,2021-05-26,14721.0,Hookahs
71,2021-05-27,12511.0,Hookahs
72,2021-05-28,12511.0,Hookahs
73,2021-05-29,13396.0,Hookahs
74,2021-05-30,15698.0,Hookahs
75,2021-05-31,15698.0,Hookahs
76,2021-06-01,14994.0,Hookahs
77,2021-06-02,14994.0,Hookahs
78,2021-06-03,14862.0,Hookahs
79,2021-06-04,14862.0,Hookahs
80,2021-06-05,15232.0,Hookahs
81,2021-06-06,13143.0,Hookahs
82,2021-06-07,13143.0,Hookahs
83,2021-06-08,14700.0,Hookahs
84,2021-06-09,14700.0,Hookahs
85,2021-06-10,13444.0,Hookahs
86,2021-06-11,12429.0,Hookahs
87,2021-06-12,12429.0,Hookahs
88,2021-06-13,12429.0,Hookahs
89,2021-06-14,19503.0,Hookahs
90,2021-06-15,19503.0,Hookahs
91,2021-06-16,14394.0,Hookahs
92,2021-06-17,14394.0,Hookahs
93,2021-06-18,13130.0,Hookahs
94,2021-06-19,12960.0,Hookahs
95,2021-06-20,12373.0,Hookahs
96,2021-06-21,11707.0,Hookahs
97,2021-06-22,19181.0,Hookahs
98,2021-06-23,19181.0,Hookahs
99,2021-06-24,14527.0,Hookahs
100,2021-06-25,14527.0,Hookahs
101,2021-06-26,13029.0,Hookahs
102,2021-06-27,15778.0,Hookahs
103,2021-06-28,15778.0,Hookahs
104,2021-06-29,16719.0,Hookahs
105,2021-06-30,16719.0,Hookahs
106,2021-07-01,14794.0,Hookahs
107,2021-07-02,14286.0,Hookahs
108,2021-07-03,13892.0,Hookahs
109,2021-07-04,12590.0,Hookahs
110,2021-07-05,13146.0,Hookahs
111,2021-07-06,12478.0,Hookahs
112,2021-07-07,11079.0,Hookahs
113,2021-07-08,14812.0,Hookahs
114,2021-07-09,17737.0,Hookahs
115,2021-07-10,22307.0,Hookahs
116,2021-07-11,17490.0,Hookahs
