,date,value,name_B07TY6854M
0,2019-07-08,37558.0,Tables
1,2019-07-09,27152.0,Tables
2,2019-07-10,34531.0,Tables
3,2019-07-11,38277.0,Tables
4,2019-07-12,28293.0,Tables
5,2019-07-13,26344.0,Tables
6,2019-07-14,19599.0,Tables
7,2019-07-15,27298.0,Tables
8,2019-07-16,29445.0,Tables
9,2019-07-17,21204.0,Tables
10,2019-07-18,22628.0,Tables
11,2019-07-19,24120.0,Tables
12,2019-07-20,26330.0,Tables
13,2019-07-21,47674.0,Tables
14,2019-07-22,54290.0,Tables
15,2019-07-23,60281.0,Tables
16,2019-07-24,50662.0,Tables
17,2019-07-25,49911.0,Tables
18,2019-07-26,51224.0,Tables
19,2019-07-27,58118.0,Tables
20,2019-07-28,41543.0,Tables
21,2019-07-29,56168.0,Tables
22,2019-07-30,71067.0,Tables
23,2019-07-31,58737.0,Tables
24,2019-08-01,67927.0,Tables
25,2019-08-02,46470.0,Tables
26,2019-08-03,42005.0,Tables
27,2019-08-04,51619.0,Tables
28,2019-08-05,73358.0,Tables
29,2019-08-06,59493.0,Tables
30,2019-08-07,71476.0,Tables
31,2019-08-08,34621.0,Tables
32,2019-08-09,34621.0,Tables
33,2019-08-10,30175.0,Tables
34,2019-08-11,44372.0,Tables
35,2019-08-12,29927.0,Tables
36,2019-08-13,29927.0,Tables
37,2019-08-14,23079.0,Tables
38,2019-08-15,54633.0,Tables
39,2019-08-16,54633.0,Tables
40,2019-08-17,53560.0,Tables
41,2019-08-18,53560.0,Tables
42,2019-08-19,53560.0,Tables
43,2019-08-20,35428.0,Tables
44,2019-08-21,26487.0,Tables
45,2019-08-22,27550.0,Tables
46,2019-08-23,39490.0,Tables
47,2019-08-24,32351.0,Tables
48,2019-08-25,48008.0,Tables
49,2019-08-26,48008.0,Tables
50,2019-08-27,48008.0,Tables
51,2019-08-28,67981.0,Tables
52,2019-08-29,67981.0,Tables
53,2019-08-30,67981.0,Tables
54,2019-08-31,59734.0,Tables
55,2019-09-01,59734.0,Tables
56,2019-09-02,59734.0,Tables
57,2019-09-03,44561.0,Tables
58,2019-09-04,33817.0,Tables
59,2019-09-05,73002.0,Tables
60,2019-09-06,73002.0,Tables
61,2019-09-07,63594.0,Tables
62,2019-09-08,63594.0,Tables
63,2019-09-09,35959.0,Tables
64,2019-09-10,65041.0,Tables
65,2019-09-11,72082.0,Tables
66,2019-09-12,72082.0,Tables
67,2019-09-13,64319.0,Tables
68,2019-09-14,64319.0,Tables
69,2019-09-15,68740.0,Tables
70,2019-09-16,68740.0,Tables
71,2019-09-17,96521.0,Tables
72,2019-09-18,64376.0,Tables
73,2019-09-19,28673.0,Tables
74,2019-09-20,81333.0,Tables
75,2019-09-21,81333.0,Tables
76,2019-09-22,75153.0,Tables
77,2019-09-23,75153.0,Tables
78,2019-09-24,81606.0,Tables
79,2019-09-25,81606.0,Tables
80,2019-09-26,62849.0,Tables
81,2019-09-27,62849.0,Tables
82,2019-09-28,72413.0,Tables
83,2019-09-29,75943.0,Tables
84,2019-09-30,75943.0,Tables
85,2019-10-01,53931.0,Tables
86,2019-10-02,53931.0,Tables
87,2019-10-03,53931.0,Tables
88,2019-10-04,102362.0,Tables
89,2019-10-05,102362.0,Tables
90,2019-10-06,107236.0,Tables
91,2019-10-07,107236.0,Tables
92,2019-10-08,107236.0,Tables
93,2019-10-09,70249.0,Tables
