,date,value,name_B08YZ4S9LM
0,2021-03-16,7894,Beach Toys
1,2021-03-17,6574,Beach Toys
2,2021-03-18,7278,Beach Toys
3,2021-03-19,8005,Beach Toys
4,2021-03-20,7234,Beach Toys
5,2021-03-21,7551,Beach Toys
6,2021-03-22,6091,Beach Toys
7,2021-03-23,5893,Beach Toys
8,2021-03-24,5703,Beach Toys
9,2021-03-25,5730,Beach Toys
10,2021-03-26,5327,Beach Toys
11,2021-03-27,5609,Beach Toys
12,2021-03-28,6790,Beach Toys
13,2021-03-29,7490,Beach Toys
14,2021-03-30,7990,Beach Toys
15,2021-03-31,6763,Beach Toys
16,2021-04-01,41185,Beach Toys
17,2021-04-02,38650,Beach Toys
18,2021-04-03,35515,Beach Toys
19,2021-04-04,31211,Beach Toys
20,2021-04-05,26985,Beach Toys
21,2021-04-06,34794,Beach Toys
22,2021-04-07,36691,Beach Toys
23,2021-04-08,30478,Beach Toys
24,2021-04-09,36030,Beach Toys
25,2021-04-10,39918,Beach Toys
26,2021-04-11,45704,Beach Toys
27,2021-04-12,21938,Beach Toys
28,2021-04-13,39218,Beach Toys
29,2021-04-14,36305,Beach Toys
30,2021-04-15,36936,Beach Toys
31,2021-04-16,26533,Beach Toys
32,2021-04-17,23608,Beach Toys
33,2021-04-18,20634,Beach Toys
34,2021-04-19,21664,Beach Toys
35,2021-04-20,16106,Beach Toys
36,2021-04-21,18921,Beach Toys
37,2021-04-22,21750,Beach Toys
38,2021-04-23,25894,Beach Toys
39,2021-04-24,26851,Beach Toys
40,2021-04-25,20259,Beach Toys
41,2021-04-26,20855,Beach Toys
42,2021-04-27,24280,Beach Toys
43,2021-04-28,18711,Beach Toys
44,2021-04-29,19733,Beach Toys
45,2021-04-30,21978,Beach Toys
46,2021-05-01,21686,Beach Toys
47,2021-05-02,18533,Beach Toys
48,2021-05-03,12801,Beach Toys
49,2021-05-04,14893,Beach Toys
50,2021-05-05,20078,Beach Toys
51,2021-05-06,17814,Beach Toys
52,2021-05-07,23142,Beach Toys
53,2021-05-08,23529,Beach Toys
54,2021-05-09,16659,Beach Toys
55,2021-05-10,22247,Beach Toys
56,2021-05-11,15781,Beach Toys
57,2021-05-12,11842,Beach Toys
58,2021-05-13,15586,Beach Toys
59,2021-05-14,15061,Beach Toys
60,2021-05-15,15973,Beach Toys
61,2021-05-16,13743,Beach Toys
62,2021-05-17,9387,Beach Toys
63,2021-05-18,12171,Beach Toys
64,2021-05-19,12126,Beach Toys
65,2021-05-20,13204,Beach Toys
66,2021-05-21,11483,Beach Toys
67,2021-05-22,8794,Beach Toys
68,2021-05-23,8854,Beach Toys
69,2021-05-24,8353,Beach Toys
70,2021-05-25,10730,Beach Toys
71,2021-05-26,13594,Beach Toys
72,2021-05-27,11980,Beach Toys
73,2021-05-28,14629,Beach Toys
74,2021-05-29,14767,Beach Toys
75,2021-05-30,20412,Beach Toys
76,2021-05-31,16827,Beach Toys
77,2021-06-01,12097,Beach Toys
78,2021-06-02,16640,Beach Toys
79,2021-06-03,17015,Beach Toys
80,2021-06-04,13819,Beach Toys
81,2021-06-05,11263,Beach Toys
82,2021-06-06,10676,Beach Toys
83,2021-06-07,13883,Beach Toys
84,2021-06-08,10023,Beach Toys
85,2021-06-09,13035,Beach Toys
86,2021-06-10,13918,Beach Toys
87,2021-06-11,14390,Beach Toys
88,2021-06-12,15329,Beach Toys
89,2021-06-13,14407,Beach Toys
90,2021-06-14,21863,Beach Toys
91,2021-06-15,23470,Beach Toys
92,2021-06-16,20645,Beach Toys
93,2021-06-17,17043,Beach Toys
94,2021-06-18,18554,Beach Toys
95,2021-06-19,12266,Beach Toys
96,2021-06-20,10680,Beach Toys
97,2021-06-21,11034,Beach Toys
98,2021-06-22,14824,Beach Toys
99,2021-06-23,23106,Beach Toys
100,2021-06-24,20934,Beach Toys
101,2021-06-25,22247,Beach Toys
102,2021-06-26,15446,Beach Toys
103,2021-06-27,6979,Beach Toys
104,2021-06-28,7053,Beach Toys
105,2021-06-29,6667,Beach Toys
106,2021-06-30,6557,Beach Toys
107,2021-07-01,4688,Beach Toys
108,2021-07-02,6087,Beach Toys
109,2021-07-03,7609,Beach Toys
110,2021-07-04,6847,Beach Toys
111,2021-07-05,6774,Beach Toys
112,2021-07-06,6227,Beach Toys
113,2021-07-07,6805,Beach Toys
114,2021-07-08,5940,Beach Toys
115,2021-07-09,7597,Beach Toys
