,date,value,name_B084RK1BJK
0,2020-05-27,13915.0,Multivitamins
1,2020-05-28,13915.0,Multivitamins
2,2020-05-29,13915.0,Multivitamins
3,2020-05-30,15822.0,Multivitamins
4,2020-05-31,15822.0,Multivitamins
5,2020-06-01,15822.0,Multivitamins
6,2020-06-02,15822.0,Multivitamins
7,2020-06-03,15822.0,Multivitamins
8,2020-06-04,15673.0,Multivitamins
9,2020-06-05,15673.0,Multivitamins
10,2020-06-06,15673.0,Multivitamins
11,2020-06-07,15673.0,Multivitamins
12,2020-06-08,15673.0,Multivitamins
13,2020-06-09,12715.0,Multivitamins
14,2020-06-10,12715.0,Multivitamins
15,2020-06-11,12715.0,Multivitamins
16,2020-06-12,14304.0,Multivitamins
17,2020-06-13,14304.0,Multivitamins
18,2020-06-14,14304.0,Multivitamins
19,2020-06-15,15652.0,Multivitamins
20,2020-06-16,15652.0,Multivitamins
21,2020-06-17,15652.0,Multivitamins
22,2020-06-18,13806.0,Multivitamins
23,2020-06-19,13806.0,Multivitamins
24,2020-06-20,14360.0,Multivitamins
25,2020-06-21,14360.0,Multivitamins
26,2020-06-22,14360.0,Multivitamins
27,2020-06-23,12822.0,Multivitamins
28,2020-06-24,12822.0,Multivitamins
29,2020-06-25,13979.0,Multivitamins
30,2020-06-26,13979.0,Multivitamins
31,2020-06-27,13979.0,Multivitamins
32,2020-06-28,13979.0,Multivitamins
33,2020-06-29,14612.0,Multivitamins
34,2020-06-30,14612.0,Multivitamins
35,2020-07-01,14612.0,Multivitamins
36,2020-07-02,18053.0,Multivitamins
37,2020-07-03,18053.0,Multivitamins
38,2020-07-04,13853.0,Multivitamins
39,2020-07-05,13853.0,Multivitamins
40,2020-07-06,13621.0,Multivitamins
41,2020-07-07,13621.0,Multivitamins
42,2020-07-08,13621.0,Multivitamins
43,2020-07-09,13621.0,Multivitamins
44,2020-07-10,14293.0,Multivitamins
45,2020-07-11,11714.0,Multivitamins
46,2020-07-12,11714.0,Multivitamins
47,2020-07-13,11714.0,Multivitamins
48,2020-07-14,17609.0,Multivitamins
49,2020-07-15,17609.0,Multivitamins
50,2020-07-16,16229.0,Multivitamins
51,2020-07-17,16229.0,Multivitamins
52,2020-07-18,16229.0,Multivitamins
53,2020-07-19,10721.0,Multivitamins
54,2020-07-20,10721.0,Multivitamins
55,2020-07-21,10721.0,Multivitamins
56,2020-07-22,10721.0,Multivitamins
