,date,value,name_B0855R2LN1
0,2020-03-04,19512.0,Mattress Protectors
1,2020-03-05,24729.0,Mattress Protectors
2,2020-03-06,24729.0,Mattress Protectors
3,2020-03-07,24729.0,Mattress Protectors
4,2020-03-08,24729.0,Mattress Protectors
5,2020-03-09,24729.0,Mattress Protectors
6,2020-03-10,24729.0,Mattress Protectors
7,2020-03-11,16112.0,Mattress Protectors
8,2020-03-12,13459.0,Mattress Protectors
9,2020-03-13,17660.0,Mattress Protectors
10,2020-03-14,17660.0,Mattress Protectors
11,2020-03-15,17660.0,Mattress Protectors
12,2020-03-16,17660.0,Mattress Protectors
13,2020-03-17,19827.0,Mattress Protectors
14,2020-03-18,19827.0,Mattress Protectors
15,2020-03-19,19827.0,Mattress Protectors
16,2020-03-20,19827.0,Mattress Protectors
17,2020-03-21,19827.0,Mattress Protectors
18,2020-03-22,19827.0,Mattress Protectors
19,2020-03-23,16857.0,Mattress Protectors
20,2020-03-24,16857.0,Mattress Protectors
21,2020-03-25,16857.0,Mattress Protectors
22,2020-03-26,16857.0,Mattress Protectors
23,2020-03-27,16857.0,Mattress Protectors
24,2020-03-28,16857.0,Mattress Protectors
25,2020-03-29,19291.0,Mattress Protectors
26,2020-03-30,19291.0,Mattress Protectors
27,2020-03-31,16303.0,Mattress Protectors
28,2020-04-01,16303.0,Mattress Protectors
29,2020-04-02,16303.0,Mattress Protectors
30,2020-04-03,16303.0,Mattress Protectors
31,2020-04-04,16303.0,Mattress Protectors
32,2020-04-05,30471.0,Mattress Protectors
33,2020-04-06,30471.0,Mattress Protectors
34,2020-04-07,30471.0,Mattress Protectors
35,2020-04-08,30471.0,Mattress Protectors
36,2020-04-09,30471.0,Mattress Protectors
37,2020-04-10,30471.0,Mattress Protectors
38,2020-04-11,30471.0,Mattress Protectors
39,2020-04-12,46711.0,Mattress Protectors
40,2020-04-13,51081.0,Mattress Protectors
41,2020-04-14,51081.0,Mattress Protectors
42,2020-04-15,51081.0,Mattress Protectors
43,2020-04-16,51081.0,Mattress Protectors
44,2020-04-17,51081.0,Mattress Protectors
45,2020-04-18,51081.0,Mattress Protectors
46,2020-04-19,67468.0,Mattress Protectors
47,2020-04-20,67468.0,Mattress Protectors
48,2020-04-21,67468.0,Mattress Protectors
49,2020-04-22,67468.0,Mattress Protectors
50,2020-04-23,67468.0,Mattress Protectors
51,2020-04-24,30679.0,Mattress Protectors
52,2020-04-25,30679.0,Mattress Protectors
53,2020-04-26,30679.0,Mattress Protectors
54,2020-04-27,30679.0,Mattress Protectors
55,2020-04-28,30679.0,Mattress Protectors
56,2020-04-29,30679.0,Mattress Protectors
57,2020-04-30,30679.0,Mattress Protectors
58,2020-05-01,30679.0,Mattress Protectors
59,2020-05-02,30679.0,Mattress Protectors
60,2020-05-03,38078.0,Mattress Protectors
61,2020-05-04,38078.0,Mattress Protectors
62,2020-05-05,38078.0,Mattress Protectors
63,2020-05-06,38078.0,Mattress Protectors
64,2020-05-07,38078.0,Mattress Protectors
65,2020-05-08,38954.0,Mattress Protectors
66,2020-05-09,38954.0,Mattress Protectors
