,date,value,name_B07BRJF2SW
0,2020-10-18,78552.0,Basic Halter Harnesses
1,2020-10-19,45999.0,Basic Halter Harnesses
2,2020-10-20,8675.0,Basic Halter Harnesses
3,2020-10-21,9671.0,Basic Halter Harnesses
4,2020-10-22,9671.0,Basic Halter Harnesses
5,2020-10-23,9671.0,Basic Halter Harnesses
6,2020-10-24,9671.0,Basic Halter Harnesses
7,2020-10-25,9671.0,Basic Halter Harnesses
8,2020-10-26,105391.0,Basic Halter Harnesses
9,2020-10-27,105391.0,Basic Halter Harnesses
10,2020-10-28,105391.0,Basic Halter Harnesses
11,2020-10-29,105391.0,Basic Halter Harnesses
12,2020-10-30,105391.0,Basic Halter Harnesses
13,2020-10-31,105391.0,Basic Halter Harnesses
14,2020-11-01,105391.0,Basic Halter Harnesses
15,2020-11-02,105391.0,Basic Halter Harnesses
16,2020-11-03,92988.0,Basic Halter Harnesses
17,2020-11-04,92988.0,Basic Halter Harnesses
18,2020-11-05,92988.0,Basic Halter Harnesses
19,2020-11-06,92988.0,Basic Halter Harnesses
20,2020-11-07,92988.0,Basic Halter Harnesses
21,2020-11-08,97328.0,Basic Halter Harnesses
22,2020-11-09,105050.0,Basic Halter Harnesses
23,2020-11-10,105050.0,Basic Halter Harnesses
24,2020-11-11,105050.0,Basic Halter Harnesses
25,2020-11-12,115362.0,Basic Halter Harnesses
26,2020-11-13,115362.0,Basic Halter Harnesses
27,2020-11-14,115362.0,Basic Halter Harnesses
28,2020-11-15,115362.0,Basic Halter Harnesses
29,2020-11-16,53355.0,Basic Halter Harnesses
30,2020-11-17,53355.0,Basic Halter Harnesses
31,2020-11-18,53355.0,Basic Halter Harnesses
32,2020-11-19,53355.0,Basic Halter Harnesses
33,2020-11-20,73496.0,Basic Halter Harnesses
34,2020-11-21,73496.0,Basic Halter Harnesses
35,2020-11-22,73496.0,Basic Halter Harnesses
36,2020-11-23,109677.0,Basic Halter Harnesses
37,2020-11-24,109677.0,Basic Halter Harnesses
38,2020-11-25,117647.0,Basic Halter Harnesses
39,2020-11-26,117647.0,Basic Halter Harnesses
40,2020-11-27,84806.0,Basic Halter Harnesses
41,2020-11-28,84806.0,Basic Halter Harnesses
42,2020-11-29,84806.0,Basic Halter Harnesses
43,2020-11-30,84806.0,Basic Halter Harnesses
44,2020-12-01,77813.0,Basic Halter Harnesses
45,2020-12-02,77813.0,Basic Halter Harnesses
46,2020-12-03,77813.0,Basic Halter Harnesses
47,2020-12-04,10953.0,Basic Halter Harnesses
48,2020-12-05,10953.0,Basic Halter Harnesses
49,2020-12-06,10953.0,Basic Halter Harnesses
50,2020-12-07,84574.0,Basic Halter Harnesses
51,2020-12-08,84574.0,Basic Halter Harnesses
52,2020-12-09,84574.0,Basic Halter Harnesses
53,2020-12-10,80516.0,Basic Halter Harnesses
54,2020-12-11,80516.0,Basic Halter Harnesses
55,2020-12-12,80516.0,Basic Halter Harnesses
56,2020-12-13,2105.0,Basic Halter Harnesses
57,2020-12-14,1837.0,Basic Halter Harnesses
58,2020-12-15,1684.0,Basic Halter Harnesses
59,2020-12-16,2508.0,Basic Halter Harnesses
60,2020-12-17,2232.0,Basic Halter Harnesses
61,2020-12-18,1786.0,Basic Halter Harnesses
62,2020-12-19,1926.0,Basic Halter Harnesses
63,2020-12-20,1713.0,Basic Halter Harnesses
64,2020-12-21,1813.0,Basic Halter Harnesses
65,2020-12-22,1637.0,Basic Halter Harnesses
66,2020-12-23,1708.0,Basic Halter Harnesses
67,2020-12-24,1802.0,Basic Halter Harnesses
68,2020-12-25,1802.0,Basic Halter Harnesses
69,2020-12-26,1599.0,Basic Halter Harnesses
70,2020-12-27,1580.0,Basic Halter Harnesses
