,date,value,name_B07ZCJN4H3
0,2019-10-23,3631.0,Umbrella Covers
1,2019-10-24,4416.0,Umbrella Covers
2,2019-10-25,4653.0,Umbrella Covers
3,2019-10-26,5034.0,Umbrella Covers
4,2019-10-27,2548.0,Umbrella Covers
5,2019-10-28,4106.0,Umbrella Covers
6,2019-10-29,4365.0,Umbrella Covers
7,2019-10-30,3863.0,Umbrella Covers
8,2019-10-31,4897.0,Umbrella Covers
9,2019-11-01,6915.0,Umbrella Covers
10,2019-11-02,6471.0,Umbrella Covers
11,2019-11-03,5207.0,Umbrella Covers
12,2019-11-04,5901.0,Umbrella Covers
13,2019-11-05,3721.0,Umbrella Covers
14,2019-11-06,4699.0,Umbrella Covers
15,2019-11-07,3759.0,Umbrella Covers
16,2019-11-08,4530.0,Umbrella Covers
17,2019-11-09,4220.0,Umbrella Covers
18,2019-11-10,5196.0,Umbrella Covers
19,2019-11-11,3470.0,Umbrella Covers
20,2019-11-12,5175.0,Umbrella Covers
21,2019-11-13,4342.0,Umbrella Covers
22,2019-11-14,4071.0,Umbrella Covers
23,2019-11-15,5211.0,Umbrella Covers
24,2019-11-16,6723.0,Umbrella Covers
25,2019-11-17,5496.0,Umbrella Covers
26,2019-11-18,4462.0,Umbrella Covers
27,2019-11-19,4291.0,Umbrella Covers
28,2019-11-20,4291.0,Umbrella Covers
29,2019-11-21,8778.0,Umbrella Covers
30,2019-11-22,11728.0,Umbrella Covers
31,2019-11-23,11728.0,Umbrella Covers
32,2019-11-24,6572.0,Umbrella Covers
33,2019-11-25,6572.0,Umbrella Covers
34,2019-11-26,5758.0,Umbrella Covers
35,2019-11-27,5758.0,Umbrella Covers
36,2019-11-28,6276.0,Umbrella Covers
37,2019-11-29,7019.0,Umbrella Covers
38,2019-11-30,7019.0,Umbrella Covers
39,2019-12-01,7019.0,Umbrella Covers
40,2019-12-02,10300.0,Umbrella Covers
41,2019-12-03,11105.0,Umbrella Covers
42,2019-12-04,11105.0,Umbrella Covers
43,2019-12-05,11105.0,Umbrella Covers
44,2019-12-06,11105.0,Umbrella Covers
45,2019-12-07,11105.0,Umbrella Covers
46,2019-12-08,11105.0,Umbrella Covers
47,2019-12-09,8482.0,Umbrella Covers
48,2019-12-10,8482.0,Umbrella Covers
49,2019-12-11,8482.0,Umbrella Covers
50,2019-12-12,13368.0,Umbrella Covers
51,2019-12-13,13368.0,Umbrella Covers
52,2019-12-14,13368.0,Umbrella Covers
53,2019-12-15,11210.0,Umbrella Covers
54,2019-12-16,12664.0,Umbrella Covers
55,2019-12-17,12664.0,Umbrella Covers
56,2019-12-18,12664.0,Umbrella Covers
57,2019-12-19,12664.0,Umbrella Covers
58,2019-12-20,10371.0,Umbrella Covers
59,2019-12-21,10371.0,Umbrella Covers
60,2019-12-22,10371.0,Umbrella Covers
61,2019-12-23,8998.0,Umbrella Covers
62,2019-12-24,8683.0,Umbrella Covers
63,2019-12-25,8683.0,Umbrella Covers
64,2019-12-26,8683.0,Umbrella Covers
65,2019-12-27,9675.0,Umbrella Covers
66,2019-12-28,9675.0,Umbrella Covers
67,2019-12-29,9675.0,Umbrella Covers
68,2019-12-30,9675.0,Umbrella Covers
69,2019-12-31,9675.0,Umbrella Covers
70,2020-01-01,9675.0,Umbrella Covers
71,2020-01-02,25648.0,Umbrella Covers
72,2020-01-03,25648.0,Umbrella Covers
73,2020-01-04,25648.0,Umbrella Covers
74,2020-01-05,14001.0,Umbrella Covers
75,2020-01-06,14001.0,Umbrella Covers
76,2020-01-07,14001.0,Umbrella Covers
77,2020-01-08,29202.0,Umbrella Covers
78,2020-01-09,29202.0,Umbrella Covers
79,2020-01-10,29202.0,Umbrella Covers
80,2020-01-11,22138.0,Umbrella Covers
81,2020-01-12,22138.0,Umbrella Covers
82,2020-01-13,22138.0,Umbrella Covers
83,2020-01-14,22138.0,Umbrella Covers
84,2020-01-15,28810.0,Umbrella Covers
85,2020-01-16,28810.0,Umbrella Covers
86,2020-01-17,28810.0,Umbrella Covers
87,2020-01-18,27222.0,Umbrella Covers
88,2020-01-19,27222.0,Umbrella Covers
89,2020-01-20,20413.0,Umbrella Covers
90,2020-01-21,20413.0,Umbrella Covers
91,2020-01-22,25030.0,Umbrella Covers
92,2020-01-23,25030.0,Umbrella Covers
93,2020-01-24,25030.0,Umbrella Covers
94,2020-01-25,25030.0,Umbrella Covers
95,2020-01-26,25030.0,Umbrella Covers
96,2020-01-27,20890.0,Umbrella Covers
97,2020-01-28,20890.0,Umbrella Covers
98,2020-01-29,20890.0,Umbrella Covers
99,2020-01-30,19094.0,Umbrella Covers
100,2020-01-31,19094.0,Umbrella Covers
101,2020-02-01,19094.0,Umbrella Covers
102,2020-02-02,19094.0,Umbrella Covers
103,2020-02-03,19094.0,Umbrella Covers
104,2020-02-04,19094.0,Umbrella Covers
105,2020-02-05,11753.0,Umbrella Covers
106,2020-02-06,11753.0,Umbrella Covers
107,2020-02-07,27885.0,Umbrella Covers
108,2020-02-08,27885.0,Umbrella Covers
109,2020-02-09,27885.0,Umbrella Covers
110,2020-02-10,27885.0,Umbrella Covers
111,2020-02-11,27885.0,Umbrella Covers
112,2020-02-12,27885.0,Umbrella Covers
113,2020-02-13,19231.0,Umbrella Covers
114,2020-02-14,29801.0,Umbrella Covers
115,2020-02-15,29801.0,Umbrella Covers
116,2020-02-16,29801.0,Umbrella Covers
117,2020-02-17,29801.0,Umbrella Covers
118,2020-02-18,29801.0,Umbrella Covers
119,2020-02-19,29801.0,Umbrella Covers
120,2020-02-20,29801.0,Umbrella Covers
