,date,value,name_B08V8K9JJG
0,2021-03-08,70515.0,Lawn Water Slides
1,2021-03-09,70515.0,Lawn Water Slides
2,2021-03-10,140777.0,Lawn Water Slides
3,2021-03-11,178204.0,Lawn Water Slides
4,2021-03-12,217681.0,Lawn Water Slides
5,2021-03-13,247021.0,Lawn Water Slides
6,2021-03-14,247021.0,Lawn Water Slides
7,2021-03-15,247021.0,Lawn Water Slides
8,2021-03-16,301766.0,Lawn Water Slides
9,2021-03-17,317557.0,Lawn Water Slides
10,2021-03-18,317557.0,Lawn Water Slides
11,2021-03-19,197781.0,Lawn Water Slides
12,2021-03-20,197781.0,Lawn Water Slides
13,2021-03-21,164314.0,Lawn Water Slides
14,2021-03-22,116785.0,Lawn Water Slides
15,2021-03-23,85277.0,Lawn Water Slides
16,2021-03-24,87666.0,Lawn Water Slides
17,2021-03-25,67734.0,Lawn Water Slides
18,2021-03-26,103695.0,Lawn Water Slides
19,2021-03-27,64414.0,Lawn Water Slides
20,2021-03-28,42392.0,Lawn Water Slides
21,2021-03-29,118464.0,Lawn Water Slides
22,2021-03-30,118464.0,Lawn Water Slides
23,2021-03-31,118464.0,Lawn Water Slides
24,2021-04-01,183253.0,Lawn Water Slides
25,2021-04-02,198502.0,Lawn Water Slides
26,2021-04-03,213520.0,Lawn Water Slides
27,2021-04-04,231021.0,Lawn Water Slides
28,2021-04-05,231021.0,Lawn Water Slides
29,2021-04-06,263853.0,Lawn Water Slides
30,2021-04-07,276072.0,Lawn Water Slides
31,2021-04-08,156248.0,Lawn Water Slides
32,2021-04-09,147988.0,Lawn Water Slides
33,2021-04-10,55130.0,Lawn Water Slides
34,2021-04-11,54410.0,Lawn Water Slides
35,2021-04-12,79347.0,Lawn Water Slides
36,2021-04-13,67275.0,Lawn Water Slides
37,2021-04-14,39864.0,Lawn Water Slides
38,2021-04-15,33071.0,Lawn Water Slides
39,2021-04-16,30701.0,Lawn Water Slides
40,2021-04-17,22470.0,Lawn Water Slides
41,2021-04-18,19694.0,Lawn Water Slides
42,2021-04-19,13277.0,Lawn Water Slides
43,2021-04-20,22461.0,Lawn Water Slides
44,2021-04-21,22246.0,Lawn Water Slides
45,2021-04-22,32545.0,Lawn Water Slides
