,date,value,name_B08D98TMQ1
0,2020-07-31,3180.0,Tablecloths
1,2020-08-01,3180.0,Tablecloths
2,2020-08-02,3180.0,Tablecloths
3,2020-08-03,3095.0,Tablecloths
4,2020-08-04,3095.0,Tablecloths
5,2020-08-05,3095.0,Tablecloths
6,2020-08-06,2972.0,Tablecloths
7,2020-08-07,2972.0,Tablecloths
8,2020-08-08,2972.0,Tablecloths
9,2020-08-09,3149.0,Tablecloths
10,2020-08-10,3598.0,Tablecloths
11,2020-08-11,3598.0,Tablecloths
12,2020-08-12,2114.0,Tablecloths
13,2020-08-13,2114.0,Tablecloths
14,2020-08-14,2114.0,Tablecloths
15,2020-08-15,1955.0,Tablecloths
16,2020-08-16,1955.0,Tablecloths
17,2020-08-17,2608.0,Tablecloths
18,2020-08-18,2608.0,Tablecloths
19,2020-08-19,1981.0,Tablecloths
20,2020-08-20,1981.0,Tablecloths
21,2020-08-21,1968.0,Tablecloths
22,2020-08-22,1968.0,Tablecloths
23,2020-08-23,1968.0,Tablecloths
24,2020-08-24,3299.0,Tablecloths
25,2020-08-25,3299.0,Tablecloths
26,2020-08-26,3299.0,Tablecloths
27,2020-08-27,1632.0,Tablecloths
28,2020-08-28,2188.0,Tablecloths
29,2020-08-29,2188.0,Tablecloths
30,2020-08-30,2188.0,Tablecloths
31,2020-08-31,3300.0,Tablecloths
32,2020-09-01,3300.0,Tablecloths
33,2020-09-02,1573.0,Tablecloths
34,2020-09-03,1573.0,Tablecloths
35,2020-09-04,1573.0,Tablecloths
36,2020-09-05,1606.0,Tablecloths
37,2020-09-06,1606.0,Tablecloths
38,2020-09-07,2378.0,Tablecloths
39,2020-09-08,1978.0,Tablecloths
40,2020-09-09,1978.0,Tablecloths
41,2020-09-10,1587.0,Tablecloths
42,2020-09-11,1644.0,Tablecloths
43,2020-09-12,1644.0,Tablecloths
44,2020-09-13,1784.0,Tablecloths
45,2020-09-14,1784.0,Tablecloths
46,2020-09-15,1898.0,Tablecloths
47,2020-09-16,1898.0,Tablecloths
48,2020-09-17,1898.0,Tablecloths
49,2020-09-18,2096.0,Tablecloths
50,2020-09-19,2096.0,Tablecloths
51,2020-09-20,3359.0,Tablecloths
52,2020-09-21,3359.0,Tablecloths
53,2020-09-22,3279.0,Tablecloths
54,2020-09-23,2700.0,Tablecloths
55,2020-09-24,2700.0,Tablecloths
56,2020-09-25,3069.0,Tablecloths
57,2020-09-26,3069.0,Tablecloths
58,2020-09-27,4372.0,Tablecloths
59,2020-09-28,4372.0,Tablecloths
60,2020-09-29,4372.0,Tablecloths
61,2020-09-30,2063.0,Tablecloths
62,2020-10-01,1513.0,Tablecloths
63,2020-10-02,1644.0,Tablecloths
64,2020-10-03,1644.0,Tablecloths
65,2020-10-04,1644.0,Tablecloths
66,2020-10-05,1644.0,Tablecloths
67,2020-10-06,1348.0,Tablecloths
68,2020-10-07,1246.0,Tablecloths
69,2020-10-08,1246.0,Tablecloths
70,2020-10-09,1246.0,Tablecloths
71,2020-10-10,1390.0,Tablecloths
72,2020-10-11,1390.0,Tablecloths
73,2020-10-12,1518.0,Tablecloths
74,2020-10-13,1518.0,Tablecloths
75,2020-10-14,1518.0,Tablecloths
76,2020-10-15,3136.0,Tablecloths
77,2020-10-16,3136.0,Tablecloths
78,2020-10-17,3136.0,Tablecloths
79,2020-10-18,1757.0,Tablecloths
80,2020-10-19,1757.0,Tablecloths
81,2020-10-20,1757.0,Tablecloths
82,2020-10-21,1264.0,Tablecloths
83,2020-10-22,1230.0,Tablecloths
84,2020-10-23,1230.0,Tablecloths
85,2020-10-24,1230.0,Tablecloths
86,2020-10-25,1849.0,Tablecloths
87,2020-10-26,1991.0,Tablecloths
88,2020-10-27,1991.0,Tablecloths
89,2020-10-28,1279.0,Tablecloths
90,2020-10-29,1279.0,Tablecloths
91,2020-10-30,1279.0,Tablecloths
92,2020-10-31,1960.0,Tablecloths
93,2020-11-01,1960.0,Tablecloths
94,2020-11-02,1960.0,Tablecloths
95,2020-11-03,1776.0,Tablecloths
96,2020-11-04,1776.0,Tablecloths
97,2020-11-05,1636.0,Tablecloths
98,2020-11-06,1636.0,Tablecloths
99,2020-11-07,1636.0,Tablecloths
100,2020-11-08,1979.0,Tablecloths
101,2020-11-09,2033.0,Tablecloths
102,2020-11-10,2033.0,Tablecloths
103,2020-11-11,2033.0,Tablecloths
104,2020-11-12,1435.0,Tablecloths
105,2020-11-13,1670.0,Tablecloths
106,2020-11-14,1670.0,Tablecloths
107,2020-11-15,2392.0,Tablecloths
108,2020-11-16,2392.0,Tablecloths
109,2020-11-17,2769.0,Tablecloths
110,2020-11-18,2073.0,Tablecloths
111,2020-11-19,2073.0,Tablecloths
112,2020-11-20,2560.0,Tablecloths
113,2020-11-21,2560.0,Tablecloths
114,2020-11-22,2560.0,Tablecloths
115,2020-11-23,3208.0,Tablecloths
116,2020-11-24,3208.0,Tablecloths
117,2020-11-25,2961.0,Tablecloths
118,2020-11-26,3442.0,Tablecloths
119,2020-11-27,3442.0,Tablecloths
120,2020-11-28,6288.0,Tablecloths
121,2020-11-29,6288.0,Tablecloths
122,2020-11-30,6288.0,Tablecloths
123,2020-12-01,6288.0,Tablecloths
124,2020-12-02,3999.0,Tablecloths
125,2020-12-03,3999.0,Tablecloths
126,2020-12-04,3999.0,Tablecloths
127,2020-12-05,4909.0,Tablecloths
128,2020-12-06,4909.0,Tablecloths
129,2020-12-07,4909.0,Tablecloths
130,2020-12-08,3725.0,Tablecloths
131,2020-12-09,4079.0,Tablecloths
132,2020-12-10,4079.0,Tablecloths
133,2020-12-11,4079.0,Tablecloths
134,2020-12-12,5495.0,Tablecloths
135,2020-12-13,5495.0,Tablecloths
136,2020-12-14,5495.0,Tablecloths
137,2020-12-15,5886.0,Tablecloths
138,2020-12-16,5820.0,Tablecloths
139,2020-12-17,4862.0,Tablecloths
140,2020-12-18,4862.0,Tablecloths
141,2020-12-19,4862.0,Tablecloths
142,2020-12-20,6443.0,Tablecloths
143,2020-12-21,6802.0,Tablecloths
144,2020-12-22,6802.0,Tablecloths
145,2020-12-23,3956.0,Tablecloths
146,2020-12-24,4178.0,Tablecloths
147,2020-12-25,4178.0,Tablecloths
148,2020-12-26,4172.0,Tablecloths
149,2020-12-27,4172.0,Tablecloths
150,2020-12-28,4172.0,Tablecloths
151,2020-12-29,2181.0,Tablecloths
152,2020-12-30,2050.0,Tablecloths
153,2020-12-31,3292.0,Tablecloths
154,2021-01-01,3292.0,Tablecloths
155,2021-01-02,3292.0,Tablecloths
156,2021-01-03,5471.0,Tablecloths
157,2021-01-04,5471.0,Tablecloths
158,2021-01-05,3615.0,Tablecloths
159,2021-01-06,3285.0,Tablecloths
160,2021-01-07,3170.0,Tablecloths
161,2021-01-08,2519.0,Tablecloths
162,2021-01-09,2865.0,Tablecloths
163,2021-01-10,2865.0,Tablecloths
164,2021-01-11,2865.0,Tablecloths
165,2021-01-12,3094.0,Tablecloths
166,2021-01-13,3094.0,Tablecloths
167,2021-01-14,2089.0,Tablecloths
168,2021-01-15,2580.0,Tablecloths
169,2021-01-16,2466.0,Tablecloths
170,2021-01-17,2466.0,Tablecloths
171,2021-01-18,4064.0,Tablecloths
172,2021-01-19,3872.0,Tablecloths
173,2021-01-20,3872.0,Tablecloths
174,2021-01-21,2357.0,Tablecloths
175,2021-01-22,2357.0,Tablecloths
176,2021-01-23,2357.0,Tablecloths
177,2021-01-24,3702.0,Tablecloths
178,2021-01-25,4556.0,Tablecloths
179,2021-01-26,3036.0,Tablecloths
180,2021-01-27,2735.0,Tablecloths
181,2021-01-28,2735.0,Tablecloths
182,2021-01-29,2574.0,Tablecloths
183,2021-01-30,2574.0,Tablecloths
184,2021-01-31,2574.0,Tablecloths
185,2021-02-01,3947.0,Tablecloths
186,2021-02-02,3074.0,Tablecloths
187,2021-02-03,3074.0,Tablecloths
188,2021-02-04,3443.0,Tablecloths
189,2021-02-05,2834.0,Tablecloths
190,2021-02-06,3048.0,Tablecloths
191,2021-02-07,3048.0,Tablecloths
192,2021-02-08,3833.0,Tablecloths
193,2021-02-09,3833.0,Tablecloths
194,2021-02-10,3833.0,Tablecloths
195,2021-02-11,2489.0,Tablecloths
196,2021-02-12,2489.0,Tablecloths
197,2021-02-13,2489.0,Tablecloths
198,2021-02-14,2489.0,Tablecloths
199,2021-02-15,2489.0,Tablecloths
200,2021-02-16,2579.0,Tablecloths
201,2021-02-17,2579.0,Tablecloths
202,2021-02-18,2579.0,Tablecloths
203,2021-02-19,2652.0,Tablecloths
204,2021-02-20,2547.0,Tablecloths
205,2021-02-21,2547.0,Tablecloths
206,2021-02-22,3126.0,Tablecloths
207,2021-02-23,2615.0,Tablecloths
208,2021-02-24,3104.0,Tablecloths
209,2021-02-25,1947.0,Tablecloths
210,2021-02-26,2319.0,Tablecloths
211,2021-02-27,2855.0,Tablecloths
212,2021-02-28,2855.0,Tablecloths
213,2021-03-01,3298.0,Tablecloths
214,2021-03-02,2683.0,Tablecloths
215,2021-03-03,1801.0,Tablecloths
216,2021-03-04,1801.0,Tablecloths
217,2021-03-05,1801.0,Tablecloths
218,2021-03-06,2643.0,Tablecloths
219,2021-03-07,2643.0,Tablecloths
220,2021-03-08,3343.0,Tablecloths
221,2021-03-09,2773.0,Tablecloths
222,2021-03-10,2773.0,Tablecloths
223,2021-03-11,2475.0,Tablecloths
224,2021-03-12,2198.0,Tablecloths
225,2021-03-13,2198.0,Tablecloths
226,2021-03-14,2774.0,Tablecloths
227,2021-03-15,3138.0,Tablecloths
228,2021-03-16,3302.0,Tablecloths
229,2021-03-17,2572.0,Tablecloths
230,2021-03-18,2572.0,Tablecloths
231,2021-03-19,2572.0,Tablecloths
232,2021-03-20,3038.0,Tablecloths
233,2021-03-21,3038.0,Tablecloths
234,2021-03-22,3038.0,Tablecloths
235,2021-03-23,2846.0,Tablecloths
236,2021-03-24,2846.0,Tablecloths
237,2021-03-25,2846.0,Tablecloths
238,2021-03-26,2915.0,Tablecloths
239,2021-03-27,2915.0,Tablecloths
240,2021-03-28,3348.0,Tablecloths
241,2021-03-29,5329.0,Tablecloths
242,2021-03-30,4259.0,Tablecloths
243,2021-03-31,4259.0,Tablecloths
244,2021-04-01,4259.0,Tablecloths
245,2021-04-02,4259.0,Tablecloths
246,2021-04-03,4259.0,Tablecloths
247,2021-04-04,4259.0,Tablecloths
248,2021-04-05,4206.0,Tablecloths
249,2021-04-06,4206.0,Tablecloths
250,2021-04-07,4206.0,Tablecloths
251,2021-04-08,4206.0,Tablecloths
252,2021-04-09,2584.0,Tablecloths
253,2021-04-10,3176.0,Tablecloths
254,2021-04-11,3155.0,Tablecloths
255,2021-04-12,3155.0,Tablecloths
256,2021-04-13,2075.0,Tablecloths
257,2021-04-14,2075.0,Tablecloths
258,2021-04-15,1883.0,Tablecloths
259,2021-04-16,1883.0,Tablecloths
260,2021-04-17,2914.0,Tablecloths
261,2021-04-18,2914.0,Tablecloths
262,2021-04-19,3028.0,Tablecloths
263,2021-04-20,3028.0,Tablecloths
264,2021-04-21,2167.0,Tablecloths
265,2021-04-22,1975.0,Tablecloths
266,2021-04-23,1975.0,Tablecloths
267,2021-04-24,2660.0,Tablecloths
268,2021-04-25,2660.0,Tablecloths
269,2021-04-26,2660.0,Tablecloths
270,2021-04-27,2289.0,Tablecloths
271,2021-04-28,2289.0,Tablecloths
272,2021-04-29,2289.0,Tablecloths
273,2021-04-30,2289.0,Tablecloths
274,2021-05-01,2843.0,Tablecloths
275,2021-05-02,2843.0,Tablecloths
276,2021-05-03,2843.0,Tablecloths
277,2021-05-04,2495.0,Tablecloths
278,2021-05-05,2495.0,Tablecloths
279,2021-05-06,2832.0,Tablecloths
280,2021-05-07,2832.0,Tablecloths
281,2021-05-08,2925.0,Tablecloths
282,2021-05-09,2925.0,Tablecloths
283,2021-05-10,2925.0,Tablecloths
284,2021-05-11,2383.0,Tablecloths
285,2021-05-12,1827.0,Tablecloths
286,2021-05-13,1827.0,Tablecloths
287,2021-05-14,1944.0,Tablecloths
288,2021-05-15,1800.0,Tablecloths
289,2021-05-16,1800.0,Tablecloths
290,2021-05-17,2297.0,Tablecloths
291,2021-05-18,2297.0,Tablecloths
292,2021-05-19,1498.0,Tablecloths
293,2021-05-20,1400.0,Tablecloths
294,2021-05-21,1509.0,Tablecloths
295,2021-05-22,1458.0,Tablecloths
296,2021-05-23,1458.0,Tablecloths
297,2021-05-24,1946.0,Tablecloths
298,2021-05-25,1857.0,Tablecloths
299,2021-05-26,1431.0,Tablecloths
300,2021-05-27,1532.0,Tablecloths
301,2021-05-28,1960.0,Tablecloths
302,2021-05-29,1960.0,Tablecloths
303,2021-05-30,3084.0,Tablecloths
304,2021-05-31,2158.0,Tablecloths
305,2021-06-01,2158.0,Tablecloths
306,2021-06-02,2158.0,Tablecloths
307,2021-06-03,1787.0,Tablecloths
308,2021-06-04,2029.0,Tablecloths
309,2021-06-05,2441.0,Tablecloths
310,2021-06-06,2441.0,Tablecloths
311,2021-06-07,2441.0,Tablecloths
312,2021-06-08,2661.0,Tablecloths
313,2021-06-09,2661.0,Tablecloths
314,2021-06-10,2200.0,Tablecloths
315,2021-06-11,2200.0,Tablecloths
316,2021-06-12,2200.0,Tablecloths
317,2021-06-13,2200.0,Tablecloths
318,2021-06-14,2200.0,Tablecloths
319,2021-06-15,2200.0,Tablecloths
320,2021-06-16,2200.0,Tablecloths
321,2021-06-17,3468.0,Tablecloths
322,2021-06-18,3468.0,Tablecloths
323,2021-06-19,4038.0,Tablecloths
324,2021-06-20,4038.0,Tablecloths
325,2021-06-21,6253.0,Tablecloths
326,2021-06-22,6253.0,Tablecloths
327,2021-06-23,6253.0,Tablecloths
