,date,value,name_B0817GXXGW
0,2020-05-26,22254.0,Multivitamins
1,2020-05-27,22254.0,Multivitamins
2,2020-05-28,22254.0,Multivitamins
3,2020-05-29,14371.0,Multivitamins
4,2020-05-30,14371.0,Multivitamins
5,2020-05-31,14371.0,Multivitamins
6,2020-06-01,19220.0,Multivitamins
7,2020-06-02,19220.0,Multivitamins
8,2020-06-03,18779.0,Multivitamins
9,2020-06-04,18779.0,Multivitamins
10,2020-06-05,18779.0,Multivitamins
11,2020-06-06,13521.0,Multivitamins
12,2020-06-07,13521.0,Multivitamins
13,2020-06-08,13521.0,Multivitamins
14,2020-06-09,13731.0,Multivitamins
15,2020-06-10,13731.0,Multivitamins
16,2020-06-11,13731.0,Multivitamins
17,2020-06-12,12784.0,Multivitamins
18,2020-06-13,12784.0,Multivitamins
19,2020-06-14,12784.0,Multivitamins
20,2020-06-15,11340.0,Multivitamins
21,2020-06-16,11340.0,Multivitamins
22,2020-06-17,11340.0,Multivitamins
23,2020-06-18,26679.0,Multivitamins
24,2020-06-19,26679.0,Multivitamins
25,2020-06-20,26679.0,Multivitamins
26,2020-06-21,26679.0,Multivitamins
27,2020-06-22,26679.0,Multivitamins
28,2020-06-23,11702.0,Multivitamins
29,2020-06-24,11702.0,Multivitamins
30,2020-06-25,11702.0,Multivitamins
31,2020-06-26,8898.0,Multivitamins
32,2020-06-27,8898.0,Multivitamins
33,2020-06-28,8898.0,Multivitamins
34,2020-06-29,10159.0,Multivitamins
35,2020-06-30,7073.0,Multivitamins
36,2020-07-01,8114.0,Multivitamins
37,2020-07-02,8114.0,Multivitamins
38,2020-07-03,8114.0,Multivitamins
39,2020-07-04,10666.0,Multivitamins
40,2020-07-05,10171.0,Multivitamins
41,2020-07-06,9953.0,Multivitamins
42,2020-07-07,13847.0,Multivitamins
43,2020-07-08,15998.0,Multivitamins
44,2020-07-09,15998.0,Multivitamins
45,2020-07-10,13027.0,Multivitamins
46,2020-07-11,10214.0,Multivitamins
47,2020-07-12,10214.0,Multivitamins
48,2020-07-13,12754.0,Multivitamins
49,2020-07-14,15599.0,Multivitamins
50,2020-07-15,17485.0,Multivitamins
51,2020-07-16,17485.0,Multivitamins
52,2020-07-17,17105.0,Multivitamins
53,2020-07-18,17105.0,Multivitamins
54,2020-07-19,17105.0,Multivitamins
55,2020-07-20,13538.0,Multivitamins
56,2020-07-21,13770.0,Multivitamins
57,2020-07-22,9630.0,Multivitamins
58,2020-07-23,11362.0,Multivitamins
59,2020-07-24,11362.0,Multivitamins
60,2020-07-25,11362.0,Multivitamins
61,2020-07-26,13610.0,Multivitamins
62,2020-07-27,13513.0,Multivitamins
63,2020-07-28,10958.0,Multivitamins
64,2020-07-29,13462.0,Multivitamins
65,2020-07-30,13462.0,Multivitamins
66,2020-07-31,15533.0,Multivitamins
67,2020-08-01,15533.0,Multivitamins
68,2020-08-02,15533.0,Multivitamins
69,2020-08-03,17590.0,Multivitamins
70,2020-08-04,15364.0,Multivitamins
71,2020-08-05,15364.0,Multivitamins
72,2020-08-06,12119.0,Multivitamins
73,2020-08-07,9202.0,Multivitamins
74,2020-08-08,9202.0,Multivitamins
75,2020-08-09,9202.0,Multivitamins
76,2020-08-10,13829.0,Multivitamins
77,2020-08-11,14355.0,Multivitamins
78,2020-08-12,14355.0,Multivitamins
79,2020-08-13,14355.0,Multivitamins
80,2020-08-14,14716.0,Multivitamins
81,2020-08-15,14739.0,Multivitamins
82,2020-08-16,14739.0,Multivitamins
83,2020-08-17,14546.0,Multivitamins
84,2020-08-18,14546.0,Multivitamins
85,2020-08-19,14546.0,Multivitamins
86,2020-08-20,12413.0,Multivitamins
87,2020-08-21,16250.0,Multivitamins
88,2020-08-22,16250.0,Multivitamins
89,2020-08-23,16250.0,Multivitamins
90,2020-08-24,11283.0,Multivitamins
91,2020-08-25,11283.0,Multivitamins
92,2020-08-26,18039.0,Multivitamins
93,2020-08-27,18039.0,Multivitamins
94,2020-08-28,18039.0,Multivitamins
95,2020-08-29,20875.0,Multivitamins
96,2020-08-30,20875.0,Multivitamins
97,2020-08-31,20696.0,Multivitamins
98,2020-09-01,20696.0,Multivitamins
99,2020-09-02,20696.0,Multivitamins
100,2020-09-03,20696.0,Multivitamins
101,2020-09-04,20696.0,Multivitamins
