,date,value,name_B07XTGFFGQ
0,2019-10-21,159794.0,Panels
1,2019-10-22,269185.0,Panels
2,2019-10-23,210636.0,Panels
3,2019-10-24,280905.0,Panels
4,2019-10-25,169841.0,Panels
5,2019-10-26,154633.0,Panels
6,2019-10-27,91374.0,Panels
7,2019-10-28,115905.0,Panels
8,2019-10-29,123406.0,Panels
9,2019-10-30,118954.0,Panels
10,2019-10-31,80286.0,Panels
11,2019-11-01,146282.0,Panels
12,2019-11-02,162244.0,Panels
13,2019-11-03,104906.0,Panels
14,2019-11-04,91767.0,Panels
15,2019-11-05,75647.0,Panels
16,2019-11-06,96780.0,Panels
17,2019-11-07,62297.0,Panels
18,2019-11-08,114929.0,Panels
19,2019-11-09,101139.0,Panels
20,2019-11-10,81029.0,Panels
21,2019-11-11,46424.0,Panels
22,2019-11-12,58731.0,Panels
23,2019-11-13,58731.0,Panels
24,2019-11-14,58731.0,Panels
25,2019-11-15,61788.0,Panels
26,2019-11-16,47225.0,Panels
27,2019-11-17,48305.0,Panels
28,2019-11-18,48305.0,Panels
29,2019-11-19,48305.0,Panels
30,2019-11-20,48305.0,Panels
31,2019-11-21,48305.0,Panels
32,2019-11-22,48305.0,Panels
33,2019-11-23,48305.0,Panels
34,2019-11-24,48305.0,Panels
35,2019-11-25,49256.0,Panels
36,2019-11-26,49256.0,Panels
37,2019-11-27,49256.0,Panels
38,2019-11-28,49256.0,Panels
39,2019-11-29,49256.0,Panels
40,2019-11-30,49256.0,Panels
41,2019-12-01,50467.0,Panels
42,2019-12-02,50467.0,Panels
43,2019-12-03,96079.0,Panels
44,2019-12-04,96079.0,Panels
45,2019-12-05,96079.0,Panels
46,2019-12-06,96079.0,Panels
47,2019-12-07,69472.0,Panels
48,2019-12-08,69472.0,Panels
49,2019-12-09,66117.0,Panels
50,2019-12-10,66117.0,Panels
51,2019-12-11,66117.0,Panels
52,2019-12-12,66117.0,Panels
53,2019-12-13,71514.0,Panels
54,2019-12-14,71514.0,Panels
55,2019-12-15,71514.0,Panels
56,2019-12-16,71514.0,Panels
57,2019-12-17,71514.0,Panels
58,2019-12-18,71514.0,Panels
59,2019-12-19,71514.0,Panels
60,2019-12-20,71514.0,Panels
61,2019-12-21,66360.0,Panels
62,2019-12-22,66360.0,Panels
63,2019-12-23,66360.0,Panels
64,2019-12-24,72608.0,Panels
65,2019-12-25,72608.0,Panels
66,2019-12-26,72608.0,Panels
67,2019-12-27,72608.0,Panels
68,2019-12-28,72608.0,Panels
69,2019-12-29,72608.0,Panels
70,2019-12-30,72608.0,Panels
71,2019-12-31,72608.0,Panels
72,2020-01-01,72608.0,Panels
73,2020-01-02,72608.0,Panels
74,2020-01-03,54837.0,Panels
75,2020-01-04,54837.0,Panels
76,2020-01-05,54837.0,Panels
77,2020-01-06,54837.0,Panels
78,2020-01-07,54837.0,Panels
79,2020-01-08,54837.0,Panels
80,2020-01-09,54837.0,Panels
81,2020-01-10,54837.0,Panels
82,2020-01-11,44060.0,Panels
83,2020-01-12,44060.0,Panels
84,2020-01-13,44060.0,Panels
85,2020-01-14,44060.0,Panels
86,2020-01-15,50134.0,Panels
87,2020-01-16,50134.0,Panels
88,2020-01-17,50134.0,Panels
89,2020-01-18,50134.0,Panels
90,2020-01-19,31499.0,Panels
91,2020-01-20,31499.0,Panels
92,2020-01-21,31499.0,Panels
93,2020-01-22,31499.0,Panels
94,2020-01-23,32437.0,Panels
95,2020-01-24,32437.0,Panels
96,2020-01-25,32437.0,Panels
97,2020-01-26,32437.0,Panels
98,2020-01-27,32437.0,Panels
99,2020-01-28,32437.0,Panels
100,2020-01-29,32437.0,Panels
101,2020-01-30,32437.0,Panels
102,2020-01-31,40408.0,Panels
103,2020-02-01,40408.0,Panels
104,2020-02-02,40408.0,Panels
105,2020-02-03,40408.0,Panels
106,2020-02-04,40408.0,Panels
107,2020-02-05,40408.0,Panels
108,2020-02-06,35169.0,Panels
109,2020-02-07,35169.0,Panels
110,2020-02-08,35169.0,Panels
111,2020-02-09,35169.0,Panels
112,2020-02-10,43081.0,Panels
113,2020-02-11,43081.0,Panels
114,2020-02-12,43081.0,Panels
115,2020-02-13,43081.0,Panels
116,2020-02-14,43081.0,Panels
117,2020-02-15,43081.0,Panels
118,2020-02-16,43081.0,Panels
119,2020-02-17,43081.0,Panels
120,2020-02-18,43081.0,Panels
121,2020-02-19,37603.0,Panels
122,2020-02-20,37603.0,Panels
123,2020-02-21,37603.0,Panels
124,2020-02-22,37603.0,Panels
125,2020-02-23,37603.0,Panels
126,2020-02-24,28779.0,Panels
127,2020-02-25,28779.0,Panels
128,2020-02-26,28779.0,Panels
129,2020-02-27,28779.0,Panels
130,2020-02-28,18099.0,Panels
131,2020-02-29,18099.0,Panels
132,2020-03-01,18099.0,Panels
133,2020-03-02,18099.0,Panels
134,2020-03-03,24730.0,Panels
135,2020-03-04,24730.0,Panels
136,2020-03-05,15503.0,Panels
137,2020-03-06,25565.0,Panels
138,2020-03-07,25565.0,Panels
139,2020-03-08,25565.0,Panels
140,2020-03-09,25565.0,Panels
141,2020-03-10,28416.0,Panels
142,2020-03-11,28416.0,Panels
143,2020-03-12,28416.0,Panels
144,2020-03-13,17764.0,Panels
145,2020-03-14,17764.0,Panels
146,2020-03-15,17764.0,Panels
147,2020-03-16,17764.0,Panels
148,2020-03-17,20072.0,Panels
149,2020-03-18,20072.0,Panels
150,2020-03-19,20072.0,Panels
151,2020-03-20,20072.0,Panels
152,2020-03-21,20072.0,Panels
153,2020-03-22,20072.0,Panels
154,2020-03-23,20072.0,Panels
155,2020-03-24,18159.0,Panels
156,2020-03-25,18159.0,Panels
157,2020-03-26,18159.0,Panels
158,2020-03-27,18159.0,Panels
159,2020-03-28,18159.0,Panels
160,2020-03-29,18159.0,Panels
161,2020-03-30,18159.0,Panels
