,date,value,name_B07QXN7TMP
0,2019-04-26,698383.0,Paints
1,2019-04-27,698383.0,Paints
2,2019-04-28,698383.0,Paints
3,2019-04-29,698383.0,Paints
4,2019-04-30,697734.0,Paints
5,2019-05-01,697734.0,Paints
6,2019-05-02,697734.0,Paints
7,2019-05-03,697734.0,Paints
8,2019-05-04,699814.0,Paints
9,2019-05-05,700158.0,Paints
10,2019-05-06,701643.0,Paints
11,2019-05-07,702582.0,Paints
12,2019-05-08,703154.0,Paints
13,2019-05-09,703203.0,Paints
14,2019-05-10,704131.0,Paints
15,2019-05-11,703696.0,Paints
16,2019-05-12,703061.0,Paints
17,2019-05-13,702730.0,Paints
18,2019-05-14,703311.0,Paints
19,2019-05-15,704387.0,Paints
20,2019-05-16,705633.0,Paints
21,2019-05-17,705298.0,Paints
22,2019-05-18,705414.0,Paints
23,2019-05-19,705624.0,Paints
24,2019-05-20,705720.0,Paints
25,2019-05-21,706823.0,Paints
26,2019-05-22,707137.0,Paints
27,2019-05-23,707883.0,Paints
28,2019-05-24,707719.0,Paints
29,2019-05-25,707719.0,Paints
30,2019-05-26,704143.0,Paints
31,2019-05-27,704143.0,Paints
32,2019-05-28,704143.0,Paints
33,2019-05-29,704143.0,Paints
34,2019-05-30,704143.0,Paints
35,2019-05-31,704143.0,Paints
36,2019-06-01,702068.0,Paints
37,2019-06-02,702068.0,Paints
38,2019-06-03,702068.0,Paints
39,2019-06-04,702068.0,Paints
40,2019-06-05,703079.0,Paints
41,2019-06-06,703079.0,Paints
42,2019-06-07,702615.0,Paints
43,2019-06-08,702615.0,Paints
44,2019-06-09,702615.0,Paints
45,2019-06-10,702615.0,Paints
46,2019-06-11,702615.0,Paints
47,2019-06-12,700440.0,Paints
48,2019-06-13,700440.0,Paints
49,2019-06-14,700939.0,Paints
50,2019-06-15,700939.0,Paints
51,2019-06-16,700939.0,Paints
52,2019-06-17,700284.0,Paints
53,2019-06-18,700284.0,Paints
54,2019-06-19,700284.0,Paints
55,2019-06-20,700284.0,Paints
56,2019-06-21,703285.0,Paints
57,2019-06-22,703285.0,Paints
58,2019-06-23,703285.0,Paints
59,2019-06-24,703285.0,Paints
60,2019-06-25,704946.0,Paints
61,2019-06-26,704946.0,Paints
62,2019-06-27,704946.0,Paints
63,2019-06-28,705705.0,Paints
64,2019-06-29,705705.0,Paints
65,2019-06-30,705705.0,Paints
66,2019-07-01,705705.0,Paints
67,2019-07-02,705705.0,Paints
68,2019-07-03,705705.0,Paints
69,2019-07-04,707740.0,Paints
70,2019-07-05,708260.0,Paints
71,2019-07-06,708260.0,Paints
72,2019-07-07,708260.0,Paints
73,2019-07-08,708942.0,Paints
74,2019-07-09,708942.0,Paints
75,2019-07-10,710623.0,Paints
76,2019-07-11,710623.0,Paints
77,2019-07-12,712383.0,Paints
78,2019-07-13,712383.0,Paints
79,2019-07-14,714228.0,Paints
80,2019-07-15,714761.0,Paints
81,2019-07-16,714761.0,Paints
82,2019-07-17,714761.0,Paints
83,2019-07-18,714761.0,Paints
84,2019-07-19,724103.0,Paints
85,2019-07-20,724103.0,Paints
86,2019-07-21,724103.0,Paints
87,2019-07-22,724103.0,Paints
88,2019-07-23,727317.0,Paints
89,2019-07-24,728713.0,Paints
90,2019-07-25,728713.0,Paints
91,2019-07-26,728713.0,Paints
92,2019-07-27,728713.0,Paints
93,2019-07-28,728713.0,Paints
94,2019-07-29,732918.0,Paints
95,2019-07-30,732918.0,Paints
96,2019-07-31,732918.0,Paints
97,2019-08-01,732918.0,Paints
98,2019-08-02,732918.0,Paints
99,2019-08-03,737793.0,Paints
100,2019-08-04,737793.0,Paints
101,2019-08-05,737793.0,Paints
102,2019-08-06,737793.0,Paints
103,2019-08-07,742894.0,Paints
104,2019-08-08,744649.0,Paints
105,2019-08-09,744701.0,Paints
106,2019-08-10,744701.0,Paints
107,2019-08-11,744701.0,Paints
