,date,value,name_B07ZWD2111
0,2019-11-03,6996.0,Plates
1,2019-11-04,8209.0,Plates
2,2019-11-05,6382.0,Plates
3,2019-11-06,5008.0,Plates
4,2019-11-07,4841.0,Plates
5,2019-11-08,4870.0,Plates
6,2019-11-09,6041.0,Plates
7,2019-11-10,6401.0,Plates
8,2019-11-11,6346.0,Plates
9,2019-11-12,5957.0,Plates
10,2019-11-13,5957.0,Plates
11,2019-11-14,5957.0,Plates
12,2019-11-15,6027.0,Plates
13,2019-11-16,6027.0,Plates
14,2019-11-17,4994.0,Plates
15,2019-11-18,5076.0,Plates
16,2019-11-19,4274.0,Plates
17,2019-11-20,4274.0,Plates
18,2019-11-21,4739.0,Plates
19,2019-11-22,4739.0,Plates
20,2019-11-23,4739.0,Plates
21,2019-11-24,4739.0,Plates
22,2019-11-25,5612.0,Plates
23,2019-11-26,5612.0,Plates
24,2019-11-27,4166.0,Plates
25,2019-11-28,7726.0,Plates
26,2019-11-29,10549.0,Plates
27,2019-11-30,10549.0,Plates
28,2019-12-01,18386.0,Plates
29,2019-12-02,16593.0,Plates
30,2019-12-03,23337.0,Plates
31,2019-12-04,23337.0,Plates
32,2019-12-05,23337.0,Plates
33,2019-12-06,16265.0,Plates
34,2019-12-07,16265.0,Plates
35,2019-12-08,16265.0,Plates
36,2019-12-09,15541.0,Plates
37,2019-12-10,15541.0,Plates
38,2019-12-11,15541.0,Plates
39,2019-12-12,15470.0,Plates
40,2019-12-13,15470.0,Plates
41,2019-12-14,15470.0,Plates
42,2019-12-15,15470.0,Plates
43,2019-12-16,27089.0,Plates
44,2019-12-17,27089.0,Plates
45,2019-12-18,27089.0,Plates
46,2019-12-19,15362.0,Plates
47,2019-12-20,15362.0,Plates
48,2019-12-21,15164.0,Plates
49,2019-12-22,15164.0,Plates
50,2019-12-23,15164.0,Plates
51,2019-12-24,16657.0,Plates
52,2019-12-25,16657.0,Plates
53,2019-12-26,16657.0,Plates
54,2019-12-27,16657.0,Plates
55,2019-12-28,16657.0,Plates
56,2019-12-29,16657.0,Plates
57,2019-12-30,13553.0,Plates
58,2019-12-31,13553.0,Plates
59,2020-01-01,13553.0,Plates
60,2020-01-02,13553.0,Plates
61,2020-01-03,13553.0,Plates
62,2020-01-04,13082.0,Plates
63,2020-01-05,13082.0,Plates
64,2020-01-06,13082.0,Plates
65,2020-01-07,13082.0,Plates
66,2020-01-08,13082.0,Plates
67,2020-01-09,13082.0,Plates
68,2020-01-10,7680.0,Plates
69,2020-01-11,7680.0,Plates
70,2020-01-12,7680.0,Plates
71,2020-01-13,7680.0,Plates
72,2020-01-14,7680.0,Plates
73,2020-01-15,7680.0,Plates
74,2020-01-16,7680.0,Plates
75,2020-01-17,5604.0,Plates
76,2020-01-18,5604.0,Plates
77,2020-01-19,5604.0,Plates
78,2020-01-20,6866.0,Plates
79,2020-01-21,6866.0,Plates
80,2020-01-22,6866.0,Plates
81,2020-01-23,7245.0,Plates
82,2020-01-24,7245.0,Plates
83,2020-01-25,7245.0,Plates
84,2020-01-26,8097.0,Plates
85,2020-01-27,8097.0,Plates
86,2020-01-28,8097.0,Plates
87,2020-01-29,8097.0,Plates
88,2020-01-30,8084.0,Plates
89,2020-01-31,8084.0,Plates
90,2020-02-01,8084.0,Plates
91,2020-02-02,8084.0,Plates
92,2020-02-03,13371.0,Plates
93,2020-02-04,13371.0,Plates
94,2020-02-05,13371.0,Plates
95,2020-02-06,13371.0,Plates
96,2020-02-07,13371.0,Plates
97,2020-02-08,13371.0,Plates
98,2020-02-09,11738.0,Plates
99,2020-02-10,11738.0,Plates
100,2020-02-11,11738.0,Plates
101,2020-02-12,11738.0,Plates
102,2020-02-13,13601.0,Plates
103,2020-02-14,13601.0,Plates
104,2020-02-15,13601.0,Plates
105,2020-02-16,13601.0,Plates
106,2020-02-17,12272.0,Plates
107,2020-02-18,12272.0,Plates
108,2020-02-19,12272.0,Plates
109,2020-02-20,12272.0,Plates
110,2020-02-21,12272.0,Plates
111,2020-02-22,-1.0,Plates
112,2020-02-23,-1.0,Plates
113,2020-02-24,-1.0,Plates
114,2020-02-25,-1.0,Plates
115,2020-02-26,-1.0,Plates
116,2020-02-27,11456.0,Plates
117,2020-02-28,11456.0,Plates
118,2020-02-29,11456.0,Plates
119,2020-03-01,11456.0,Plates
120,2020-03-02,11456.0,Plates
121,2020-03-03,8208.0,Plates
122,2020-03-04,8208.0,Plates
123,2020-03-05,8208.0,Plates
124,2020-03-06,8208.0,Plates
125,2020-03-07,-1.0,Plates
