,date,value,name_B07QZ4FD3T
0,2020-09-17,10788.0,Whey
1,2020-09-18,10788.0,Whey
2,2020-09-19,10788.0,Whey
3,2020-09-20,11513.0,Whey
4,2020-09-21,11513.0,Whey
5,2020-09-22,11513.0,Whey
6,2020-09-23,9601.0,Whey
7,2020-09-24,9601.0,Whey
8,2020-09-25,9601.0,Whey
9,2020-09-26,9745.0,Whey
10,2020-09-27,8590.0,Whey
11,2020-09-28,8590.0,Whey
12,2020-09-29,8590.0,Whey
13,2020-09-30,10652.0,Whey
14,2020-10-01,10652.0,Whey
15,2020-10-02,9504.0,Whey
16,2020-10-03,9504.0,Whey
17,2020-10-04,9504.0,Whey
18,2020-10-05,10370.0,Whey
19,2020-10-06,10551.0,Whey
20,2020-10-07,11530.0,Whey
21,2020-10-08,11530.0,Whey
22,2020-10-09,11530.0,Whey
23,2020-10-10,14539.0,Whey
24,2020-10-11,14539.0,Whey
25,2020-10-12,14539.0,Whey
26,2020-10-13,11521.0,Whey
27,2020-10-14,11521.0,Whey
28,2020-10-15,11521.0,Whey
29,2020-10-16,11739.0,Whey
30,2020-10-17,11739.0,Whey
31,2020-10-18,12637.0,Whey
32,2020-10-19,12637.0,Whey
33,2020-10-20,12637.0,Whey
34,2020-10-21,10160.0,Whey
35,2020-10-22,10160.0,Whey
36,2020-10-23,12045.0,Whey
37,2020-10-24,12045.0,Whey
38,2020-10-25,12045.0,Whey
39,2020-10-26,12045.0,Whey
40,2020-10-27,9514.0,Whey
41,2020-10-28,9328.0,Whey
42,2020-10-29,9328.0,Whey
43,2020-10-30,9328.0,Whey
44,2020-10-31,9328.0,Whey
45,2020-11-01,9328.0,Whey
46,2020-11-02,10016.0,Whey
47,2020-11-03,10016.0,Whey
48,2020-11-04,10016.0,Whey
49,2020-11-05,10710.0,Whey
50,2020-11-06,10710.0,Whey
51,2020-11-07,11710.0,Whey
52,2020-11-08,12999.0,Whey
53,2020-11-09,12999.0,Whey
54,2020-11-10,10652.0,Whey
55,2020-11-11,10652.0,Whey
56,2020-11-12,10652.0,Whey
57,2020-11-13,12327.0,Whey
58,2020-11-14,12483.0,Whey
59,2020-11-15,11437.0,Whey
60,2020-11-16,11437.0,Whey
61,2020-11-17,11437.0,Whey
62,2020-11-18,11437.0,Whey
63,2020-11-19,13124.0,Whey
64,2020-11-20,13124.0,Whey
65,2020-11-21,13124.0,Whey
66,2020-11-22,16588.0,Whey
67,2020-11-23,15435.0,Whey
68,2020-11-24,15435.0,Whey
69,2020-11-25,14774.0,Whey
70,2020-11-26,14774.0,Whey
71,2020-11-27,14774.0,Whey
72,2020-11-28,12912.0,Whey
73,2020-11-29,12912.0,Whey
74,2020-11-30,11657.0,Whey
75,2020-12-01,9510.0,Whey
76,2020-12-02,9510.0,Whey
77,2020-12-03,8208.0,Whey
78,2020-12-04,8208.0,Whey
79,2020-12-05,8208.0,Whey
80,2020-12-06,11903.0,Whey
81,2020-12-07,10655.0,Whey
82,2020-12-08,10655.0,Whey
83,2020-12-09,10655.0,Whey
84,2020-12-10,10655.0,Whey
85,2020-12-11,11536.0,Whey
86,2020-12-12,11536.0,Whey
87,2020-12-13,11536.0,Whey
88,2020-12-14,11947.0,Whey
89,2020-12-15,11947.0,Whey
90,2020-12-16,11947.0,Whey
91,2020-12-17,10515.0,Whey
92,2020-12-18,10515.0,Whey
93,2020-12-19,10515.0,Whey
94,2020-12-20,11649.0,Whey
95,2020-12-21,11649.0,Whey
96,2020-12-22,13107.0,Whey
97,2020-12-23,13107.0,Whey
98,2020-12-24,13107.0,Whey
99,2020-12-25,13107.0,Whey
100,2020-12-26,13107.0,Whey
101,2020-12-27,11584.0,Whey
102,2020-12-28,11584.0,Whey
103,2020-12-29,11584.0,Whey
104,2020-12-30,11009.0,Whey
105,2020-12-31,11009.0,Whey
106,2021-01-01,10930.0,Whey
107,2021-01-02,10930.0,Whey
108,2021-01-03,10930.0,Whey
109,2021-01-04,8382.0,Whey
110,2021-01-05,8382.0,Whey
111,2021-01-06,7281.0,Whey
112,2021-01-07,7281.0,Whey
113,2021-01-08,7281.0,Whey
114,2021-01-09,7281.0,Whey
115,2021-01-10,9373.0,Whey
116,2021-01-11,9373.0,Whey
117,2021-01-12,7679.0,Whey
118,2021-01-13,7679.0,Whey
119,2021-01-14,7679.0,Whey
120,2021-01-15,7679.0,Whey
121,2021-01-16,7055.0,Whey
122,2021-01-17,7055.0,Whey
123,2021-01-18,8119.0,Whey
124,2021-01-19,8119.0,Whey
125,2021-01-20,7373.0,Whey
126,2021-01-21,7373.0,Whey
127,2021-01-22,7500.0,Whey
128,2021-01-23,7500.0,Whey
129,2021-01-24,7500.0,Whey
130,2021-01-25,7500.0,Whey
131,2021-01-26,7896.0,Whey
132,2021-01-27,7896.0,Whey
133,2021-01-28,7896.0,Whey
134,2021-01-29,7896.0,Whey
135,2021-01-30,8925.0,Whey
136,2021-01-31,8925.0,Whey
137,2021-02-01,8925.0,Whey
138,2021-02-02,6864.0,Whey
139,2021-02-03,6864.0,Whey
140,2021-02-04,6864.0,Whey
141,2021-02-05,7913.0,Whey
142,2021-02-06,7913.0,Whey
143,2021-02-07,7913.0,Whey
144,2021-02-08,7888.0,Whey
145,2021-02-09,7888.0,Whey
146,2021-02-10,7888.0,Whey
147,2021-02-11,7888.0,Whey
148,2021-02-12,7888.0,Whey
149,2021-02-13,7888.0,Whey
150,2021-02-14,8437.0,Whey
151,2021-02-15,9694.0,Whey
152,2021-02-16,9694.0,Whey
153,2021-02-17,9694.0,Whey
154,2021-02-18,8160.0,Whey
155,2021-02-19,8160.0,Whey
156,2021-02-20,10094.0,Whey
157,2021-02-21,10094.0,Whey
158,2021-02-22,10094.0,Whey
159,2021-02-23,10094.0,Whey
160,2021-02-24,6941.0,Whey
161,2021-02-25,6941.0,Whey
162,2021-02-26,8281.0,Whey
163,2021-02-27,8281.0,Whey
164,2021-02-28,8281.0,Whey
165,2021-03-01,7121.0,Whey
166,2021-03-02,6747.0,Whey
167,2021-03-03,7421.0,Whey
168,2021-03-04,7421.0,Whey
169,2021-03-05,7421.0,Whey
170,2021-03-06,7018.0,Whey
171,2021-03-07,7018.0,Whey
172,2021-03-08,7018.0,Whey
173,2021-03-09,6365.0,Whey
174,2021-03-10,6365.0,Whey
175,2021-03-11,6365.0,Whey
176,2021-03-12,7072.0,Whey
177,2021-03-13,7072.0,Whey
178,2021-03-14,7072.0,Whey
179,2021-03-15,8302.0,Whey
180,2021-03-16,8302.0,Whey
181,2021-03-17,7940.0,Whey
