,date,value,name_B07X6SX3NQ
0,2019-09-05,16031.0,Toasters
1,2019-09-06,12072.0,Toasters
2,2019-09-07,12300.0,Toasters
3,2019-09-08,14561.0,Toasters
4,2019-09-09,14561.0,Toasters
5,2019-09-10,18887.0,Toasters
6,2019-09-11,11960.0,Toasters
7,2019-09-12,8741.0,Toasters
8,2019-09-13,8499.0,Toasters
9,2019-09-14,7704.0,Toasters
10,2019-09-15,6472.0,Toasters
11,2019-09-16,6572.0,Toasters
12,2019-09-17,5548.0,Toasters
13,2019-09-18,5383.0,Toasters
14,2019-09-19,5800.0,Toasters
15,2019-09-20,3518.0,Toasters
16,2019-09-21,4264.0,Toasters
17,2019-09-22,2529.0,Toasters
18,2019-09-23,2241.0,Toasters
19,2019-09-24,2138.0,Toasters
20,2019-09-25,1519.0,Toasters
21,2019-09-26,1455.0,Toasters
22,2019-09-27,1104.0,Toasters
23,2019-09-28,1016.0,Toasters
24,2019-09-29,983.0,Toasters
25,2019-09-30,1040.0,Toasters
26,2019-10-01,1280.0,Toasters
27,2019-10-02,1138.0,Toasters
28,2019-10-03,1107.0,Toasters
29,2019-10-04,1337.0,Toasters
30,2019-10-05,1337.0,Toasters
31,2019-10-06,6853.0,Toasters
32,2019-10-07,6853.0,Toasters
33,2019-10-08,14042.0,Toasters
34,2019-10-09,14042.0,Toasters
35,2019-10-10,25573.0,Toasters
36,2019-10-11,25573.0,Toasters
37,2019-10-12,24114.0,Toasters
38,2019-10-13,25085.0,Toasters
39,2019-10-14,27316.0,Toasters
40,2019-10-15,27316.0,Toasters
41,2019-10-16,36367.0,Toasters
42,2019-10-17,32165.0,Toasters
43,2019-10-18,44593.0,Toasters
44,2019-10-19,44593.0,Toasters
45,2019-10-20,44593.0,Toasters
46,2019-10-21,58643.0,Toasters
47,2019-10-22,58643.0,Toasters
48,2019-10-23,58643.0,Toasters
49,2019-10-24,71226.0,Toasters
50,2019-10-25,71226.0,Toasters
51,2019-10-26,47771.0,Toasters
52,2019-10-27,47771.0,Toasters
53,2019-10-28,47771.0,Toasters
54,2019-10-29,93828.0,Toasters
55,2019-10-30,60713.0,Toasters
56,2019-10-31,60713.0,Toasters
57,2019-11-01,60713.0,Toasters
58,2019-11-02,60713.0,Toasters
59,2019-11-03,60713.0,Toasters
60,2019-11-04,60713.0,Toasters
61,2019-11-05,60713.0,Toasters
62,2019-11-06,60713.0,Toasters
63,2019-11-07,126483.0,Toasters
64,2019-11-08,126483.0,Toasters
65,2019-11-09,126483.0,Toasters
66,2019-11-10,126483.0,Toasters
67,2019-11-11,126483.0,Toasters
68,2019-11-12,126483.0,Toasters
69,2019-11-13,154851.0,Toasters
70,2019-11-14,154851.0,Toasters
71,2019-11-15,154851.0,Toasters
72,2019-11-16,154851.0,Toasters
73,2019-11-17,154851.0,Toasters
74,2019-11-18,154851.0,Toasters
75,2019-11-19,25717.0,Toasters
76,2019-11-20,26622.0,Toasters
77,2019-11-21,22988.0,Toasters
78,2019-11-22,23065.0,Toasters
79,2019-11-23,23065.0,Toasters
80,2019-11-24,23065.0,Toasters
81,2019-11-25,32037.0,Toasters
82,2019-11-26,32037.0,Toasters
83,2019-11-27,30180.0,Toasters
84,2019-11-28,30180.0,Toasters
85,2019-11-29,21876.0,Toasters
86,2019-11-30,21876.0,Toasters
87,2019-12-01,21876.0,Toasters
88,2019-12-02,21876.0,Toasters
89,2019-12-03,21876.0,Toasters
90,2019-12-04,21876.0,Toasters
91,2019-12-05,11447.0,Toasters
92,2019-12-06,11447.0,Toasters
93,2019-12-07,16535.0,Toasters
94,2019-12-08,16535.0,Toasters
95,2019-12-09,16535.0,Toasters
96,2019-12-10,16535.0,Toasters
97,2019-12-11,16535.0,Toasters
98,2019-12-12,16535.0,Toasters
99,2019-12-13,16535.0,Toasters
100,2019-12-14,16535.0,Toasters
101,2019-12-15,17513.0,Toasters
102,2019-12-16,17513.0,Toasters
103,2019-12-17,17513.0,Toasters
104,2019-12-18,17513.0,Toasters
105,2019-12-19,17513.0,Toasters
106,2019-12-20,17513.0,Toasters
107,2019-12-21,16231.0,Toasters
108,2019-12-22,16231.0,Toasters
109,2019-12-23,16231.0,Toasters
110,2019-12-24,16231.0,Toasters
111,2019-12-25,14477.0,Toasters
112,2019-12-26,14477.0,Toasters
113,2019-12-27,14477.0,Toasters
114,2019-12-28,14477.0,Toasters
115,2019-12-29,14477.0,Toasters
116,2019-12-30,14477.0,Toasters
117,2019-12-31,10626.0,Toasters
118,2020-01-01,10626.0,Toasters
119,2020-01-02,10626.0,Toasters
120,2020-01-03,10626.0,Toasters
121,2020-01-04,10626.0,Toasters
122,2020-01-05,10626.0,Toasters
123,2020-01-06,16761.0,Toasters
124,2020-01-07,16761.0,Toasters
125,2020-01-08,16761.0,Toasters
126,2020-01-09,16318.0,Toasters
127,2020-01-10,16318.0,Toasters
128,2020-01-11,16318.0,Toasters
129,2020-01-12,16318.0,Toasters
130,2020-01-13,16318.0,Toasters
131,2020-01-14,10682.0,Toasters
132,2020-01-15,10682.0,Toasters
133,2020-01-16,10682.0,Toasters
134,2020-01-17,10682.0,Toasters
135,2020-01-18,10682.0,Toasters
136,2020-01-19,10682.0,Toasters
137,2020-01-20,10682.0,Toasters
138,2020-01-21,17924.0,Toasters
139,2020-01-22,17924.0,Toasters
140,2020-01-23,17924.0,Toasters
141,2020-01-24,16407.0,Toasters
142,2020-01-25,16407.0,Toasters
143,2020-01-26,16407.0,Toasters
144,2020-01-27,16407.0,Toasters
