,date,value,name_B094QZG28B
0,2021-05-15,6665.0,Panels
1,2021-05-16,6665.0,Panels
2,2021-05-17,8855.0,Panels
3,2021-05-18,5855.0,Panels
4,2021-05-19,5969.0,Panels
5,2021-05-20,5130.0,Panels
6,2021-05-21,5130.0,Panels
7,2021-05-22,6176.0,Panels
8,2021-05-23,9484.0,Panels
9,2021-05-24,7328.0,Panels
10,2021-05-25,7328.0,Panels
11,2021-05-26,7328.0,Panels
12,2021-05-27,8019.0,Panels
13,2021-05-28,10949.0,Panels
14,2021-05-29,10949.0,Panels
15,2021-05-30,10949.0,Panels
16,2021-05-31,18279.0,Panels
17,2021-06-01,18279.0,Panels
18,2021-06-02,9014.0,Panels
19,2021-06-03,9014.0,Panels
20,2021-06-04,9014.0,Panels
21,2021-06-05,9014.0,Panels
22,2021-06-06,14920.0,Panels
23,2021-06-07,8965.0,Panels
24,2021-06-08,8965.0,Panels
25,2021-06-09,4473.0,Panels
26,2021-06-10,4380.0,Panels
27,2021-06-11,4380.0,Panels
28,2021-06-12,6158.0,Panels
29,2021-06-13,6158.0,Panels
30,2021-06-14,7047.0,Panels
31,2021-06-15,7047.0,Panels
32,2021-06-16,4217.0,Panels
33,2021-06-17,4217.0,Panels
34,2021-06-18,5100.0,Panels
35,2021-06-19,5100.0,Panels
36,2021-06-20,5100.0,Panels
37,2021-06-21,8042.0,Panels
38,2021-06-22,10251.0,Panels
39,2021-06-23,10251.0,Panels
40,2021-06-24,9346.0,Panels
41,2021-06-25,9346.0,Panels
42,2021-06-26,10148.0,Panels
43,2021-06-27,10148.0,Panels
44,2021-06-28,9154.0,Panels
45,2021-06-29,9154.0,Panels
46,2021-06-30,7798.0,Panels
47,2021-07-01,7798.0,Panels
48,2021-07-02,7798.0,Panels
49,2021-07-03,10282.0,Panels
50,2021-07-04,7389.0,Panels
51,2021-07-05,7733.0,Panels
52,2021-07-06,7733.0,Panels
53,2021-07-07,6404.0,Panels
54,2021-07-08,6404.0,Panels
55,2021-07-09,5117.0,Panels
56,2021-07-10,6231.0,Panels
