,date,value,name_B07KPNXZ52
0,2020-05-28,5922.0,Ibuprofen
1,2020-05-29,5922.0,Ibuprofen
2,2020-05-30,5922.0,Ibuprofen
3,2020-05-31,4926.0,Ibuprofen
4,2020-06-01,4926.0,Ibuprofen
5,2020-06-02,4926.0,Ibuprofen
6,2020-06-03,4888.0,Ibuprofen
7,2020-06-04,4778.0,Ibuprofen
8,2020-06-05,4778.0,Ibuprofen
9,2020-06-06,4778.0,Ibuprofen
10,2020-06-07,4778.0,Ibuprofen
11,2020-06-08,4845.0,Ibuprofen
12,2020-06-09,4845.0,Ibuprofen
13,2020-06-10,4845.0,Ibuprofen
14,2020-06-11,5298.0,Ibuprofen
15,2020-06-12,5298.0,Ibuprofen
16,2020-06-13,5029.0,Ibuprofen
17,2020-06-14,5029.0,Ibuprofen
18,2020-06-15,5029.0,Ibuprofen
19,2020-06-16,5029.0,Ibuprofen
20,2020-06-17,5029.0,Ibuprofen
21,2020-06-18,5029.0,Ibuprofen
22,2020-06-19,5029.0,Ibuprofen
23,2020-06-20,-1.0,Ibuprofen
24,2020-06-21,-1.0,Ibuprofen
25,2020-06-22,-1.0,Ibuprofen
26,2020-06-23,-1.0,Ibuprofen
27,2020-06-24,-1.0,Ibuprofen
28,2020-06-25,-1.0,Ibuprofen
29,2020-06-26,-1.0,Ibuprofen
30,2020-06-27,-1.0,Ibuprofen
31,2020-06-28,-1.0,Ibuprofen
32,2020-06-29,-1.0,Ibuprofen
33,2020-06-30,-1.0,Ibuprofen
34,2020-07-01,-1.0,Ibuprofen
35,2020-07-02,-1.0,Ibuprofen
36,2020-07-03,-1.0,Ibuprofen
37,2020-07-04,-1.0,Ibuprofen
38,2020-07-05,-1.0,Ibuprofen
39,2020-07-06,-1.0,Ibuprofen
40,2020-07-07,4963.0,Ibuprofen
41,2020-07-08,4216.0,Ibuprofen
42,2020-07-09,4216.0,Ibuprofen
43,2020-07-10,4783.0,Ibuprofen
44,2020-07-11,5431.0,Ibuprofen
45,2020-07-12,4866.0,Ibuprofen
46,2020-07-13,5531.0,Ibuprofen
47,2020-07-14,5531.0,Ibuprofen
48,2020-07-15,5531.0,Ibuprofen
49,2020-07-16,4904.0,Ibuprofen
50,2020-07-17,4904.0,Ibuprofen
51,2020-07-18,4904.0,Ibuprofen
52,2020-07-19,4874.0,Ibuprofen
53,2020-07-20,4874.0,Ibuprofen
54,2020-07-21,4874.0,Ibuprofen
55,2020-07-22,4458.0,Ibuprofen
56,2020-07-23,4458.0,Ibuprofen
57,2020-07-24,5107.0,Ibuprofen
58,2020-07-25,5107.0,Ibuprofen
59,2020-07-26,5107.0,Ibuprofen
60,2020-07-27,5682.0,Ibuprofen
61,2020-07-28,5682.0,Ibuprofen
62,2020-07-29,5682.0,Ibuprofen
63,2020-07-30,5582.0,Ibuprofen
64,2020-07-31,5592.0,Ibuprofen
65,2020-08-01,5592.0,Ibuprofen
66,2020-08-02,5592.0,Ibuprofen
67,2020-08-03,5699.0,Ibuprofen
68,2020-08-04,5101.0,Ibuprofen
69,2020-08-05,5101.0,Ibuprofen
70,2020-08-06,5101.0,Ibuprofen
71,2020-08-07,4935.0,Ibuprofen
72,2020-08-08,4935.0,Ibuprofen
73,2020-08-09,4935.0,Ibuprofen
74,2020-08-10,5681.0,Ibuprofen
75,2020-08-11,5419.0,Ibuprofen
76,2020-08-12,5419.0,Ibuprofen
77,2020-08-13,5926.0,Ibuprofen
78,2020-08-14,5926.0,Ibuprofen
79,2020-08-15,5455.0,Ibuprofen
80,2020-08-16,5455.0,Ibuprofen
81,2020-08-17,5623.0,Ibuprofen
82,2020-08-18,5623.0,Ibuprofen
83,2020-08-19,4831.0,Ibuprofen
84,2020-08-20,4831.0,Ibuprofen
85,2020-08-21,4831.0,Ibuprofen
86,2020-08-22,4542.0,Ibuprofen
87,2020-08-23,4542.0,Ibuprofen
88,2020-08-24,4008.0,Ibuprofen
89,2020-08-25,4834.0,Ibuprofen
90,2020-08-26,4834.0,Ibuprofen
91,2020-08-27,4834.0,Ibuprofen
92,2020-08-28,4637.0,Ibuprofen
93,2020-08-29,4862.0,Ibuprofen
94,2020-08-30,4862.0,Ibuprofen
95,2020-08-31,4862.0,Ibuprofen
96,2020-09-01,4307.0,Ibuprofen
97,2020-09-02,4307.0,Ibuprofen
98,2020-09-03,4859.0,Ibuprofen
99,2020-09-04,3893.0,Ibuprofen
100,2020-09-05,3893.0,Ibuprofen
101,2020-09-06,3893.0,Ibuprofen
102,2020-09-07,4040.0,Ibuprofen
103,2020-09-08,4531.0,Ibuprofen
104,2020-09-09,4531.0,Ibuprofen
105,2020-09-10,4157.0,Ibuprofen
106,2020-09-11,4157.0,Ibuprofen
107,2020-09-12,4157.0,Ibuprofen
108,2020-09-13,4677.0,Ibuprofen
109,2020-09-14,4448.0,Ibuprofen
110,2020-09-15,4095.0,Ibuprofen
111,2020-09-16,3553.0,Ibuprofen
112,2020-09-17,4020.0,Ibuprofen
113,2020-09-18,4687.0,Ibuprofen
114,2020-09-19,4687.0,Ibuprofen
115,2020-09-20,4387.0,Ibuprofen
116,2020-09-21,4387.0,Ibuprofen
117,2020-09-22,4531.0,Ibuprofen
118,2020-09-23,4763.0,Ibuprofen
119,2020-09-24,4763.0,Ibuprofen
120,2020-09-25,4514.0,Ibuprofen
121,2020-09-26,5727.0,Ibuprofen
122,2020-09-27,5052.0,Ibuprofen
123,2020-09-28,4504.0,Ibuprofen
124,2020-09-29,4504.0,Ibuprofen
125,2020-09-30,4839.0,Ibuprofen
126,2020-10-01,4389.0,Ibuprofen
127,2020-10-02,4753.0,Ibuprofen
128,2020-10-03,4753.0,Ibuprofen
129,2020-10-04,4390.0,Ibuprofen
130,2020-10-05,4390.0,Ibuprofen
131,2020-10-06,4792.0,Ibuprofen
132,2020-10-07,4792.0,Ibuprofen
133,2020-10-08,4051.0,Ibuprofen
134,2020-10-09,4076.0,Ibuprofen
135,2020-10-10,4250.0,Ibuprofen
136,2020-10-11,4250.0,Ibuprofen
137,2020-10-12,4250.0,Ibuprofen
138,2020-10-13,4989.0,Ibuprofen
139,2020-10-14,5697.0,Ibuprofen
140,2020-10-15,5697.0,Ibuprofen
141,2020-10-16,4534.0,Ibuprofen
142,2020-10-17,4534.0,Ibuprofen
143,2020-10-18,4534.0,Ibuprofen
144,2020-10-19,3830.0,Ibuprofen
145,2020-10-20,3830.0,Ibuprofen
146,2020-10-21,3714.0,Ibuprofen
147,2020-10-22,3714.0,Ibuprofen
148,2020-10-23,4072.0,Ibuprofen
149,2020-10-24,4072.0,Ibuprofen
150,2020-10-25,4072.0,Ibuprofen
151,2020-10-26,4466.0,Ibuprofen
152,2020-10-27,4616.0,Ibuprofen
153,2020-10-28,4616.0,Ibuprofen
154,2020-10-29,3918.0,Ibuprofen
155,2020-10-30,4032.0,Ibuprofen
156,2020-10-31,4981.0,Ibuprofen
157,2020-11-01,4563.0,Ibuprofen
158,2020-11-02,5285.0,Ibuprofen
159,2020-11-03,5285.0,Ibuprofen
160,2020-11-04,4785.0,Ibuprofen
161,2020-11-05,4785.0,Ibuprofen
162,2020-11-06,4623.0,Ibuprofen
163,2020-11-07,4284.0,Ibuprofen
164,2020-11-08,4169.0,Ibuprofen
165,2020-11-09,4194.0,Ibuprofen
166,2020-11-10,3957.0,Ibuprofen
167,2020-11-11,4094.0,Ibuprofen
168,2020-11-12,4612.0,Ibuprofen
169,2020-11-13,4612.0,Ibuprofen
170,2020-11-14,4612.0,Ibuprofen
171,2020-11-15,4701.0,Ibuprofen
172,2020-11-16,4491.0,Ibuprofen
173,2020-11-17,4275.0,Ibuprofen
174,2020-11-18,4637.0,Ibuprofen
175,2020-11-19,4637.0,Ibuprofen
176,2020-11-20,4604.0,Ibuprofen
177,2020-11-21,4604.0,Ibuprofen
178,2020-11-22,4200.0,Ibuprofen
179,2020-11-23,4200.0,Ibuprofen
180,2020-11-24,4070.0,Ibuprofen
181,2020-11-25,3666.0,Ibuprofen
182,2020-11-26,3767.0,Ibuprofen
183,2020-11-27,4089.0,Ibuprofen
184,2020-11-28,4450.0,Ibuprofen
185,2020-11-29,4450.0,Ibuprofen
186,2020-11-30,4430.0,Ibuprofen
187,2020-12-01,4864.0,Ibuprofen
188,2020-12-02,4980.0,Ibuprofen
189,2020-12-03,4167.0,Ibuprofen
190,2020-12-04,4046.0,Ibuprofen
191,2020-12-05,3860.0,Ibuprofen
192,2020-12-06,3860.0,Ibuprofen
193,2020-12-07,3849.0,Ibuprofen
194,2020-12-08,3849.0,Ibuprofen
195,2020-12-09,4009.0,Ibuprofen
196,2020-12-10,4009.0,Ibuprofen
197,2020-12-11,4212.0,Ibuprofen
198,2020-12-12,4212.0,Ibuprofen
199,2020-12-13,4212.0,Ibuprofen
200,2020-12-14,4716.0,Ibuprofen
201,2020-12-15,4326.0,Ibuprofen
202,2020-12-16,3788.0,Ibuprofen
203,2020-12-17,3788.0,Ibuprofen
204,2020-12-18,3788.0,Ibuprofen
