,date,value,name_B0815692SL
0,2019-12-20,150725.0,Flatware Sets
1,2019-12-21,150725.0,Flatware Sets
2,2019-12-22,73424.0,Flatware Sets
3,2019-12-23,73424.0,Flatware Sets
4,2019-12-24,108130.0,Flatware Sets
5,2019-12-25,108130.0,Flatware Sets
6,2019-12-26,170447.0,Flatware Sets
7,2019-12-27,170447.0,Flatware Sets
8,2019-12-28,170447.0,Flatware Sets
9,2019-12-29,170447.0,Flatware Sets
10,2019-12-30,261110.0,Flatware Sets
11,2019-12-31,261110.0,Flatware Sets
12,2020-01-01,261110.0,Flatware Sets
13,2020-01-02,285561.0,Flatware Sets
14,2020-01-03,285561.0,Flatware Sets
15,2020-01-04,285561.0,Flatware Sets
16,2020-01-05,212042.0,Flatware Sets
17,2020-01-06,212042.0,Flatware Sets
18,2020-01-07,110651.0,Flatware Sets
19,2020-01-08,110651.0,Flatware Sets
20,2020-01-09,108816.0,Flatware Sets
21,2020-01-10,85156.0,Flatware Sets
22,2020-01-11,147248.0,Flatware Sets
23,2020-01-12,90428.0,Flatware Sets
24,2020-01-13,140069.0,Flatware Sets
25,2020-01-14,124170.0,Flatware Sets
26,2020-01-15,158042.0,Flatware Sets
27,2020-01-16,158042.0,Flatware Sets
28,2020-01-17,158042.0,Flatware Sets
29,2020-01-18,158042.0,Flatware Sets
30,2020-01-19,158042.0,Flatware Sets
31,2020-01-20,158042.0,Flatware Sets
32,2020-01-21,158042.0,Flatware Sets
33,2020-01-22,158042.0,Flatware Sets
34,2020-01-23,158042.0,Flatware Sets
35,2020-01-24,51601.0,Flatware Sets
36,2020-01-25,51601.0,Flatware Sets
37,2020-01-26,51601.0,Flatware Sets
38,2020-01-27,51601.0,Flatware Sets
39,2020-01-28,51601.0,Flatware Sets
40,2020-01-29,51601.0,Flatware Sets
41,2020-01-30,51601.0,Flatware Sets
42,2020-01-31,51601.0,Flatware Sets
43,2020-02-01,51601.0,Flatware Sets
44,2020-02-02,70004.0,Flatware Sets
45,2020-02-03,70004.0,Flatware Sets
46,2020-02-04,70004.0,Flatware Sets
47,2020-02-05,59292.0,Flatware Sets
48,2020-02-06,59292.0,Flatware Sets
49,2020-02-07,59292.0,Flatware Sets
50,2020-02-08,59292.0,Flatware Sets
51,2020-02-09,59292.0,Flatware Sets
52,2020-02-10,59292.0,Flatware Sets
53,2020-02-11,59292.0,Flatware Sets
54,2020-02-12,59292.0,Flatware Sets
55,2020-02-13,53841.0,Flatware Sets
56,2020-02-14,53841.0,Flatware Sets
57,2020-02-15,53841.0,Flatware Sets
58,2020-02-16,53841.0,Flatware Sets
59,2020-02-17,53841.0,Flatware Sets
60,2020-02-18,53841.0,Flatware Sets
61,2020-02-19,20772.0,Flatware Sets
62,2020-02-20,20772.0,Flatware Sets
63,2020-02-21,20772.0,Flatware Sets
64,2020-02-22,31206.0,Flatware Sets
65,2020-02-23,31206.0,Flatware Sets
66,2020-02-24,31206.0,Flatware Sets
67,2020-02-25,24645.0,Flatware Sets
68,2020-02-26,24645.0,Flatware Sets
69,2020-02-27,24645.0,Flatware Sets
70,2020-02-28,25555.0,Flatware Sets
71,2020-02-29,25555.0,Flatware Sets
72,2020-03-01,14559.0,Flatware Sets
73,2020-03-02,14559.0,Flatware Sets
74,2020-03-03,14559.0,Flatware Sets
75,2020-03-04,17560.0,Flatware Sets
76,2020-03-05,17560.0,Flatware Sets
77,2020-03-06,17560.0,Flatware Sets
78,2020-03-07,39888.0,Flatware Sets
79,2020-03-08,39888.0,Flatware Sets
80,2020-03-09,39888.0,Flatware Sets
81,2020-03-10,-1.0,Flatware Sets
