,date,value,name_B07GFFZBXV
0,2020-05-26,20400.0,Magnesium
1,2020-05-27,20400.0,Magnesium
2,2020-05-28,20400.0,Magnesium
3,2020-05-29,20400.0,Magnesium
4,2020-05-30,18598.0,Magnesium
5,2020-05-31,18598.0,Magnesium
6,2020-06-01,18598.0,Magnesium
7,2020-06-02,18598.0,Magnesium
8,2020-06-03,18598.0,Magnesium
9,2020-06-04,18598.0,Magnesium
10,2020-06-05,25384.0,Magnesium
11,2020-06-06,25384.0,Magnesium
12,2020-06-07,25384.0,Magnesium
13,2020-06-08,25384.0,Magnesium
14,2020-06-09,25384.0,Magnesium
15,2020-06-10,25384.0,Magnesium
16,2020-06-11,19491.0,Magnesium
17,2020-06-12,19491.0,Magnesium
18,2020-06-13,19491.0,Magnesium
19,2020-06-14,19491.0,Magnesium
20,2020-06-15,19491.0,Magnesium
21,2020-06-16,19491.0,Magnesium
22,2020-06-17,15680.0,Magnesium
23,2020-06-18,17606.0,Magnesium
24,2020-06-19,17606.0,Magnesium
25,2020-06-20,17606.0,Magnesium
26,2020-06-21,17606.0,Magnesium
27,2020-06-22,17606.0,Magnesium
28,2020-06-23,22649.0,Magnesium
29,2020-06-24,22649.0,Magnesium
30,2020-06-25,22649.0,Magnesium
31,2020-06-26,22649.0,Magnesium
32,2020-06-27,21566.0,Magnesium
33,2020-06-28,21566.0,Magnesium
34,2020-06-29,21566.0,Magnesium
35,2020-06-30,21566.0,Magnesium
36,2020-07-01,21566.0,Magnesium
37,2020-07-02,21566.0,Magnesium
38,2020-07-03,21566.0,Magnesium
39,2020-07-04,17494.0,Magnesium
40,2020-07-05,17494.0,Magnesium
41,2020-07-06,17494.0,Magnesium
42,2020-07-07,17494.0,Magnesium
43,2020-07-08,19008.0,Magnesium
44,2020-07-09,19008.0,Magnesium
45,2020-07-10,19008.0,Magnesium
46,2020-07-11,19008.0,Magnesium
47,2020-07-12,19008.0,Magnesium
48,2020-07-13,24372.0,Magnesium
49,2020-07-14,24372.0,Magnesium
50,2020-07-15,24372.0,Magnesium
51,2020-07-16,19432.0,Magnesium
52,2020-07-17,19432.0,Magnesium
53,2020-07-18,19432.0,Magnesium
54,2020-07-19,19432.0,Magnesium
55,2020-07-20,20038.0,Magnesium
56,2020-07-21,20038.0,Magnesium
57,2020-07-22,20038.0,Magnesium
58,2020-07-23,20038.0,Magnesium
59,2020-07-24,20038.0,Magnesium
60,2020-07-25,22936.0,Magnesium
61,2020-07-26,22936.0,Magnesium
62,2020-07-27,22936.0,Magnesium
63,2020-07-28,21570.0,Magnesium
64,2020-07-29,21570.0,Magnesium
65,2020-07-30,21570.0,Magnesium
66,2020-07-31,19026.0,Magnesium
67,2020-08-01,19026.0,Magnesium
68,2020-08-02,19026.0,Magnesium
69,2020-08-03,22416.0,Magnesium
70,2020-08-04,22416.0,Magnesium
71,2020-08-05,20613.0,Magnesium
72,2020-08-06,20613.0,Magnesium
73,2020-08-07,20613.0,Magnesium
74,2020-08-08,20613.0,Magnesium
75,2020-08-09,20613.0,Magnesium
76,2020-08-10,20613.0,Magnesium
77,2020-08-11,17856.0,Magnesium
78,2020-08-12,17856.0,Magnesium
79,2020-08-13,17856.0,Magnesium
80,2020-08-14,24371.0,Magnesium
81,2020-08-15,24371.0,Magnesium
82,2020-08-16,24371.0,Magnesium
83,2020-08-17,17688.0,Magnesium
84,2020-08-18,17688.0,Magnesium
85,2020-08-19,17688.0,Magnesium
86,2020-08-20,19913.0,Magnesium
87,2020-08-21,19913.0,Magnesium
