,date,value,name_B07C3857CG
0,2018-07-11,14677.0,Test Strips
1,2018-07-12,14933.0,Test Strips
2,2018-07-13,15388.0,Test Strips
3,2018-07-14,15388.0,Test Strips
4,2018-07-15,23235.0,Test Strips
5,2018-07-16,13421.0,Test Strips
6,2018-07-17,31294.0,Test Strips
7,2018-07-18,38136.0,Test Strips
8,2018-07-19,21006.0,Test Strips
9,2018-07-20,21291.0,Test Strips
10,2018-07-21,16498.0,Test Strips
11,2018-07-22,16498.0,Test Strips
12,2018-07-23,15863.0,Test Strips
13,2018-07-24,17792.0,Test Strips
14,2018-07-25,17792.0,Test Strips
15,2018-07-26,22204.0,Test Strips
16,2018-07-27,22204.0,Test Strips
17,2018-07-28,22204.0,Test Strips
18,2018-07-29,33373.0,Test Strips
19,2018-07-30,12882.0,Test Strips
20,2018-07-31,16778.0,Test Strips
21,2018-08-01,24312.0,Test Strips
22,2018-08-02,18959.0,Test Strips
23,2018-08-03,32068.0,Test Strips
24,2018-08-04,32068.0,Test Strips
25,2018-08-05,24531.0,Test Strips
26,2018-08-06,33214.0,Test Strips
27,2018-08-07,33214.0,Test Strips
28,2018-08-08,33214.0,Test Strips
29,2018-08-09,14865.0,Test Strips
30,2018-08-10,14865.0,Test Strips
31,2018-08-11,16044.0,Test Strips
32,2018-08-12,16044.0,Test Strips
33,2018-08-13,28180.0,Test Strips
34,2018-08-14,16389.0,Test Strips
35,2018-08-15,18844.0,Test Strips
36,2018-08-16,18844.0,Test Strips
37,2018-08-17,18844.0,Test Strips
38,2018-08-18,18844.0,Test Strips
39,2018-08-19,19633.0,Test Strips
40,2018-08-20,16278.0,Test Strips
41,2018-08-21,16278.0,Test Strips
42,2018-08-22,13723.0,Test Strips
43,2018-08-23,13723.0,Test Strips
44,2018-08-24,24088.0,Test Strips
45,2018-08-25,24088.0,Test Strips
46,2018-08-26,11806.0,Test Strips
47,2018-08-27,16821.0,Test Strips
48,2018-08-28,36998.0,Test Strips
49,2018-08-29,25234.0,Test Strips
50,2018-08-30,16815.0,Test Strips
51,2018-08-31,33772.0,Test Strips
52,2018-09-01,47724.0,Test Strips
53,2018-09-02,47724.0,Test Strips
54,2018-09-03,40473.0,Test Strips
55,2018-09-04,34829.0,Test Strips
56,2018-09-05,27694.0,Test Strips
57,2018-09-06,27694.0,Test Strips
58,2018-09-07,29361.0,Test Strips
59,2018-09-08,32940.0,Test Strips
60,2018-09-09,36857.0,Test Strips
61,2018-09-10,36857.0,Test Strips
62,2018-09-11,36857.0,Test Strips
63,2018-09-12,28956.0,Test Strips
64,2018-09-13,36448.0,Test Strips
65,2018-09-14,23404.0,Test Strips
66,2018-09-15,12538.0,Test Strips
67,2018-09-16,12538.0,Test Strips
68,2018-09-17,17892.0,Test Strips
69,2018-09-18,27279.0,Test Strips
70,2018-09-19,28837.0,Test Strips
71,2018-09-20,25947.0,Test Strips
72,2018-09-21,31329.0,Test Strips
73,2018-09-22,47262.0,Test Strips
74,2018-09-23,54571.0,Test Strips
75,2018-09-24,73563.0,Test Strips
76,2018-09-25,73563.0,Test Strips
77,2018-09-26,66446.0,Test Strips
