,date,value,name_B094FC5M63
0,2021-05-11,19084.0,Climber Attachments
1,2021-05-12,19084.0,Climber Attachments
2,2021-05-13,20760.0,Climber Attachments
3,2021-05-14,20760.0,Climber Attachments
4,2021-05-15,21032.0,Climber Attachments
5,2021-05-16,12742.0,Climber Attachments
6,2021-05-17,20345.0,Climber Attachments
7,2021-05-18,20345.0,Climber Attachments
8,2021-05-19,20345.0,Climber Attachments
9,2021-05-20,16079.0,Climber Attachments
10,2021-05-21,16079.0,Climber Attachments
11,2021-05-22,16079.0,Climber Attachments
12,2021-05-23,16079.0,Climber Attachments
13,2021-05-24,24309.0,Climber Attachments
14,2021-05-25,24309.0,Climber Attachments
15,2021-05-26,24309.0,Climber Attachments
16,2021-05-27,24309.0,Climber Attachments
17,2021-05-28,30542.0,Climber Attachments
18,2021-05-29,30542.0,Climber Attachments
19,2021-05-30,30542.0,Climber Attachments
20,2021-05-31,30542.0,Climber Attachments
21,2021-06-01,30542.0,Climber Attachments
22,2021-06-02,30542.0,Climber Attachments
23,2021-06-03,22522.0,Climber Attachments
24,2021-06-04,22522.0,Climber Attachments
25,2021-06-05,22242.0,Climber Attachments
26,2021-06-06,24252.0,Climber Attachments
27,2021-06-07,24252.0,Climber Attachments
28,2021-06-08,24252.0,Climber Attachments
29,2021-06-09,33323.0,Climber Attachments
30,2021-06-10,33323.0,Climber Attachments
31,2021-06-11,27469.0,Climber Attachments
32,2021-06-12,27469.0,Climber Attachments
33,2021-06-13,27469.0,Climber Attachments
34,2021-06-14,27469.0,Climber Attachments
35,2021-06-15,27469.0,Climber Attachments
36,2021-06-16,27469.0,Climber Attachments
37,2021-06-17,27469.0,Climber Attachments
38,2021-06-18,21495.0,Climber Attachments
39,2021-06-19,21495.0,Climber Attachments
40,2021-06-20,21495.0,Climber Attachments
41,2021-06-21,21495.0,Climber Attachments
42,2021-06-22,14164.0,Climber Attachments
43,2021-06-23,14164.0,Climber Attachments
44,2021-06-24,22032.0,Climber Attachments
45,2021-06-25,22032.0,Climber Attachments
46,2021-06-26,22032.0,Climber Attachments
47,2021-06-27,31757.0,Climber Attachments
48,2021-06-28,23514.0,Climber Attachments
49,2021-06-29,23514.0,Climber Attachments
50,2021-06-30,29540.0,Climber Attachments
51,2021-07-01,30300.0,Climber Attachments
52,2021-07-02,30300.0,Climber Attachments
53,2021-07-03,16265.0,Climber Attachments
54,2021-07-04,15992.0,Climber Attachments
55,2021-07-05,7679.0,Climber Attachments
56,2021-07-06,18572.0,Climber Attachments
57,2021-07-07,18572.0,Climber Attachments
58,2021-07-08,24117.0,Climber Attachments
59,2021-07-09,31801.0,Climber Attachments
