,date,value,name_B097MSCPXH
0,2021-06-22,6201.0,Novelty & Gag Toys
1,2021-06-23,5651.0,Novelty & Gag Toys
2,2021-06-24,4081.0,Novelty & Gag Toys
3,2021-06-25,3464.0,Novelty & Gag Toys
4,2021-06-26,3464.0,Novelty & Gag Toys
5,2021-06-27,2099.0,Novelty & Gag Toys
6,2021-06-28,1079.0,Novelty & Gag Toys
7,2021-06-29,1867.0,Novelty & Gag Toys
8,2021-06-30,575.0,Novelty & Gag Toys
9,2021-07-01,1037.0,Novelty & Gag Toys
10,2021-07-02,4126.0,Novelty & Gag Toys
11,2021-07-03,3932.0,Novelty & Gag Toys
12,2021-07-04,5630.0,Novelty & Gag Toys
13,2021-07-05,7719.0,Novelty & Gag Toys
14,2021-07-06,19823.0,Novelty & Gag Toys
15,2021-07-07,22162.0,Novelty & Gag Toys
16,2021-07-08,12734.0,Novelty & Gag Toys
