,date,value,name_B08B4XDDXN
0,2020-06-17,164186.0,Kitchen & Dining Features
1,2020-06-18,164186.0,Kitchen & Dining Features
2,2020-06-19,164186.0,Kitchen & Dining Features
3,2020-06-20,164186.0,Kitchen & Dining Features
4,2020-06-21,164186.0,Kitchen & Dining Features
5,2020-06-22,164186.0,Kitchen & Dining Features
6,2020-06-23,164186.0,Kitchen & Dining Features
7,2020-06-24,164186.0,Kitchen & Dining Features
8,2020-06-25,164186.0,Kitchen & Dining Features
9,2020-06-26,164186.0,Kitchen & Dining Features
10,2020-06-27,164186.0,Kitchen & Dining Features
11,2020-06-28,164186.0,Kitchen & Dining Features
12,2020-06-29,164186.0,Kitchen & Dining Features
13,2020-06-30,164186.0,Kitchen & Dining Features
14,2020-07-01,164186.0,Kitchen & Dining Features
15,2020-07-02,164186.0,Kitchen & Dining Features
16,2020-07-03,164186.0,Kitchen & Dining Features
17,2020-07-04,164186.0,Kitchen & Dining Features
18,2020-07-05,164186.0,Kitchen & Dining Features
19,2020-07-06,164186.0,Kitchen & Dining Features
20,2020-07-07,164186.0,Kitchen & Dining Features
21,2020-07-08,164186.0,Kitchen & Dining Features
22,2020-07-09,164186.0,Kitchen & Dining Features
23,2020-07-10,150733.0,Kitchen & Dining Features
24,2020-07-11,150733.0,Kitchen & Dining Features
25,2020-07-12,150733.0,Kitchen & Dining Features
26,2020-07-13,150733.0,Kitchen & Dining Features
27,2020-07-14,150733.0,Kitchen & Dining Features
28,2020-07-15,235226.0,Kitchen & Dining Features
29,2020-07-16,235226.0,Kitchen & Dining Features
30,2020-07-17,235226.0,Kitchen & Dining Features
31,2020-07-18,235226.0,Kitchen & Dining Features
32,2020-07-19,235226.0,Kitchen & Dining Features
33,2020-07-20,235226.0,Kitchen & Dining Features
34,2020-07-21,235226.0,Kitchen & Dining Features
35,2020-07-22,235226.0,Kitchen & Dining Features
36,2020-07-23,140109.0,Kitchen & Dining Features
37,2020-07-24,140109.0,Kitchen & Dining Features
38,2020-07-25,140109.0,Kitchen & Dining Features
39,2020-07-26,140109.0,Kitchen & Dining Features
40,2020-07-27,140109.0,Kitchen & Dining Features
41,2020-07-28,140109.0,Kitchen & Dining Features
42,2020-07-29,140109.0,Kitchen & Dining Features
43,2020-07-30,140109.0,Kitchen & Dining Features
44,2020-07-31,196732.0,Kitchen & Dining Features
45,2020-08-01,196732.0,Kitchen & Dining Features
46,2020-08-02,196732.0,Kitchen & Dining Features
47,2020-08-03,196732.0,Kitchen & Dining Features
48,2020-08-04,196732.0,Kitchen & Dining Features
49,2020-08-05,196732.0,Kitchen & Dining Features
50,2020-08-06,196732.0,Kitchen & Dining Features
51,2020-08-07,196732.0,Kitchen & Dining Features
52,2020-08-08,196732.0,Kitchen & Dining Features
53,2020-08-09,136593.0,Kitchen & Dining Features
54,2020-08-10,136593.0,Kitchen & Dining Features
55,2020-08-11,136593.0,Kitchen & Dining Features
56,2020-08-12,136593.0,Kitchen & Dining Features
57,2020-08-13,136593.0,Kitchen & Dining Features
