,date,value,name_B07X1R67TH
0,2019-08-29,147495.0,Novelty & Gag Toys
1,2019-08-30,82918.0,Novelty & Gag Toys
2,2019-08-31,66938.0,Novelty & Gag Toys
3,2019-09-01,79769.0,Novelty & Gag Toys
4,2019-09-02,68167.0,Novelty & Gag Toys
5,2019-09-03,58305.0,Novelty & Gag Toys
6,2019-09-04,48470.0,Novelty & Gag Toys
7,2019-09-05,24325.0,Novelty & Gag Toys
8,2019-09-06,24325.0,Novelty & Gag Toys
9,2019-09-07,40061.0,Novelty & Gag Toys
10,2019-09-08,36438.0,Novelty & Gag Toys
11,2019-09-09,27647.0,Novelty & Gag Toys
12,2019-09-10,22971.0,Novelty & Gag Toys
13,2019-09-11,26099.0,Novelty & Gag Toys
14,2019-09-12,32133.0,Novelty & Gag Toys
15,2019-09-13,30693.0,Novelty & Gag Toys
16,2019-09-14,19663.0,Novelty & Gag Toys
17,2019-09-15,22784.0,Novelty & Gag Toys
18,2019-09-16,21508.0,Novelty & Gag Toys
19,2019-09-17,15087.0,Novelty & Gag Toys
20,2019-09-18,17567.0,Novelty & Gag Toys
21,2019-09-19,13444.0,Novelty & Gag Toys
22,2019-09-20,15518.0,Novelty & Gag Toys
23,2019-09-21,15610.0,Novelty & Gag Toys
24,2019-09-22,14206.0,Novelty & Gag Toys
25,2019-09-23,11034.0,Novelty & Gag Toys
26,2019-09-24,12636.0,Novelty & Gag Toys
27,2019-09-25,13591.0,Novelty & Gag Toys
28,2019-09-26,10194.0,Novelty & Gag Toys
29,2019-09-27,9119.0,Novelty & Gag Toys
30,2019-09-28,12158.0,Novelty & Gag Toys
31,2019-09-29,11889.0,Novelty & Gag Toys
32,2019-09-30,6804.0,Novelty & Gag Toys
33,2019-10-01,5686.0,Novelty & Gag Toys
34,2019-10-02,6354.0,Novelty & Gag Toys
35,2019-10-03,5612.0,Novelty & Gag Toys
36,2019-10-04,6139.0,Novelty & Gag Toys
37,2019-10-05,8884.0,Novelty & Gag Toys
38,2019-10-06,6718.0,Novelty & Gag Toys
39,2019-10-07,5792.0,Novelty & Gag Toys
40,2019-10-08,3330.0,Novelty & Gag Toys
41,2019-10-09,2367.0,Novelty & Gag Toys
42,2019-10-10,2020.0,Novelty & Gag Toys
43,2019-10-11,1869.0,Novelty & Gag Toys
44,2019-10-12,1383.0,Novelty & Gag Toys
45,2019-10-13,1216.0,Novelty & Gag Toys
46,2019-10-14,1088.0,Novelty & Gag Toys
47,2019-10-15,1131.0,Novelty & Gag Toys
48,2019-10-16,1056.0,Novelty & Gag Toys
49,2019-10-17,859.0,Novelty & Gag Toys
50,2019-10-18,892.0,Novelty & Gag Toys
51,2019-10-19,682.0,Novelty & Gag Toys
52,2019-10-20,818.0,Novelty & Gag Toys
53,2019-10-21,884.0,Novelty & Gag Toys
54,2019-10-22,710.0,Novelty & Gag Toys
55,2019-10-23,406.0,Novelty & Gag Toys
56,2019-10-24,225.0,Novelty & Gag Toys
57,2019-10-25,244.0,Novelty & Gag Toys
58,2019-10-26,280.0,Novelty & Gag Toys
59,2019-10-27,274.0,Novelty & Gag Toys
60,2019-10-28,240.0,Novelty & Gag Toys
