,date,value,name_B083ZN6YZ3
0,2020-01-22,11044.0,Fabric & Textile Paints
1,2020-01-23,11044.0,Fabric & Textile Paints
2,2020-01-24,11044.0,Fabric & Textile Paints
3,2020-01-25,11044.0,Fabric & Textile Paints
4,2020-01-26,-1.0,Fabric & Textile Paints
5,2020-01-27,-1.0,Fabric & Textile Paints
6,2020-01-28,-1.0,Fabric & Textile Paints
7,2020-01-29,-1.0,Fabric & Textile Paints
8,2020-01-30,-1.0,Fabric & Textile Paints
9,2020-01-31,-1.0,Fabric & Textile Paints
10,2020-02-01,-1.0,Fabric & Textile Paints
11,2020-02-02,-1.0,Fabric & Textile Paints
12,2020-02-03,-1.0,Fabric & Textile Paints
13,2020-02-04,-1.0,Fabric & Textile Paints
14,2020-02-05,-1.0,Fabric & Textile Paints
15,2020-02-06,-1.0,Fabric & Textile Paints
16,2020-02-07,-1.0,Fabric & Textile Paints
17,2020-02-08,-1.0,Fabric & Textile Paints
18,2020-02-09,-1.0,Fabric & Textile Paints
19,2020-02-10,-1.0,Fabric & Textile Paints
20,2020-02-11,-1.0,Fabric & Textile Paints
21,2020-02-12,-1.0,Fabric & Textile Paints
22,2020-02-13,-1.0,Fabric & Textile Paints
23,2020-02-14,-1.0,Fabric & Textile Paints
24,2020-02-15,-1.0,Fabric & Textile Paints
25,2020-02-16,-1.0,Fabric & Textile Paints
26,2020-02-17,-1.0,Fabric & Textile Paints
27,2020-02-18,-1.0,Fabric & Textile Paints
28,2020-02-19,-1.0,Fabric & Textile Paints
29,2020-02-20,-1.0,Fabric & Textile Paints
30,2020-02-21,-1.0,Fabric & Textile Paints
31,2020-02-22,-1.0,Fabric & Textile Paints
32,2020-02-23,-1.0,Fabric & Textile Paints
33,2020-02-24,-1.0,Fabric & Textile Paints
34,2020-02-25,-1.0,Fabric & Textile Paints
35,2020-02-26,-1.0,Fabric & Textile Paints
36,2020-02-27,-1.0,Fabric & Textile Paints
37,2020-02-28,-1.0,Fabric & Textile Paints
38,2020-02-29,-1.0,Fabric & Textile Paints
39,2020-03-01,-1.0,Fabric & Textile Paints
40,2020-03-02,-1.0,Fabric & Textile Paints
41,2020-03-03,-1.0,Fabric & Textile Paints
42,2020-03-04,-1.0,Fabric & Textile Paints
43,2020-03-05,-1.0,Fabric & Textile Paints
44,2020-03-06,-1.0,Fabric & Textile Paints
45,2020-03-07,-1.0,Fabric & Textile Paints
46,2020-03-08,-1.0,Fabric & Textile Paints
47,2020-03-09,-1.0,Fabric & Textile Paints
48,2020-03-10,-1.0,Fabric & Textile Paints
49,2020-03-11,-1.0,Fabric & Textile Paints
50,2020-03-12,-1.0,Fabric & Textile Paints
51,2020-03-13,-1.0,Fabric & Textile Paints
52,2020-03-14,-1.0,Fabric & Textile Paints
53,2020-03-15,-1.0,Fabric & Textile Paints
54,2020-03-16,-1.0,Fabric & Textile Paints
55,2020-03-17,-1.0,Fabric & Textile Paints
56,2020-03-18,-1.0,Fabric & Textile Paints
57,2020-03-19,-1.0,Fabric & Textile Paints
58,2020-03-20,-1.0,Fabric & Textile Paints
59,2020-03-21,-1.0,Fabric & Textile Paints
60,2020-03-22,-1.0,Fabric & Textile Paints
61,2020-03-23,-1.0,Fabric & Textile Paints
62,2020-03-24,-1.0,Fabric & Textile Paints
63,2020-03-25,-1.0,Fabric & Textile Paints
64,2020-03-26,-1.0,Fabric & Textile Paints
65,2020-03-27,-1.0,Fabric & Textile Paints
66,2020-03-28,-1.0,Fabric & Textile Paints
67,2020-03-29,-1.0,Fabric & Textile Paints
68,2020-03-30,-1.0,Fabric & Textile Paints
69,2020-03-31,-1.0,Fabric & Textile Paints
70,2020-04-01,-1.0,Fabric & Textile Paints
71,2020-04-02,-1.0,Fabric & Textile Paints
72,2020-04-03,-1.0,Fabric & Textile Paints
73,2020-04-04,-1.0,Fabric & Textile Paints
74,2020-04-05,-1.0,Fabric & Textile Paints
75,2020-04-06,-1.0,Fabric & Textile Paints
76,2020-04-07,-1.0,Fabric & Textile Paints
77,2020-04-08,-1.0,Fabric & Textile Paints
78,2020-04-09,-1.0,Fabric & Textile Paints
79,2020-04-10,-1.0,Fabric & Textile Paints
80,2020-04-11,-1.0,Fabric & Textile Paints
81,2020-04-12,-1.0,Fabric & Textile Paints
82,2020-04-13,-1.0,Fabric & Textile Paints
83,2020-04-14,-1.0,Fabric & Textile Paints
84,2020-04-15,-1.0,Fabric & Textile Paints
85,2020-04-16,-1.0,Fabric & Textile Paints
86,2020-04-17,-1.0,Fabric & Textile Paints
87,2020-04-18,-1.0,Fabric & Textile Paints
88,2020-04-19,-1.0,Fabric & Textile Paints
89,2020-04-20,-1.0,Fabric & Textile Paints
90,2020-04-21,-1.0,Fabric & Textile Paints
91,2020-04-22,-1.0,Fabric & Textile Paints
92,2020-04-23,-1.0,Fabric & Textile Paints
