,date,value,name_B08NW9437Z
0,2020-11-25,143738.0,Open Storage Bins
1,2020-11-26,125768.0,Open Storage Bins
2,2020-11-27,125768.0,Open Storage Bins
3,2020-11-28,125768.0,Open Storage Bins
4,2020-11-29,22206.0,Open Storage Bins
5,2020-11-30,19033.0,Open Storage Bins
6,2020-12-01,15632.0,Open Storage Bins
7,2020-12-02,24322.0,Open Storage Bins
8,2020-12-03,36174.0,Open Storage Bins
9,2020-12-04,37365.0,Open Storage Bins
10,2020-12-05,37365.0,Open Storage Bins
11,2020-12-06,31100.0,Open Storage Bins
12,2020-12-07,31100.0,Open Storage Bins
13,2020-12-08,31100.0,Open Storage Bins
14,2020-12-09,31100.0,Open Storage Bins
15,2020-12-10,31100.0,Open Storage Bins
16,2020-12-11,34054.0,Open Storage Bins
17,2020-12-12,41513.0,Open Storage Bins
18,2020-12-13,41513.0,Open Storage Bins
19,2020-12-14,56149.0,Open Storage Bins
20,2020-12-15,56149.0,Open Storage Bins
21,2020-12-16,56149.0,Open Storage Bins
22,2020-12-17,38334.0,Open Storage Bins
23,2020-12-18,57570.0,Open Storage Bins
24,2020-12-19,57570.0,Open Storage Bins
25,2020-12-20,57570.0,Open Storage Bins
26,2020-12-21,35910.0,Open Storage Bins
27,2020-12-22,41686.0,Open Storage Bins
28,2020-12-23,28174.0,Open Storage Bins
29,2020-12-24,33690.0,Open Storage Bins
30,2020-12-25,24596.0,Open Storage Bins
31,2020-12-26,22369.0,Open Storage Bins
32,2020-12-27,22369.0,Open Storage Bins
33,2020-12-28,22369.0,Open Storage Bins
34,2020-12-29,11317.0,Open Storage Bins
35,2020-12-30,11317.0,Open Storage Bins
36,2020-12-31,11317.0,Open Storage Bins
37,2021-01-01,12663.0,Open Storage Bins
38,2021-01-02,9773.0,Open Storage Bins
39,2021-01-03,6466.0,Open Storage Bins
40,2021-01-04,6466.0,Open Storage Bins
41,2021-01-05,6466.0,Open Storage Bins
42,2021-01-06,6596.0,Open Storage Bins
43,2021-01-07,7856.0,Open Storage Bins
44,2021-01-08,7856.0,Open Storage Bins
45,2021-01-09,7856.0,Open Storage Bins
46,2021-01-10,8502.0,Open Storage Bins
47,2021-01-11,8502.0,Open Storage Bins
48,2021-01-12,8580.0,Open Storage Bins
49,2021-01-13,8580.0,Open Storage Bins
50,2021-01-14,10182.0,Open Storage Bins
51,2021-01-15,10182.0,Open Storage Bins
52,2021-01-16,6552.0,Open Storage Bins
53,2021-01-17,6150.0,Open Storage Bins
54,2021-01-18,5850.0,Open Storage Bins
55,2021-01-19,6805.0,Open Storage Bins
56,2021-01-20,6805.0,Open Storage Bins
57,2021-01-21,6805.0,Open Storage Bins
58,2021-01-22,13373.0,Open Storage Bins
59,2021-01-23,13373.0,Open Storage Bins
60,2021-01-24,13373.0,Open Storage Bins
61,2021-01-25,25019.0,Open Storage Bins
62,2021-01-26,20024.0,Open Storage Bins
63,2021-01-27,20024.0,Open Storage Bins
64,2021-01-28,18659.0,Open Storage Bins
65,2021-01-29,18659.0,Open Storage Bins
66,2021-01-30,21814.0,Open Storage Bins
67,2021-01-31,21814.0,Open Storage Bins
68,2021-02-01,17969.0,Open Storage Bins
69,2021-02-02,17969.0,Open Storage Bins
70,2021-02-03,17969.0,Open Storage Bins
71,2021-02-04,17969.0,Open Storage Bins
72,2021-02-05,17969.0,Open Storage Bins
73,2021-02-06,17969.0,Open Storage Bins
74,2021-02-07,17969.0,Open Storage Bins
75,2021-02-08,61651.0,Open Storage Bins
76,2021-02-09,61651.0,Open Storage Bins
77,2021-02-10,61651.0,Open Storage Bins
78,2021-02-11,61651.0,Open Storage Bins
79,2021-02-12,61651.0,Open Storage Bins
80,2021-02-13,61651.0,Open Storage Bins
81,2021-02-14,107710.0,Open Storage Bins
82,2021-02-15,107710.0,Open Storage Bins
83,2021-02-16,107710.0,Open Storage Bins
84,2021-02-17,107710.0,Open Storage Bins
85,2021-02-18,107710.0,Open Storage Bins
86,2021-02-19,145730.0,Open Storage Bins
87,2021-02-20,145730.0,Open Storage Bins
88,2021-02-21,145730.0,Open Storage Bins
89,2021-02-22,130252.0,Open Storage Bins
90,2021-02-23,191573.0,Open Storage Bins
91,2021-02-24,191573.0,Open Storage Bins
92,2021-02-25,191573.0,Open Storage Bins
93,2021-02-26,191573.0,Open Storage Bins
94,2021-02-27,191573.0,Open Storage Bins
95,2021-02-28,191573.0,Open Storage Bins
96,2021-03-01,167466.0,Open Storage Bins
97,2021-03-02,167466.0,Open Storage Bins
98,2021-03-03,139593.0,Open Storage Bins
99,2021-03-04,139593.0,Open Storage Bins
100,2021-03-05,139593.0,Open Storage Bins
101,2021-03-06,92332.0,Open Storage Bins
102,2021-03-07,92332.0,Open Storage Bins
103,2021-03-08,104173.0,Open Storage Bins
104,2021-03-09,50788.0,Open Storage Bins
105,2021-03-10,50788.0,Open Storage Bins
106,2021-03-11,50788.0,Open Storage Bins
107,2021-03-12,37273.0,Open Storage Bins
108,2021-03-13,49469.0,Open Storage Bins
109,2021-03-14,49469.0,Open Storage Bins
110,2021-03-15,49469.0,Open Storage Bins
111,2021-03-16,49469.0,Open Storage Bins
112,2021-03-17,49469.0,Open Storage Bins
113,2021-03-18,13274.0,Open Storage Bins
114,2021-03-19,13274.0,Open Storage Bins
115,2021-03-20,9104.0,Open Storage Bins
116,2021-03-21,9104.0,Open Storage Bins
117,2021-03-22,6008.0,Open Storage Bins
118,2021-03-23,6686.0,Open Storage Bins
119,2021-03-24,6686.0,Open Storage Bins
120,2021-03-25,6686.0,Open Storage Bins
121,2021-03-26,12015.0,Open Storage Bins
122,2021-03-27,12015.0,Open Storage Bins
123,2021-03-28,9262.0,Open Storage Bins
124,2021-03-29,8645.0,Open Storage Bins
125,2021-03-30,8398.0,Open Storage Bins
126,2021-03-31,8398.0,Open Storage Bins
127,2021-04-01,14089.0,Open Storage Bins
128,2021-04-02,16389.0,Open Storage Bins
129,2021-04-03,16389.0,Open Storage Bins
130,2021-04-04,16389.0,Open Storage Bins
131,2021-04-05,16189.0,Open Storage Bins
132,2021-04-06,16060.0,Open Storage Bins
133,2021-04-07,16060.0,Open Storage Bins
134,2021-04-08,16060.0,Open Storage Bins
135,2021-04-09,16243.0,Open Storage Bins
136,2021-04-10,16243.0,Open Storage Bins
137,2021-04-11,19949.0,Open Storage Bins
138,2021-04-12,18267.0,Open Storage Bins
139,2021-04-13,17073.0,Open Storage Bins
140,2021-04-14,22393.0,Open Storage Bins
141,2021-04-15,22393.0,Open Storage Bins
142,2021-04-16,25482.0,Open Storage Bins
143,2021-04-17,25482.0,Open Storage Bins
144,2021-04-18,25482.0,Open Storage Bins
145,2021-04-19,25482.0,Open Storage Bins
146,2021-04-20,11112.0,Open Storage Bins
147,2021-04-21,11112.0,Open Storage Bins
148,2021-04-22,11112.0,Open Storage Bins
149,2021-04-23,21445.0,Open Storage Bins
150,2021-04-24,21445.0,Open Storage Bins
151,2021-04-25,21445.0,Open Storage Bins
152,2021-04-26,20696.0,Open Storage Bins
153,2021-04-27,20696.0,Open Storage Bins
154,2021-04-28,20696.0,Open Storage Bins
155,2021-04-29,20696.0,Open Storage Bins
156,2021-04-30,20696.0,Open Storage Bins
157,2021-05-01,36434.0,Open Storage Bins
158,2021-05-02,36434.0,Open Storage Bins
159,2021-05-03,36434.0,Open Storage Bins
160,2021-05-04,25906.0,Open Storage Bins
161,2021-05-05,25906.0,Open Storage Bins
162,2021-05-06,39340.0,Open Storage Bins
163,2021-05-07,39340.0,Open Storage Bins
164,2021-05-08,39340.0,Open Storage Bins
165,2021-05-09,39340.0,Open Storage Bins
166,2021-05-10,26344.0,Open Storage Bins
