,date,value,name_B08JGLMYSQ
0,2020-12-06,31152.0,Lap Desks
1,2020-12-07,31152.0,Lap Desks
2,2020-12-08,31152.0,Lap Desks
3,2020-12-09,31152.0,Lap Desks
4,2020-12-10,27431.0,Lap Desks
5,2020-12-11,27431.0,Lap Desks
6,2020-12-12,27431.0,Lap Desks
7,2020-12-13,27431.0,Lap Desks
8,2020-12-14,27431.0,Lap Desks
9,2020-12-15,12627.0,Lap Desks
10,2020-12-16,13379.0,Lap Desks
11,2020-12-17,14995.0,Lap Desks
12,2020-12-18,14995.0,Lap Desks
13,2020-12-19,14995.0,Lap Desks
14,2020-12-20,14995.0,Lap Desks
15,2020-12-21,16252.0,Lap Desks
16,2020-12-22,20177.0,Lap Desks
17,2020-12-23,20177.0,Lap Desks
18,2020-12-24,20177.0,Lap Desks
19,2020-12-25,21623.0,Lap Desks
20,2020-12-26,21623.0,Lap Desks
21,2020-12-27,21623.0,Lap Desks
22,2020-12-28,21623.0,Lap Desks
23,2020-12-29,36527.0,Lap Desks
24,2020-12-30,36527.0,Lap Desks
25,2020-12-31,36527.0,Lap Desks
26,2021-01-01,36527.0,Lap Desks
27,2021-01-02,36527.0,Lap Desks
28,2021-01-03,44589.0,Lap Desks
29,2021-01-04,44589.0,Lap Desks
30,2021-01-05,44589.0,Lap Desks
31,2021-01-06,44589.0,Lap Desks
32,2021-01-07,87545.0,Lap Desks
33,2021-01-08,87545.0,Lap Desks
34,2021-01-09,71342.0,Lap Desks
35,2021-01-10,71342.0,Lap Desks
36,2021-01-11,71342.0,Lap Desks
37,2021-01-12,71342.0,Lap Desks
38,2021-01-13,64972.0,Lap Desks
39,2021-01-14,64972.0,Lap Desks
40,2021-01-15,43908.0,Lap Desks
41,2021-01-16,43908.0,Lap Desks
42,2021-01-17,43908.0,Lap Desks
43,2021-01-18,43908.0,Lap Desks
44,2021-01-19,43908.0,Lap Desks
45,2021-01-20,15981.0,Lap Desks
46,2021-01-21,15981.0,Lap Desks
47,2021-01-22,27356.0,Lap Desks
48,2021-01-23,27356.0,Lap Desks
49,2021-01-24,27356.0,Lap Desks
50,2021-01-25,17911.0,Lap Desks
51,2021-01-26,23451.0,Lap Desks
52,2021-01-27,23451.0,Lap Desks
53,2021-01-28,33213.0,Lap Desks
54,2021-01-29,33213.0,Lap Desks
55,2021-01-30,40063.0,Lap Desks
56,2021-01-31,40063.0,Lap Desks
57,2021-02-01,33284.0,Lap Desks
58,2021-02-02,33284.0,Lap Desks
59,2021-02-03,33284.0,Lap Desks
60,2021-02-04,33284.0,Lap Desks
61,2021-02-05,33318.0,Lap Desks
62,2021-02-06,33318.0,Lap Desks
63,2021-02-07,33318.0,Lap Desks
64,2021-02-08,27223.0,Lap Desks
65,2021-02-09,27223.0,Lap Desks
66,2021-02-10,27223.0,Lap Desks
67,2021-02-11,21744.0,Lap Desks
68,2021-02-12,21744.0,Lap Desks
69,2021-02-13,21744.0,Lap Desks
70,2021-02-14,13697.0,Lap Desks
71,2021-02-15,19020.0,Lap Desks
72,2021-02-16,25140.0,Lap Desks
73,2021-02-17,25140.0,Lap Desks
74,2021-02-18,25140.0,Lap Desks
75,2021-02-19,8858.0,Lap Desks
76,2021-02-20,8858.0,Lap Desks
77,2021-02-21,8858.0,Lap Desks
78,2021-02-22,8858.0,Lap Desks
79,2021-02-23,8858.0,Lap Desks
80,2021-02-24,11007.0,Lap Desks
81,2021-02-25,13661.0,Lap Desks
82,2021-02-26,13661.0,Lap Desks
83,2021-02-27,13661.0,Lap Desks
84,2021-02-28,13661.0,Lap Desks
85,2021-03-01,3446.0,Lap Desks
86,2021-03-02,4661.0,Lap Desks
87,2021-03-03,4661.0,Lap Desks
88,2021-03-04,4661.0,Lap Desks
89,2021-03-05,12453.0,Lap Desks
90,2021-03-06,12453.0,Lap Desks
91,2021-03-07,12453.0,Lap Desks
92,2021-03-08,12453.0,Lap Desks
93,2021-03-09,13349.0,Lap Desks
94,2021-03-10,20804.0,Lap Desks
95,2021-03-11,20804.0,Lap Desks
96,2021-03-12,14998.0,Lap Desks
97,2021-03-13,21706.0,Lap Desks
98,2021-03-14,16803.0,Lap Desks
99,2021-03-15,16803.0,Lap Desks
100,2021-03-16,16803.0,Lap Desks
101,2021-03-17,16619.0,Lap Desks
102,2021-03-18,13326.0,Lap Desks
103,2021-03-19,13326.0,Lap Desks
104,2021-03-20,13326.0,Lap Desks
105,2021-03-21,13326.0,Lap Desks
106,2021-03-22,10392.0,Lap Desks
107,2021-03-23,10392.0,Lap Desks
108,2021-03-24,6721.0,Lap Desks
109,2021-03-25,6721.0,Lap Desks
110,2021-03-26,6721.0,Lap Desks
111,2021-03-27,12439.0,Lap Desks
112,2021-03-28,12439.0,Lap Desks
113,2021-03-29,7447.0,Lap Desks
114,2021-03-30,7447.0,Lap Desks
115,2021-03-31,7447.0,Lap Desks
116,2021-04-01,9878.0,Lap Desks
117,2021-04-02,9878.0,Lap Desks
118,2021-04-03,9878.0,Lap Desks
119,2021-04-04,9878.0,Lap Desks
120,2021-04-05,9878.0,Lap Desks
121,2021-04-06,9878.0,Lap Desks
122,2021-04-07,13449.0,Lap Desks
123,2021-04-08,13449.0,Lap Desks
124,2021-04-09,13449.0,Lap Desks
125,2021-04-10,12569.0,Lap Desks
126,2021-04-11,12569.0,Lap Desks
127,2021-04-12,14875.0,Lap Desks
128,2021-04-13,9809.0,Lap Desks
129,2021-04-14,12622.0,Lap Desks
130,2021-04-15,12622.0,Lap Desks
131,2021-04-16,12305.0,Lap Desks
132,2021-04-17,12305.0,Lap Desks
133,2021-04-18,8976.0,Lap Desks
134,2021-04-19,9387.0,Lap Desks
135,2021-04-20,9387.0,Lap Desks
136,2021-04-21,9387.0,Lap Desks
137,2021-04-22,9387.0,Lap Desks
138,2021-04-23,12093.0,Lap Desks
139,2021-04-24,12093.0,Lap Desks
140,2021-04-25,11216.0,Lap Desks
141,2021-04-26,11216.0,Lap Desks
142,2021-04-27,10659.0,Lap Desks
143,2021-04-28,10659.0,Lap Desks
144,2021-04-29,8815.0,Lap Desks
145,2021-04-30,8815.0,Lap Desks
146,2021-05-01,8815.0,Lap Desks
147,2021-05-02,3639.0,Lap Desks
148,2021-05-03,3639.0,Lap Desks
149,2021-05-04,3639.0,Lap Desks
150,2021-05-05,5296.0,Lap Desks
151,2021-05-06,5296.0,Lap Desks
152,2021-05-07,5296.0,Lap Desks
153,2021-05-08,3335.0,Lap Desks
154,2021-05-09,3335.0,Lap Desks
155,2021-05-10,3335.0,Lap Desks
156,2021-05-11,3026.0,Lap Desks
157,2021-05-12,3026.0,Lap Desks
158,2021-05-13,3789.0,Lap Desks
159,2021-05-14,3789.0,Lap Desks
160,2021-05-15,3789.0,Lap Desks
161,2021-05-16,3679.0,Lap Desks
162,2021-05-17,3528.0,Lap Desks
163,2021-05-18,3528.0,Lap Desks
164,2021-05-19,4013.0,Lap Desks
165,2021-05-20,3116.0,Lap Desks
166,2021-05-21,3116.0,Lap Desks
167,2021-05-22,4310.0,Lap Desks
168,2021-05-23,4310.0,Lap Desks
169,2021-05-24,4575.0,Lap Desks
170,2021-05-25,4575.0,Lap Desks
171,2021-05-26,8678.0,Lap Desks
172,2021-05-27,8678.0,Lap Desks
173,2021-05-28,8678.0,Lap Desks
174,2021-05-29,8678.0,Lap Desks
175,2021-05-30,8678.0,Lap Desks
176,2021-05-31,13020.0,Lap Desks
177,2021-06-01,13412.0,Lap Desks
178,2021-06-02,16598.0,Lap Desks
179,2021-06-03,16598.0,Lap Desks
180,2021-06-04,15448.0,Lap Desks
181,2021-06-05,15448.0,Lap Desks
182,2021-06-06,15034.0,Lap Desks
183,2021-06-07,12583.0,Lap Desks
184,2021-06-08,12583.0,Lap Desks
185,2021-06-09,10806.0,Lap Desks
186,2021-06-10,10806.0,Lap Desks
187,2021-06-11,11542.0,Lap Desks
188,2021-06-12,11542.0,Lap Desks
189,2021-06-13,11542.0,Lap Desks
190,2021-06-14,11542.0,Lap Desks
191,2021-06-15,11542.0,Lap Desks
192,2021-06-16,13281.0,Lap Desks
193,2021-06-17,13281.0,Lap Desks
194,2021-06-18,13281.0,Lap Desks
195,2021-06-19,11260.0,Lap Desks
196,2021-06-20,11260.0,Lap Desks
197,2021-06-21,15118.0,Lap Desks
198,2021-06-22,1203.0,Lap Desks
199,2021-06-23,1203.0,Lap Desks
200,2021-06-24,429.0,Lap Desks
201,2021-06-25,597.0,Lap Desks
202,2021-06-26,597.0,Lap Desks
203,2021-06-27,1538.0,Lap Desks
204,2021-06-28,1538.0,Lap Desks
205,2021-06-29,2724.0,Lap Desks
206,2021-06-30,4235.0,Lap Desks
207,2021-07-01,2969.0,Lap Desks
208,2021-07-02,2969.0,Lap Desks
209,2021-07-03,3038.0,Lap Desks
210,2021-07-04,3038.0,Lap Desks
211,2021-07-05,2351.0,Lap Desks
212,2021-07-06,2351.0,Lap Desks
213,2021-07-07,3160.0,Lap Desks
214,2021-07-08,2315.0,Lap Desks
215,2021-07-09,2716.0,Lap Desks
216,2021-07-10,2281.0,Lap Desks
217,2021-07-11,2061.0,Lap Desks
