,date,value,name_B08GYL7R29
0,2021-03-04,111173.0,Hammocks
1,2021-03-05,161560.0,Hammocks
2,2021-03-06,175048.0,Hammocks
3,2021-03-07,175048.0,Hammocks
4,2021-03-08,112269.0,Hammocks
5,2021-03-09,171656.0,Hammocks
6,2021-03-10,210572.0,Hammocks
7,2021-03-11,210572.0,Hammocks
8,2021-03-12,210572.0,Hammocks
9,2021-03-13,210572.0,Hammocks
10,2021-03-14,204538.0,Hammocks
11,2021-03-15,232433.0,Hammocks
12,2021-03-16,264178.0,Hammocks
13,2021-03-17,285466.0,Hammocks
14,2021-03-18,-1.0,Hammocks
15,2021-03-19,-1.0,Hammocks
16,2021-03-20,-1.0,Hammocks
17,2021-03-21,-1.0,Hammocks
18,2021-03-22,-1.0,Hammocks
19,2021-03-23,-1.0,Hammocks
20,2021-03-24,-1.0,Hammocks
21,2021-03-25,-1.0,Hammocks
22,2021-03-26,-1.0,Hammocks
23,2021-03-27,-1.0,Hammocks
24,2021-03-28,-1.0,Hammocks
25,2021-03-29,126004.0,Hammocks
26,2021-03-30,132396.0,Hammocks
27,2021-03-31,132396.0,Hammocks
28,2021-04-01,38972.0,Hammocks
29,2021-04-02,46767.0,Hammocks
30,2021-04-03,25389.0,Hammocks
31,2021-04-04,33224.0,Hammocks
32,2021-04-05,38909.0,Hammocks
33,2021-04-06,43844.0,Hammocks
34,2021-04-07,43844.0,Hammocks
35,2021-04-08,28702.0,Hammocks
36,2021-04-09,27075.0,Hammocks
37,2021-04-10,27771.0,Hammocks
38,2021-04-11,41614.0,Hammocks
39,2021-04-12,50215.0,Hammocks
40,2021-04-13,61667.0,Hammocks
41,2021-04-14,66952.0,Hammocks
42,2021-04-15,39552.0,Hammocks
43,2021-04-16,56804.0,Hammocks
44,2021-04-17,48726.0,Hammocks
45,2021-04-18,57611.0,Hammocks
46,2021-04-19,80498.0,Hammocks
47,2021-04-20,62304.0,Hammocks
48,2021-04-21,62304.0,Hammocks
49,2021-04-22,62304.0,Hammocks
50,2021-04-23,62304.0,Hammocks
51,2021-04-24,62304.0,Hammocks
52,2021-04-25,62304.0,Hammocks
53,2021-04-26,62304.0,Hammocks
54,2021-04-27,62304.0,Hammocks
55,2021-04-28,62304.0,Hammocks
56,2021-04-29,62304.0,Hammocks
57,2021-04-30,62304.0,Hammocks
58,2021-05-01,62304.0,Hammocks
59,2021-05-02,62304.0,Hammocks
60,2021-05-03,62304.0,Hammocks
61,2021-05-04,62304.0,Hammocks
62,2021-05-05,62304.0,Hammocks
63,2021-05-06,62304.0,Hammocks
64,2021-05-07,62304.0,Hammocks
65,2021-05-08,62304.0,Hammocks
66,2021-05-09,62304.0,Hammocks
67,2021-05-10,62304.0,Hammocks
68,2021-05-11,62304.0,Hammocks
69,2021-05-12,62304.0,Hammocks
70,2021-05-13,62304.0,Hammocks
71,2021-05-14,62304.0,Hammocks
72,2021-05-15,62304.0,Hammocks
73,2021-05-16,62304.0,Hammocks
74,2021-05-17,62304.0,Hammocks
75,2021-05-18,62304.0,Hammocks
76,2021-05-19,62304.0,Hammocks
77,2021-05-20,62304.0,Hammocks
78,2021-05-21,62304.0,Hammocks
79,2021-05-22,62304.0,Hammocks
80,2021-05-23,62304.0,Hammocks
81,2021-05-24,62304.0,Hammocks
82,2021-05-25,62304.0,Hammocks
83,2021-05-26,62304.0,Hammocks
84,2021-05-27,62304.0,Hammocks
85,2021-05-28,62304.0,Hammocks
86,2021-05-29,62304.0,Hammocks
87,2021-05-30,62304.0,Hammocks
88,2021-05-31,62304.0,Hammocks
89,2021-06-01,62304.0,Hammocks
90,2021-06-02,7622.0,Hammocks
91,2021-06-03,7622.0,Hammocks
92,2021-06-04,7622.0,Hammocks
93,2021-06-05,7622.0,Hammocks
94,2021-06-06,7622.0,Hammocks
95,2021-06-07,7622.0,Hammocks
96,2021-06-08,7622.0,Hammocks
97,2021-06-09,7622.0,Hammocks
98,2021-06-10,9364.0,Hammocks
99,2021-06-11,10730.0,Hammocks
100,2021-06-12,10712.0,Hammocks
101,2021-06-13,11479.0,Hammocks
102,2021-06-14,10125.0,Hammocks
103,2021-06-15,13820.0,Hammocks
104,2021-06-16,9964.0,Hammocks
105,2021-06-17,11223.0,Hammocks
106,2021-06-18,11619.0,Hammocks
107,2021-06-19,14670.0,Hammocks
108,2021-06-20,9122.0,Hammocks
109,2021-06-21,10793.0,Hammocks
110,2021-06-22,10531.0,Hammocks
111,2021-06-23,10800.0,Hammocks
112,2021-06-24,10763.0,Hammocks
113,2021-06-25,9156.0,Hammocks
114,2021-06-26,13611.0,Hammocks
115,2021-06-27,9628.0,Hammocks
116,2021-06-28,8175.0,Hammocks
117,2021-06-29,7672.0,Hammocks
118,2021-06-30,7955.0,Hammocks
119,2021-07-01,9242.0,Hammocks
120,2021-07-02,8293.0,Hammocks
121,2021-07-03,10119.0,Hammocks
122,2021-07-04,15614.0,Hammocks
123,2021-07-05,10267.0,Hammocks
124,2021-07-06,10172.0,Hammocks
125,2021-07-07,11805.0,Hammocks
126,2021-07-08,15566.0,Hammocks
127,2021-07-09,13431.0,Hammocks
