,date,value,name_B08L6BY1G3
0,2020-11-26,275964.0,Party Packs
1,2020-11-27,332046.0,Party Packs
2,2020-11-28,420416.0,Party Packs
3,2020-11-29,266739.0,Party Packs
4,2020-11-30,340425.0,Party Packs
5,2020-12-01,349959.0,Party Packs
6,2020-12-02,214212.0,Party Packs
7,2020-12-03,254751.0,Party Packs
8,2020-12-04,336403.0,Party Packs
9,2020-12-05,383610.0,Party Packs
10,2020-12-06,383610.0,Party Packs
11,2020-12-07,447310.0,Party Packs
12,2020-12-08,187850.0,Party Packs
13,2020-12-09,231422.0,Party Packs
14,2020-12-10,231422.0,Party Packs
15,2020-12-11,329617.0,Party Packs
16,2020-12-12,383838.0,Party Packs
17,2020-12-13,417609.0,Party Packs
18,2020-12-14,417609.0,Party Packs
19,2020-12-15,299419.0,Party Packs
20,2020-12-16,299419.0,Party Packs
21,2020-12-17,119670.0,Party Packs
22,2020-12-18,119670.0,Party Packs
23,2020-12-19,226857.0,Party Packs
24,2020-12-20,243999.0,Party Packs
25,2020-12-21,238674.0,Party Packs
26,2020-12-22,238674.0,Party Packs
27,2020-12-23,301578.0,Party Packs
28,2020-12-24,146764.0,Party Packs
29,2020-12-25,217219.0,Party Packs
30,2020-12-26,217219.0,Party Packs
31,2020-12-27,308831.0,Party Packs
32,2020-12-28,308831.0,Party Packs
33,2020-12-29,175937.0,Party Packs
34,2020-12-30,181633.0,Party Packs
35,2020-12-31,201636.0,Party Packs
36,2021-01-01,129849.0,Party Packs
37,2021-01-02,184549.0,Party Packs
38,2021-01-03,166296.0,Party Packs
39,2021-01-04,73330.0,Party Packs
40,2021-01-05,130047.0,Party Packs
41,2021-01-06,132067.0,Party Packs
42,2021-01-07,132067.0,Party Packs
43,2021-01-08,85486.0,Party Packs
44,2021-01-09,161890.0,Party Packs
45,2021-01-10,179362.0,Party Packs
46,2021-01-11,168968.0,Party Packs
47,2021-01-12,109629.0,Party Packs
48,2021-01-13,128314.0,Party Packs
49,2021-01-14,127681.0,Party Packs
50,2021-01-15,96806.0,Party Packs
51,2021-01-16,158624.0,Party Packs
52,2021-01-17,158624.0,Party Packs
