,date,value,name_B07BSHS3GN
122,2018-11-09,6907.0,Vertical & Wall Planters
123,2018-11-10,5826.0,Vertical & Wall Planters
124,2018-11-11,10766.0,Vertical & Wall Planters
125,2018-11-12,10766.0,Vertical & Wall Planters
126,2018-11-13,7068.0,Vertical & Wall Planters
127,2018-11-14,15093.0,Vertical & Wall Planters
128,2018-11-15,11679.0,Vertical & Wall Planters
129,2018-11-16,11710.0,Vertical & Wall Planters
130,2018-11-17,5514.0,Vertical & Wall Planters
131,2018-11-18,4993.0,Vertical & Wall Planters
132,2018-11-19,7033.0,Vertical & Wall Planters
133,2018-11-20,7033.0,Vertical & Wall Planters
134,2018-11-21,6523.0,Vertical & Wall Planters
135,2018-11-22,4352.0,Vertical & Wall Planters
136,2018-11-23,4352.0,Vertical & Wall Planters
137,2018-11-24,4352.0,Vertical & Wall Planters
138,2018-11-25,4352.0,Vertical & Wall Planters
139,2018-11-26,4352.0,Vertical & Wall Planters
140,2018-11-27,4352.0,Vertical & Wall Planters
141,2018-11-28,8280.0,Vertical & Wall Planters
142,2018-11-29,10246.0,Vertical & Wall Planters
143,2018-11-30,10246.0,Vertical & Wall Planters
144,2018-12-01,8142.0,Vertical & Wall Planters
145,2018-12-02,8142.0,Vertical & Wall Planters
146,2018-12-03,6735.0,Vertical & Wall Planters
147,2018-12-04,8856.0,Vertical & Wall Planters
148,2018-12-05,8856.0,Vertical & Wall Planters
149,2018-12-06,11519.0,Vertical & Wall Planters
150,2018-12-07,13687.0,Vertical & Wall Planters
151,2018-12-08,13687.0,Vertical & Wall Planters
152,2018-12-09,13687.0,Vertical & Wall Planters
153,2018-12-10,13687.0,Vertical & Wall Planters
154,2018-12-11,13687.0,Vertical & Wall Planters
155,2018-12-12,32954.0,Vertical & Wall Planters
156,2018-12-13,32954.0,Vertical & Wall Planters
157,2018-12-14,32954.0,Vertical & Wall Planters
158,2018-12-15,32954.0,Vertical & Wall Planters
159,2018-12-16,4746.0,Vertical & Wall Planters
160,2018-12-17,4746.0,Vertical & Wall Planters
161,2018-12-18,4746.0,Vertical & Wall Planters
162,2018-12-19,3092.0,Vertical & Wall Planters
163,2018-12-20,3092.0,Vertical & Wall Planters
164,2018-12-21,3092.0,Vertical & Wall Planters
165,2018-12-22,2820.0,Vertical & Wall Planters
166,2018-12-23,2820.0,Vertical & Wall Planters
167,2018-12-24,3283.0,Vertical & Wall Planters
168,2018-12-25,4728.0,Vertical & Wall Planters
169,2018-12-26,4728.0,Vertical & Wall Planters
170,2018-12-27,7924.0,Vertical & Wall Planters
171,2018-12-28,7924.0,Vertical & Wall Planters
172,2018-12-29,7924.0,Vertical & Wall Planters
173,2018-12-30,5641.0,Vertical & Wall Planters
174,2018-12-31,5243.0,Vertical & Wall Planters
175,2019-01-01,6548.0,Vertical & Wall Planters
176,2019-01-02,5115.0,Vertical & Wall Planters
177,2019-01-03,8439.0,Vertical & Wall Planters
178,2019-01-04,3940.0,Vertical & Wall Planters
179,2019-01-05,8511.0,Vertical & Wall Planters
180,2019-01-06,5043.0,Vertical & Wall Planters
181,2019-01-07,4752.0,Vertical & Wall Planters
182,2019-01-08,4395.0,Vertical & Wall Planters
183,2019-01-09,6105.0,Vertical & Wall Planters
184,2019-01-10,5351.0,Vertical & Wall Planters
185,2019-01-11,6603.0,Vertical & Wall Planters
186,2019-01-12,7391.0,Vertical & Wall Planters
187,2019-01-13,5990.0,Vertical & Wall Planters
188,2019-01-14,3693.0,Vertical & Wall Planters
189,2019-01-15,3693.0,Vertical & Wall Planters
190,2019-01-16,5155.0,Vertical & Wall Planters
191,2019-01-17,5155.0,Vertical & Wall Planters
192,2019-01-18,3003.0,Vertical & Wall Planters
193,2019-01-19,4398.0,Vertical & Wall Planters
194,2019-01-20,3265.0,Vertical & Wall Planters
195,2019-01-21,2894.0,Vertical & Wall Planters
196,2019-01-22,4520.0,Vertical & Wall Planters
197,2019-01-23,2772.0,Vertical & Wall Planters
198,2019-01-24,3065.0,Vertical & Wall Planters
199,2019-01-25,3183.0,Vertical & Wall Planters
200,2019-01-26,3057.0,Vertical & Wall Planters
201,2019-01-27,4069.0,Vertical & Wall Planters
202,2019-01-28,3397.0,Vertical & Wall Planters
203,2019-01-29,4050.0,Vertical & Wall Planters
204,2019-01-30,5542.0,Vertical & Wall Planters
205,2019-01-31,3476.0,Vertical & Wall Planters
206,2019-02-01,3841.0,Vertical & Wall Planters
207,2019-02-02,4155.0,Vertical & Wall Planters
208,2019-02-03,3331.0,Vertical & Wall Planters
209,2019-02-04,2743.0,Vertical & Wall Planters
210,2019-02-05,2815.0,Vertical & Wall Planters
211,2019-02-06,5047.0,Vertical & Wall Planters
212,2019-02-07,4934.0,Vertical & Wall Planters
213,2019-02-08,3896.0,Vertical & Wall Planters
214,2019-02-09,3896.0,Vertical & Wall Planters
215,2019-02-10,3896.0,Vertical & Wall Planters
216,2019-02-11,5960.0,Vertical & Wall Planters
217,2019-02-12,9183.0,Vertical & Wall Planters
218,2019-02-13,9183.0,Vertical & Wall Planters
219,2019-02-14,17886.0,Vertical & Wall Planters
220,2019-02-15,17886.0,Vertical & Wall Planters
221,2019-02-16,17886.0,Vertical & Wall Planters
222,2019-02-17,11150.0,Vertical & Wall Planters
223,2019-02-18,11150.0,Vertical & Wall Planters
224,2019-02-19,10879.0,Vertical & Wall Planters
225,2019-02-20,10879.0,Vertical & Wall Planters
226,2019-02-21,7313.0,Vertical & Wall Planters
227,2019-02-22,7313.0,Vertical & Wall Planters
228,2019-02-23,7313.0,Vertical & Wall Planters
229,2019-02-24,2642.0,Vertical & Wall Planters
230,2019-02-25,3018.0,Vertical & Wall Planters
231,2019-02-26,5302.0,Vertical & Wall Planters
232,2019-02-27,5302.0,Vertical & Wall Planters
233,2019-02-28,3634.0,Vertical & Wall Planters
234,2019-03-01,2163.0,Vertical & Wall Planters
235,2019-03-02,2583.0,Vertical & Wall Planters
236,2019-03-03,2185.0,Vertical & Wall Planters
237,2019-03-04,1692.0,Vertical & Wall Planters
238,2019-03-05,1462.0,Vertical & Wall Planters
239,2019-03-06,1462.0,Vertical & Wall Planters
240,2019-03-07,1462.0,Vertical & Wall Planters
241,2019-03-08,1994.0,Vertical & Wall Planters
242,2019-03-09,1994.0,Vertical & Wall Planters
243,2019-03-10,1543.0,Vertical & Wall Planters
244,2019-03-11,1634.0,Vertical & Wall Planters
245,2019-03-12,1634.0,Vertical & Wall Planters
246,2019-03-13,1634.0,Vertical & Wall Planters
247,2019-03-14,1634.0,Vertical & Wall Planters
248,2019-03-15,1634.0,Vertical & Wall Planters
249,2019-03-16,1634.0,Vertical & Wall Planters
250,2019-03-17,1634.0,Vertical & Wall Planters
251,2019-03-18,1311.0,Vertical & Wall Planters
252,2019-03-19,1253.0,Vertical & Wall Planters
253,2019-03-20,1683.0,Vertical & Wall Planters
254,2019-03-21,1886.0,Vertical & Wall Planters
