,date,value,name_B087RFHG9M
0,2020-05-01,16653.0,Garden Stakes
1,2020-05-02,16653.0,Garden Stakes
2,2020-05-03,16653.0,Garden Stakes
3,2020-05-04,16653.0,Garden Stakes
4,2020-05-05,78035.0,Garden Stakes
5,2020-05-06,91001.0,Garden Stakes
6,2020-05-07,91001.0,Garden Stakes
7,2020-05-08,73297.0,Garden Stakes
8,2020-05-09,73297.0,Garden Stakes
9,2020-05-10,73297.0,Garden Stakes
10,2020-05-11,26378.0,Garden Stakes
11,2020-05-12,26378.0,Garden Stakes
12,2020-05-13,26378.0,Garden Stakes
13,2020-05-14,26378.0,Garden Stakes
14,2020-05-15,26378.0,Garden Stakes
15,2020-05-16,26378.0,Garden Stakes
16,2020-05-17,6051.0,Garden Stakes
17,2020-05-18,7199.0,Garden Stakes
18,2020-05-19,10146.0,Garden Stakes
19,2020-05-20,11169.0,Garden Stakes
20,2020-05-21,14397.0,Garden Stakes
21,2020-05-22,14397.0,Garden Stakes
22,2020-05-23,14397.0,Garden Stakes
23,2020-05-24,14397.0,Garden Stakes
24,2020-05-25,10449.0,Garden Stakes
25,2020-05-26,10449.0,Garden Stakes
26,2020-05-27,12675.0,Garden Stakes
27,2020-05-28,14653.0,Garden Stakes
28,2020-05-29,14653.0,Garden Stakes
29,2020-05-30,14402.0,Garden Stakes
30,2020-05-31,14402.0,Garden Stakes
31,2020-06-01,14402.0,Garden Stakes
32,2020-06-02,14402.0,Garden Stakes
33,2020-06-03,9013.0,Garden Stakes
34,2020-06-04,9013.0,Garden Stakes
35,2020-06-05,9013.0,Garden Stakes
36,2020-06-06,6497.0,Garden Stakes
37,2020-06-07,5126.0,Garden Stakes
38,2020-06-08,4784.0,Garden Stakes
39,2020-06-09,6509.0,Garden Stakes
40,2020-06-10,6509.0,Garden Stakes
41,2020-06-11,6762.0,Garden Stakes
42,2020-06-12,6762.0,Garden Stakes
43,2020-06-13,4623.0,Garden Stakes
44,2020-06-14,4623.0,Garden Stakes
45,2020-06-15,4623.0,Garden Stakes
46,2020-06-16,3398.0,Garden Stakes
47,2020-06-17,4488.0,Garden Stakes
48,2020-06-18,6214.0,Garden Stakes
49,2020-06-19,6214.0,Garden Stakes
50,2020-06-20,6214.0,Garden Stakes
51,2020-06-21,6749.0,Garden Stakes
52,2020-06-22,5622.0,Garden Stakes
53,2020-06-23,6828.0,Garden Stakes
54,2020-06-24,6828.0,Garden Stakes
55,2020-06-25,6828.0,Garden Stakes
56,2020-06-26,6828.0,Garden Stakes
57,2020-06-27,6828.0,Garden Stakes
58,2020-06-28,6828.0,Garden Stakes
59,2020-06-29,4721.0,Garden Stakes
60,2020-06-30,4721.0,Garden Stakes
61,2020-07-01,4721.0,Garden Stakes
62,2020-07-02,6170.0,Garden Stakes
63,2020-07-03,6170.0,Garden Stakes
64,2020-07-04,6661.0,Garden Stakes
65,2020-07-05,6661.0,Garden Stakes
66,2020-07-06,6661.0,Garden Stakes
67,2020-07-07,9483.0,Garden Stakes
68,2020-07-08,7536.0,Garden Stakes
69,2020-07-09,7536.0,Garden Stakes
70,2020-07-10,7536.0,Garden Stakes
71,2020-07-11,7514.0,Garden Stakes
72,2020-07-12,7514.0,Garden Stakes
73,2020-07-13,7514.0,Garden Stakes
