,date,value,name_B08YJ5SH23
0,2021-03-30,965.0,Garden Stakes
1,2021-03-31,939.0,Garden Stakes
2,2021-04-01,964.0,Garden Stakes
3,2021-04-02,1005.0,Garden Stakes
4,2021-04-03,785.0,Garden Stakes
5,2021-04-04,1020.0,Garden Stakes
6,2021-04-05,1266.0,Garden Stakes
7,2021-04-06,1097.0,Garden Stakes
8,2021-04-07,994.0,Garden Stakes
9,2021-04-08,901.0,Garden Stakes
10,2021-04-09,1064.0,Garden Stakes
11,2021-04-10,1030.0,Garden Stakes
12,2021-04-11,919.0,Garden Stakes
13,2021-04-12,1097.0,Garden Stakes
14,2021-04-13,882.0,Garden Stakes
15,2021-04-14,882.0,Garden Stakes
16,2021-04-15,865.0,Garden Stakes
17,2021-04-16,865.0,Garden Stakes
18,2021-04-17,865.0,Garden Stakes
19,2021-04-18,865.0,Garden Stakes
20,2021-04-19,2597.0,Garden Stakes
21,2021-04-20,2597.0,Garden Stakes
22,2021-04-21,2597.0,Garden Stakes
23,2021-04-22,2597.0,Garden Stakes
24,2021-04-23,3444.0,Garden Stakes
25,2021-04-24,3444.0,Garden Stakes
26,2021-04-25,3444.0,Garden Stakes
27,2021-04-26,3420.0,Garden Stakes
28,2021-04-27,1293.0,Garden Stakes
29,2021-04-28,1293.0,Garden Stakes
30,2021-04-29,1039.0,Garden Stakes
31,2021-04-30,1039.0,Garden Stakes
32,2021-05-01,1039.0,Garden Stakes
33,2021-05-02,1146.0,Garden Stakes
34,2021-05-03,787.0,Garden Stakes
35,2021-05-04,787.0,Garden Stakes
36,2021-05-05,1103.0,Garden Stakes
37,2021-05-06,1180.0,Garden Stakes
38,2021-05-07,1180.0,Garden Stakes
39,2021-05-08,1180.0,Garden Stakes
40,2021-05-09,1291.0,Garden Stakes
41,2021-05-10,1276.0,Garden Stakes
42,2021-05-11,1076.0,Garden Stakes
43,2021-05-12,884.0,Garden Stakes
44,2021-05-13,941.0,Garden Stakes
45,2021-05-14,730.0,Garden Stakes
46,2021-05-15,991.0,Garden Stakes
47,2021-05-16,991.0,Garden Stakes
48,2021-05-17,991.0,Garden Stakes
49,2021-05-18,991.0,Garden Stakes
50,2021-05-19,991.0,Garden Stakes
51,2021-05-20,742.0,Garden Stakes
52,2021-05-21,803.0,Garden Stakes
53,2021-05-22,867.0,Garden Stakes
54,2021-05-23,795.0,Garden Stakes
55,2021-05-24,628.0,Garden Stakes
56,2021-05-25,622.0,Garden Stakes
57,2021-05-26,540.0,Garden Stakes
58,2021-05-27,630.0,Garden Stakes
59,2021-05-28,540.0,Garden Stakes
60,2021-05-29,648.0,Garden Stakes
61,2021-05-30,639.0,Garden Stakes
62,2021-05-31,505.0,Garden Stakes
63,2021-06-01,295.0,Garden Stakes
64,2021-06-02,237.0,Garden Stakes
65,2021-06-03,15327.0,Garden Stakes
66,2021-06-04,191.0,Garden Stakes
67,2021-06-05,199.0,Garden Stakes
68,2021-06-06,187.0,Garden Stakes
69,2021-06-07,157.0,Garden Stakes
70,2021-06-08,201.0,Garden Stakes
71,2021-06-09,231.0,Garden Stakes
72,2021-06-10,280.0,Garden Stakes
73,2021-06-11,302.0,Garden Stakes
74,2021-06-12,358.0,Garden Stakes
75,2021-06-13,363.0,Garden Stakes
76,2021-06-14,453.0,Garden Stakes
77,2021-06-15,485.0,Garden Stakes
78,2021-06-16,680.0,Garden Stakes
79,2021-06-17,860.0,Garden Stakes
80,2021-06-18,860.0,Garden Stakes
81,2021-06-19,981.0,Garden Stakes
82,2021-06-20,981.0,Garden Stakes
83,2021-06-21,979.0,Garden Stakes
84,2021-06-22,1539.0,Garden Stakes
85,2021-06-23,1539.0,Garden Stakes
86,2021-06-24,1539.0,Garden Stakes
87,2021-06-25,220956.0,Garden Stakes
88,2021-06-26,220956.0,Garden Stakes
89,2021-06-27,220956.0,Garden Stakes
90,2021-06-28,220956.0,Garden Stakes
91,2021-06-29,220956.0,Garden Stakes
92,2021-06-30,220956.0,Garden Stakes
93,2021-07-01,220956.0,Garden Stakes
94,2021-07-02,251255.0,Garden Stakes
95,2021-07-03,251255.0,Garden Stakes
96,2021-07-04,255523.0,Garden Stakes
97,2021-07-05,140249.0,Garden Stakes
98,2021-07-06,200004.0,Garden Stakes
99,2021-07-07,226155.0,Garden Stakes
100,2021-07-08,156732.0,Garden Stakes
101,2021-07-09,191575.0,Garden Stakes
