,date,value,name_B07PRWM7P8
0,2019-03-22,46162.0,Quilt Sets
1,2019-03-23,22634.0,Quilt Sets
2,2019-03-24,24847.0,Quilt Sets
3,2019-03-25,34863.0,Quilt Sets
4,2019-03-26,34863.0,Quilt Sets
5,2019-03-27,31189.0,Quilt Sets
6,2019-03-28,31189.0,Quilt Sets
7,2019-03-29,21202.0,Quilt Sets
8,2019-03-30,18284.0,Quilt Sets
9,2019-03-31,19411.0,Quilt Sets
10,2019-04-01,24075.0,Quilt Sets
11,2019-04-02,24075.0,Quilt Sets
12,2019-04-03,21773.0,Quilt Sets
13,2019-04-04,21773.0,Quilt Sets
14,2019-04-05,21141.0,Quilt Sets
15,2019-04-06,21141.0,Quilt Sets
16,2019-04-07,21141.0,Quilt Sets
17,2019-04-08,21141.0,Quilt Sets
18,2019-04-09,26411.0,Quilt Sets
19,2019-04-10,23055.0,Quilt Sets
20,2019-04-11,23055.0,Quilt Sets
21,2019-04-12,23055.0,Quilt Sets
22,2019-04-13,23055.0,Quilt Sets
23,2019-04-14,28511.0,Quilt Sets
24,2019-04-15,28511.0,Quilt Sets
25,2019-04-16,31309.0,Quilt Sets
26,2019-04-17,31309.0,Quilt Sets
27,2019-04-18,31309.0,Quilt Sets
28,2019-04-19,31309.0,Quilt Sets
29,2019-04-20,31309.0,Quilt Sets
30,2019-04-21,17853.0,Quilt Sets
31,2019-04-22,17853.0,Quilt Sets
32,2019-04-23,23371.0,Quilt Sets
33,2019-04-24,25297.0,Quilt Sets
34,2019-04-25,25297.0,Quilt Sets
35,2019-04-26,23704.0,Quilt Sets
36,2019-04-27,23704.0,Quilt Sets
37,2019-04-28,16419.0,Quilt Sets
38,2019-04-29,23472.0,Quilt Sets
39,2019-04-30,23472.0,Quilt Sets
40,2019-05-01,23472.0,Quilt Sets
41,2019-05-02,23472.0,Quilt Sets
42,2019-05-03,23096.0,Quilt Sets
43,2019-05-04,20674.0,Quilt Sets
44,2019-05-05,17730.0,Quilt Sets
45,2019-05-06,17730.0,Quilt Sets
46,2019-05-07,17730.0,Quilt Sets
47,2019-05-08,17128.0,Quilt Sets
48,2019-05-09,17128.0,Quilt Sets
49,2019-05-10,22184.0,Quilt Sets
50,2019-05-11,21712.0,Quilt Sets
51,2019-05-12,21792.0,Quilt Sets
52,2019-05-13,17947.0,Quilt Sets
53,2019-05-14,22664.0,Quilt Sets
54,2019-05-15,22664.0,Quilt Sets
55,2019-05-16,22664.0,Quilt Sets
56,2019-05-17,22734.0,Quilt Sets
57,2019-05-18,25006.0,Quilt Sets
58,2019-05-19,19916.0,Quilt Sets
59,2019-05-20,30913.0,Quilt Sets
60,2019-05-21,26659.0,Quilt Sets
61,2019-05-22,28595.0,Quilt Sets
62,2019-05-23,24541.0,Quilt Sets
63,2019-05-24,21543.0,Quilt Sets
64,2019-05-25,20338.0,Quilt Sets
65,2019-05-26,18602.0,Quilt Sets
66,2019-05-27,17613.0,Quilt Sets
67,2019-05-28,17163.0,Quilt Sets
68,2019-05-29,17287.0,Quilt Sets
69,2019-05-30,23981.0,Quilt Sets
70,2019-05-31,15477.0,Quilt Sets
71,2019-06-01,16299.0,Quilt Sets
72,2019-06-02,18646.0,Quilt Sets
73,2019-06-03,22824.0,Quilt Sets
74,2019-06-04,29658.0,Quilt Sets
75,2019-06-05,25100.0,Quilt Sets
76,2019-06-06,23246.0,Quilt Sets
77,2019-06-07,21921.0,Quilt Sets
78,2019-06-08,17418.0,Quilt Sets
79,2019-06-09,20744.0,Quilt Sets
80,2019-06-10,22975.0,Quilt Sets
81,2019-06-11,17189.0,Quilt Sets
82,2019-06-12,18214.0,Quilt Sets
83,2019-06-13,26215.0,Quilt Sets
84,2019-06-14,24060.0,Quilt Sets
85,2019-06-15,22486.0,Quilt Sets
86,2019-06-16,26093.0,Quilt Sets
87,2019-06-17,23851.0,Quilt Sets
88,2019-06-18,20147.0,Quilt Sets
89,2019-06-19,19721.0,Quilt Sets
90,2019-06-20,18719.0,Quilt Sets
91,2019-06-21,20282.0,Quilt Sets
92,2019-06-22,17540.0,Quilt Sets
93,2019-06-23,21908.0,Quilt Sets
94,2019-06-24,18478.0,Quilt Sets
95,2019-06-25,21023.0,Quilt Sets
96,2019-06-26,16498.0,Quilt Sets
97,2019-06-27,19236.0,Quilt Sets
98,2019-06-28,21220.0,Quilt Sets
99,2019-06-29,22779.0,Quilt Sets
100,2019-06-30,22779.0,Quilt Sets
101,2019-07-01,26669.0,Quilt Sets
102,2019-07-02,29118.0,Quilt Sets
103,2019-07-03,16977.0,Quilt Sets
104,2019-07-04,24575.0,Quilt Sets
105,2019-07-05,28780.0,Quilt Sets
106,2019-07-06,24802.0,Quilt Sets
107,2019-07-07,23261.0,Quilt Sets
108,2019-07-08,17628.0,Quilt Sets
109,2019-07-09,16738.0,Quilt Sets
110,2019-07-10,21839.0,Quilt Sets
111,2019-07-11,22052.0,Quilt Sets
112,2019-07-12,26109.0,Quilt Sets
113,2019-07-13,29722.0,Quilt Sets
114,2019-07-14,15510.0,Quilt Sets
115,2019-07-15,19190.0,Quilt Sets
116,2019-07-16,20871.0,Quilt Sets
117,2019-07-17,22686.0,Quilt Sets
118,2019-07-18,26127.0,Quilt Sets
119,2019-07-19,24167.0,Quilt Sets
120,2019-07-20,28166.0,Quilt Sets
121,2019-07-21,33051.0,Quilt Sets
122,2019-07-22,30715.0,Quilt Sets
123,2019-07-23,31314.0,Quilt Sets
124,2019-07-24,32916.0,Quilt Sets
125,2019-07-25,30605.0,Quilt Sets
126,2019-07-26,30605.0,Quilt Sets
127,2019-07-27,30293.0,Quilt Sets
128,2019-07-28,22857.0,Quilt Sets
129,2019-07-29,26759.0,Quilt Sets
130,2019-07-30,32184.0,Quilt Sets
131,2019-07-31,34720.0,Quilt Sets
132,2019-08-01,43418.0,Quilt Sets
133,2019-08-02,36278.0,Quilt Sets
