,date,value,name_B08SH51QCX
0,2021-01-12,12658.0,Coat Hooks
1,2021-01-13,14859.0,Coat Hooks
2,2021-01-14,14859.0,Coat Hooks
3,2021-01-15,14859.0,Coat Hooks
4,2021-01-16,14859.0,Coat Hooks
5,2021-01-17,14859.0,Coat Hooks
6,2021-01-18,14859.0,Coat Hooks
7,2021-01-19,14859.0,Coat Hooks
8,2021-01-20,14859.0,Coat Hooks
9,2021-01-21,14859.0,Coat Hooks
10,2021-01-22,14859.0,Coat Hooks
11,2021-01-23,14859.0,Coat Hooks
12,2021-01-24,14859.0,Coat Hooks
13,2021-01-25,14859.0,Coat Hooks
14,2021-01-26,14859.0,Coat Hooks
15,2021-01-27,14859.0,Coat Hooks
16,2021-01-28,14859.0,Coat Hooks
17,2021-01-29,14859.0,Coat Hooks
18,2021-01-30,14859.0,Coat Hooks
19,2021-01-31,14859.0,Coat Hooks
20,2021-02-01,14859.0,Coat Hooks
21,2021-02-02,14859.0,Coat Hooks
22,2021-02-03,14859.0,Coat Hooks
23,2021-02-04,14859.0,Coat Hooks
24,2021-02-05,14859.0,Coat Hooks
25,2021-02-06,46269.0,Coat Hooks
26,2021-02-07,46269.0,Coat Hooks
27,2021-02-08,98598.0,Coat Hooks
28,2021-02-09,98598.0,Coat Hooks
29,2021-02-10,98598.0,Coat Hooks
30,2021-02-11,98598.0,Coat Hooks
31,2021-02-12,98598.0,Coat Hooks
32,2021-02-13,98598.0,Coat Hooks
33,2021-02-14,98598.0,Coat Hooks
34,2021-02-15,98598.0,Coat Hooks
35,2021-02-16,98598.0,Coat Hooks
36,2021-02-17,98598.0,Coat Hooks
37,2021-02-18,254412.0,Coat Hooks
38,2021-02-19,323373.0,Coat Hooks
39,2021-02-20,323373.0,Coat Hooks
40,2021-02-21,323373.0,Coat Hooks
41,2021-02-22,410374.0,Coat Hooks
42,2021-02-23,417520.0,Coat Hooks
43,2021-02-24,387116.0,Coat Hooks
44,2021-02-25,387116.0,Coat Hooks
45,2021-02-26,335789.0,Coat Hooks
46,2021-02-27,335789.0,Coat Hooks
47,2021-02-28,335789.0,Coat Hooks
48,2021-03-01,335789.0,Coat Hooks
49,2021-03-02,335789.0,Coat Hooks
50,2021-03-03,357834.0,Coat Hooks
51,2021-03-04,310506.0,Coat Hooks
52,2021-03-05,310506.0,Coat Hooks
53,2021-03-06,453297.0,Coat Hooks
54,2021-03-07,453297.0,Coat Hooks
55,2021-03-08,453297.0,Coat Hooks
56,2021-03-09,415474.0,Coat Hooks
57,2021-03-10,415474.0,Coat Hooks
58,2021-03-11,415474.0,Coat Hooks
59,2021-03-12,358225.0,Coat Hooks
60,2021-03-13,358225.0,Coat Hooks
