,date,value,name_B08HHTMB56
0,2020-09-10,4704.0,Garden Netting
1,2020-09-11,4704.0,Garden Netting
2,2020-09-12,1749.0,Garden Netting
3,2020-09-13,2016.0,Garden Netting
4,2020-09-14,3866.0,Garden Netting
5,2020-09-15,3866.0,Garden Netting
6,2020-09-16,2583.0,Garden Netting
7,2020-09-17,2583.0,Garden Netting
8,2020-09-18,2583.0,Garden Netting
9,2020-09-19,2583.0,Garden Netting
10,2020-09-20,2583.0,Garden Netting
11,2020-09-21,3972.0,Garden Netting
12,2020-09-22,3972.0,Garden Netting
13,2020-09-23,3972.0,Garden Netting
14,2020-09-24,3593.0,Garden Netting
15,2020-09-25,3593.0,Garden Netting
16,2020-09-26,3593.0,Garden Netting
17,2020-09-27,3464.0,Garden Netting
18,2020-09-28,3464.0,Garden Netting
19,2020-09-29,2370.0,Garden Netting
20,2020-09-30,3340.0,Garden Netting
21,2020-10-01,3340.0,Garden Netting
22,2020-10-02,3681.0,Garden Netting
23,2020-10-03,3329.0,Garden Netting
24,2020-10-04,3329.0,Garden Netting
25,2020-10-05,4320.0,Garden Netting
26,2020-10-06,4320.0,Garden Netting
27,2020-10-07,6028.0,Garden Netting
28,2020-10-08,6500.0,Garden Netting
29,2020-10-09,5395.0,Garden Netting
30,2020-10-10,4435.0,Garden Netting
31,2020-10-11,5207.0,Garden Netting
32,2020-10-12,5207.0,Garden Netting
33,2020-10-13,5207.0,Garden Netting
34,2020-10-14,1683.0,Garden Netting
35,2020-10-15,1683.0,Garden Netting
36,2020-10-16,1683.0,Garden Netting
37,2020-10-17,3011.0,Garden Netting
38,2020-10-18,3011.0,Garden Netting
39,2020-10-19,3011.0,Garden Netting
40,2020-10-20,3454.0,Garden Netting
41,2020-10-21,2974.0,Garden Netting
42,2020-10-22,2974.0,Garden Netting
43,2020-10-23,2974.0,Garden Netting
44,2020-10-24,2974.0,Garden Netting
45,2020-10-25,3455.0,Garden Netting
46,2020-10-26,3455.0,Garden Netting
47,2020-10-27,3455.0,Garden Netting
48,2020-10-28,3455.0,Garden Netting
49,2020-10-29,3519.0,Garden Netting
50,2020-10-30,3519.0,Garden Netting
51,2020-10-31,3519.0,Garden Netting
52,2020-11-01,4749.0,Garden Netting
53,2020-11-02,4749.0,Garden Netting
54,2020-11-03,4749.0,Garden Netting
55,2020-11-04,4417.0,Garden Netting
56,2020-11-05,4417.0,Garden Netting
57,2020-11-06,4417.0,Garden Netting
58,2020-11-07,3475.0,Garden Netting
59,2020-11-08,3475.0,Garden Netting
60,2020-11-09,3475.0,Garden Netting
61,2020-11-10,5971.0,Garden Netting
62,2020-11-11,6542.0,Garden Netting
63,2020-11-12,5054.0,Garden Netting
64,2020-11-13,5054.0,Garden Netting
65,2020-11-14,5539.0,Garden Netting
66,2020-11-15,5539.0,Garden Netting
67,2020-11-16,5539.0,Garden Netting
68,2020-11-17,4595.0,Garden Netting
69,2020-11-18,1777.0,Garden Netting
70,2020-11-19,3809.0,Garden Netting
71,2020-11-20,3809.0,Garden Netting
72,2020-11-21,3809.0,Garden Netting
73,2020-11-22,3809.0,Garden Netting
74,2020-11-23,6313.0,Garden Netting
75,2020-11-24,6313.0,Garden Netting
76,2020-11-25,4464.0,Garden Netting
77,2020-11-26,4018.0,Garden Netting
78,2020-11-27,4018.0,Garden Netting
79,2020-11-28,4018.0,Garden Netting
80,2020-11-29,2390.0,Garden Netting
81,2020-11-30,2390.0,Garden Netting
82,2020-12-01,7567.0,Garden Netting
83,2020-12-02,8784.0,Garden Netting
84,2020-12-03,8784.0,Garden Netting
85,2020-12-04,6559.0,Garden Netting
86,2020-12-05,6945.0,Garden Netting
87,2020-12-06,7302.0,Garden Netting
88,2020-12-07,7727.0,Garden Netting
89,2020-12-08,7074.0,Garden Netting
90,2020-12-09,7721.0,Garden Netting
91,2020-12-10,8143.0,Garden Netting
92,2020-12-11,7987.0,Garden Netting
93,2020-12-12,10819.0,Garden Netting
94,2020-12-13,13888.0,Garden Netting
95,2020-12-14,7819.0,Garden Netting
96,2020-12-15,5841.0,Garden Netting
97,2020-12-16,10752.0,Garden Netting
98,2020-12-17,8973.0,Garden Netting
99,2020-12-18,9877.0,Garden Netting
100,2020-12-19,9877.0,Garden Netting
101,2020-12-20,10502.0,Garden Netting
102,2020-12-21,8042.0,Garden Netting
103,2020-12-22,5581.0,Garden Netting
104,2020-12-23,6554.0,Garden Netting
105,2020-12-24,7259.0,Garden Netting
106,2020-12-25,7993.0,Garden Netting
107,2020-12-26,6852.0,Garden Netting
108,2020-12-27,6702.0,Garden Netting
109,2020-12-28,6853.0,Garden Netting
110,2020-12-29,6558.0,Garden Netting
111,2020-12-30,5918.0,Garden Netting
112,2020-12-31,5998.0,Garden Netting
113,2021-01-01,7656.0,Garden Netting
114,2021-01-02,9257.0,Garden Netting
115,2021-01-03,5250.0,Garden Netting
116,2021-01-04,5762.0,Garden Netting
117,2021-01-05,7312.0,Garden Netting
118,2021-01-06,7145.0,Garden Netting
119,2021-01-07,8712.0,Garden Netting
120,2021-01-08,5527.0,Garden Netting
121,2021-01-09,5527.0,Garden Netting
122,2021-01-10,5527.0,Garden Netting
123,2021-01-11,5527.0,Garden Netting
124,2021-01-12,4493.0,Garden Netting
125,2021-01-13,4493.0,Garden Netting
126,2021-01-14,4493.0,Garden Netting
127,2021-01-15,6264.0,Garden Netting
128,2021-01-16,6264.0,Garden Netting
129,2021-01-17,6264.0,Garden Netting
130,2021-01-18,5402.0,Garden Netting
131,2021-01-19,5402.0,Garden Netting
132,2021-01-20,5402.0,Garden Netting
133,2021-01-21,4257.0,Garden Netting
134,2021-01-22,4257.0,Garden Netting
135,2021-01-23,4257.0,Garden Netting
136,2021-01-24,5140.0,Garden Netting
137,2021-01-25,5140.0,Garden Netting
138,2021-01-26,5140.0,Garden Netting
139,2021-01-27,3196.0,Garden Netting
140,2021-01-28,3196.0,Garden Netting
141,2021-01-29,3196.0,Garden Netting
142,2021-01-30,4249.0,Garden Netting
143,2021-01-31,4249.0,Garden Netting
144,2021-02-01,4833.0,Garden Netting
145,2021-02-02,5215.0,Garden Netting
146,2021-02-03,5215.0,Garden Netting
147,2021-02-04,5888.0,Garden Netting
148,2021-02-05,5888.0,Garden Netting
149,2021-02-06,5888.0,Garden Netting
150,2021-02-07,5888.0,Garden Netting
151,2021-02-08,3378.0,Garden Netting
152,2021-02-09,3378.0,Garden Netting
153,2021-02-10,6420.0,Garden Netting
154,2021-02-11,6420.0,Garden Netting
155,2021-02-12,6420.0,Garden Netting
156,2021-02-13,6502.0,Garden Netting
157,2021-02-14,6502.0,Garden Netting
158,2021-02-15,4642.0,Garden Netting
159,2021-02-16,4642.0,Garden Netting
160,2021-02-17,4642.0,Garden Netting
161,2021-02-18,3248.0,Garden Netting
162,2021-02-19,3810.0,Garden Netting
163,2021-02-20,3810.0,Garden Netting
164,2021-02-21,4238.0,Garden Netting
165,2021-02-22,4238.0,Garden Netting
166,2021-02-23,4238.0,Garden Netting
167,2021-02-24,4747.0,Garden Netting
168,2021-02-25,4747.0,Garden Netting
169,2021-02-26,5126.0,Garden Netting
170,2021-02-27,4582.0,Garden Netting
171,2021-02-28,4467.0,Garden Netting
172,2021-03-01,4213.0,Garden Netting
173,2021-03-02,4252.0,Garden Netting
174,2021-03-03,4252.0,Garden Netting
175,2021-03-04,3840.0,Garden Netting
176,2021-03-05,3840.0,Garden Netting
177,2021-03-06,3840.0,Garden Netting
178,2021-03-07,2943.0,Garden Netting
179,2021-03-08,2943.0,Garden Netting
180,2021-03-09,2943.0,Garden Netting
181,2021-03-10,2704.0,Garden Netting
182,2021-03-11,2704.0,Garden Netting
183,2021-03-12,2704.0,Garden Netting
184,2021-03-13,2458.0,Garden Netting
185,2021-03-14,2458.0,Garden Netting
186,2021-03-15,2458.0,Garden Netting
187,2021-03-16,2416.0,Garden Netting
188,2021-03-17,2416.0,Garden Netting
189,2021-03-18,2285.0,Garden Netting
190,2021-03-19,2117.0,Garden Netting
191,2021-03-20,2021.0,Garden Netting
192,2021-03-21,2021.0,Garden Netting
193,2021-03-22,2021.0,Garden Netting
194,2021-03-23,1458.0,Garden Netting
195,2021-03-24,1644.0,Garden Netting
196,2021-03-25,1644.0,Garden Netting
197,2021-03-26,1644.0,Garden Netting
198,2021-03-27,1923.0,Garden Netting
199,2021-03-28,1923.0,Garden Netting
200,2021-03-29,2013.0,Garden Netting
201,2021-03-30,2013.0,Garden Netting
202,2021-03-31,2013.0,Garden Netting
203,2021-04-01,2257.0,Garden Netting
204,2021-04-02,2257.0,Garden Netting
205,2021-04-03,2416.0,Garden Netting
206,2021-04-04,2638.0,Garden Netting
207,2021-04-05,2638.0,Garden Netting
208,2021-04-06,2638.0,Garden Netting
