,date,value,name_B086L6GM4L
0,2020-06-24,138038.0,Valances
1,2020-06-25,138038.0,Valances
2,2020-06-26,138038.0,Valances
3,2020-06-27,138038.0,Valances
4,2020-06-28,138038.0,Valances
5,2020-06-29,138038.0,Valances
6,2020-06-30,138038.0,Valances
7,2020-07-01,138038.0,Valances
8,2020-07-02,102851.0,Valances
9,2020-07-03,102851.0,Valances
10,2020-07-04,102851.0,Valances
11,2020-07-05,102851.0,Valances
12,2020-07-06,102851.0,Valances
13,2020-07-07,102851.0,Valances
14,2020-07-08,102851.0,Valances
15,2020-07-09,102851.0,Valances
16,2020-07-10,102851.0,Valances
17,2020-07-11,102851.0,Valances
18,2020-07-12,102851.0,Valances
19,2020-07-13,102851.0,Valances
20,2020-07-14,102851.0,Valances
21,2020-07-15,102851.0,Valances
22,2020-07-16,102851.0,Valances
23,2020-07-17,195332.0,Valances
24,2020-07-18,195332.0,Valances
25,2020-07-19,195332.0,Valances
26,2020-07-20,195332.0,Valances
27,2020-07-21,195332.0,Valances
28,2020-07-22,195332.0,Valances
29,2020-07-23,195332.0,Valances
30,2020-07-24,195332.0,Valances
31,2020-07-25,195332.0,Valances
32,2020-07-26,195332.0,Valances
33,2020-07-27,195332.0,Valances
34,2020-07-28,195332.0,Valances
35,2020-07-29,195332.0,Valances
36,2020-07-30,195332.0,Valances
37,2020-07-31,195332.0,Valances
38,2020-08-01,195332.0,Valances
39,2020-08-02,195332.0,Valances
40,2020-08-03,90461.0,Valances
41,2020-08-04,90461.0,Valances
42,2020-08-05,90461.0,Valances
43,2020-08-06,90461.0,Valances
44,2020-08-07,90461.0,Valances
45,2020-08-08,90461.0,Valances
46,2020-08-09,90461.0,Valances
47,2020-08-10,90461.0,Valances
48,2020-08-11,77264.0,Valances
49,2020-08-12,77264.0,Valances
50,2020-08-13,77264.0,Valances
51,2020-08-14,77264.0,Valances
52,2020-08-15,77264.0,Valances
53,2020-08-16,77264.0,Valances
54,2020-08-17,123523.0,Valances
55,2020-08-18,123523.0,Valances
56,2020-08-19,123523.0,Valances
57,2020-08-20,76436.0,Valances
58,2020-08-21,76436.0,Valances
59,2020-08-22,76436.0,Valances
60,2020-08-23,55814.0,Valances
61,2020-08-24,55814.0,Valances
62,2020-08-25,55814.0,Valances
63,2020-08-26,55814.0,Valances
64,2020-08-27,55814.0,Valances
65,2020-08-28,57562.0,Valances
66,2020-08-29,57562.0,Valances
67,2020-08-30,57562.0,Valances
68,2020-08-31,54395.0,Valances
69,2020-09-01,54395.0,Valances
70,2020-09-02,54395.0,Valances
71,2020-09-03,54395.0,Valances
72,2020-09-04,54395.0,Valances
73,2020-09-05,54805.0,Valances
74,2020-09-06,54805.0,Valances
75,2020-09-07,54805.0,Valances
76,2020-09-08,74431.0,Valances
77,2020-09-09,73482.0,Valances
78,2020-09-10,73482.0,Valances
79,2020-09-11,73482.0,Valances
80,2020-09-12,73482.0,Valances
81,2020-09-13,73482.0,Valances
82,2020-09-14,73482.0,Valances
83,2020-09-15,73482.0,Valances
84,2020-09-16,44811.0,Valances
85,2020-09-17,44811.0,Valances
86,2020-09-18,44811.0,Valances
87,2020-09-19,44811.0,Valances
88,2020-09-20,44811.0,Valances
89,2020-09-21,44811.0,Valances
90,2020-09-22,41587.0,Valances
91,2020-09-23,41587.0,Valances
92,2020-09-24,36467.0,Valances
93,2020-09-25,36467.0,Valances
94,2020-09-26,36467.0,Valances
95,2020-09-27,36467.0,Valances
96,2020-09-28,32349.0,Valances
97,2020-09-29,32349.0,Valances
98,2020-09-30,32349.0,Valances
99,2020-10-01,32349.0,Valances
100,2020-10-02,32349.0,Valances
101,2020-10-03,37278.0,Valances
102,2020-10-04,37278.0,Valances
103,2020-10-05,37278.0,Valances
104,2020-10-06,34195.0,Valances
105,2020-10-07,34195.0,Valances
106,2020-10-08,34195.0,Valances
107,2020-10-09,30650.0,Valances
108,2020-10-10,30650.0,Valances
109,2020-10-11,30650.0,Valances
110,2020-10-12,35116.0,Valances
111,2020-10-13,35116.0,Valances
112,2020-10-14,24165.0,Valances
113,2020-10-15,24165.0,Valances
114,2020-10-16,24165.0,Valances
115,2020-10-17,24165.0,Valances
116,2020-10-18,24165.0,Valances
117,2020-10-19,36974.0,Valances
118,2020-10-20,36974.0,Valances
119,2020-10-21,36192.0,Valances
120,2020-10-22,36192.0,Valances
121,2020-10-23,25712.0,Valances
122,2020-10-24,25712.0,Valances
123,2020-10-25,25712.0,Valances
124,2020-10-26,25712.0,Valances
125,2020-10-27,30310.0,Valances
126,2020-10-28,30310.0,Valances
127,2020-10-29,30310.0,Valances
128,2020-10-30,19865.0,Valances
129,2020-10-31,19865.0,Valances
130,2020-11-01,19865.0,Valances
131,2020-11-02,23013.0,Valances
132,2020-11-03,22407.0,Valances
133,2020-11-04,22407.0,Valances
134,2020-11-05,25837.0,Valances
135,2020-11-06,25837.0,Valances
136,2020-11-07,25837.0,Valances
137,2020-11-08,25837.0,Valances
138,2020-11-09,25837.0,Valances
139,2020-11-10,35890.0,Valances
140,2020-11-11,35493.0,Valances
141,2020-11-12,30257.0,Valances
142,2020-11-13,30257.0,Valances
143,2020-11-14,30257.0,Valances
144,2020-11-15,30257.0,Valances
145,2020-11-16,30257.0,Valances
146,2020-11-17,30257.0,Valances
147,2020-11-18,27229.0,Valances
148,2020-11-19,27229.0,Valances
149,2020-11-20,22808.0,Valances
150,2020-11-21,17671.0,Valances
151,2020-11-22,17671.0,Valances
152,2020-11-23,27669.0,Valances
153,2020-11-24,27669.0,Valances
154,2020-11-25,32020.0,Valances
155,2020-11-26,29097.0,Valances
156,2020-11-27,29097.0,Valances
157,2020-11-28,29097.0,Valances
158,2020-11-29,29097.0,Valances
159,2020-11-30,25154.0,Valances
160,2020-12-01,25154.0,Valances
161,2020-12-02,29096.0,Valances
162,2020-12-03,29096.0,Valances
163,2020-12-04,29096.0,Valances
164,2020-12-05,28829.0,Valances
165,2020-12-06,28829.0,Valances
166,2020-12-07,28829.0,Valances
167,2020-12-08,28829.0,Valances
168,2020-12-09,28829.0,Valances
169,2020-12-10,32755.0,Valances
170,2020-12-11,32200.0,Valances
171,2020-12-12,32200.0,Valances
172,2020-12-13,32200.0,Valances
173,2020-12-14,32200.0,Valances
174,2020-12-15,32200.0,Valances
175,2020-12-16,32200.0,Valances
176,2020-12-17,32200.0,Valances
177,2020-12-18,31771.0,Valances
178,2020-12-19,45440.0,Valances
179,2020-12-20,50129.0,Valances
180,2020-12-21,50129.0,Valances
181,2020-12-22,50129.0,Valances
182,2020-12-23,50129.0,Valances
183,2020-12-24,50129.0,Valances
184,2020-12-25,50129.0,Valances
185,2020-12-26,50129.0,Valances
186,2020-12-27,50129.0,Valances
187,2020-12-28,32725.0,Valances
188,2020-12-29,32725.0,Valances
189,2020-12-30,32725.0,Valances
190,2020-12-31,20815.0,Valances
191,2021-01-01,20815.0,Valances
192,2021-01-02,18071.0,Valances
193,2021-01-03,18071.0,Valances
194,2021-01-04,18071.0,Valances
195,2021-01-05,18071.0,Valances
196,2021-01-06,18071.0,Valances
197,2021-01-07,22221.0,Valances
198,2021-01-08,22221.0,Valances
199,2021-01-09,22221.0,Valances
200,2021-01-10,15151.0,Valances
201,2021-01-11,15151.0,Valances
202,2021-01-12,20101.0,Valances
203,2021-01-13,20101.0,Valances
204,2021-01-14,18151.0,Valances
205,2021-01-15,18151.0,Valances
206,2021-01-16,18151.0,Valances
207,2021-01-17,20350.0,Valances
208,2021-01-18,20350.0,Valances
209,2021-01-19,20350.0,Valances
210,2021-01-20,20350.0,Valances
211,2021-01-21,20350.0,Valances
212,2021-01-22,20350.0,Valances
213,2021-01-23,20422.0,Valances
