,date,value,name_B08SD3R64T
0,2021-01-11,1846.0,Dry
1,2021-01-12,1846.0,Dry
2,2021-01-13,1846.0,Dry
3,2021-01-14,2252.0,Dry
4,2021-01-15,2252.0,Dry
5,2021-01-16,2252.0,Dry
6,2021-01-17,2469.0,Dry
7,2021-01-18,2469.0,Dry
8,2021-01-19,2359.0,Dry
9,2021-01-20,2074.0,Dry
10,2021-01-21,1884.0,Dry
11,2021-01-22,1705.0,Dry
12,2021-01-23,1952.0,Dry
13,2021-01-24,1952.0,Dry
14,2021-01-25,1856.0,Dry
15,2021-01-26,1697.0,Dry
16,2021-01-27,1573.0,Dry
17,2021-01-28,1573.0,Dry
18,2021-01-29,1573.0,Dry
19,2021-01-30,1913.0,Dry
20,2021-01-31,1697.0,Dry
21,2021-02-01,1514.0,Dry
22,2021-02-02,1514.0,Dry
23,2021-02-03,1418.0,Dry
24,2021-02-04,1418.0,Dry
25,2021-02-05,1819.0,Dry
26,2021-02-06,1819.0,Dry
27,2021-02-07,1559.0,Dry
28,2021-02-08,1663.0,Dry
29,2021-02-09,1574.0,Dry
30,2021-02-10,1574.0,Dry
31,2021-02-11,1195.0,Dry
32,2021-02-12,1337.0,Dry
33,2021-02-13,1337.0,Dry
34,2021-02-14,1625.0,Dry
35,2021-02-15,1427.0,Dry
36,2021-02-16,1327.0,Dry
37,2021-02-17,1430.0,Dry
38,2021-02-18,1430.0,Dry
39,2021-02-19,1430.0,Dry
40,2021-02-20,1561.0,Dry
41,2021-02-21,1408.0,Dry
42,2021-02-22,1408.0,Dry
43,2021-02-23,1600.0,Dry
44,2021-02-24,1501.0,Dry
45,2021-02-25,1638.0,Dry
46,2021-02-26,1407.0,Dry
47,2021-02-27,1407.0,Dry
48,2021-02-28,1407.0,Dry
49,2021-03-01,1588.0,Dry
50,2021-03-02,1397.0,Dry
51,2021-03-03,1348.0,Dry
52,2021-03-04,1298.0,Dry
53,2021-03-05,1225.0,Dry
54,2021-03-06,1177.0,Dry
55,2021-03-07,1177.0,Dry
56,2021-03-08,1256.0,Dry
