,date,value,name_B086J9R9QC
0,2020-06-25,89202.0,Comforter Sets
1,2020-06-26,89202.0,Comforter Sets
2,2020-06-27,89202.0,Comforter Sets
3,2020-06-28,89202.0,Comforter Sets
4,2020-06-29,89202.0,Comforter Sets
5,2020-06-30,93678.0,Comforter Sets
6,2020-07-01,62265.0,Comforter Sets
7,2020-07-02,62265.0,Comforter Sets
8,2020-07-03,62265.0,Comforter Sets
9,2020-07-04,80451.0,Comforter Sets
10,2020-07-05,80451.0,Comforter Sets
11,2020-07-06,80451.0,Comforter Sets
12,2020-07-07,80451.0,Comforter Sets
13,2020-07-08,80451.0,Comforter Sets
14,2020-07-09,67484.0,Comforter Sets
15,2020-07-10,74886.0,Comforter Sets
16,2020-07-11,74886.0,Comforter Sets
17,2020-07-12,74886.0,Comforter Sets
18,2020-07-13,74886.0,Comforter Sets
19,2020-07-14,74886.0,Comforter Sets
20,2020-07-15,74886.0,Comforter Sets
21,2020-07-16,50868.0,Comforter Sets
22,2020-07-17,50868.0,Comforter Sets
23,2020-07-18,50868.0,Comforter Sets
24,2020-07-19,50868.0,Comforter Sets
25,2020-07-20,33646.0,Comforter Sets
26,2020-07-21,33646.0,Comforter Sets
27,2020-07-22,33646.0,Comforter Sets
28,2020-07-23,33646.0,Comforter Sets
29,2020-07-24,33646.0,Comforter Sets
30,2020-07-25,33646.0,Comforter Sets
31,2020-07-26,33646.0,Comforter Sets
32,2020-07-27,73336.0,Comforter Sets
33,2020-07-28,73336.0,Comforter Sets
34,2020-07-29,73336.0,Comforter Sets
35,2020-07-30,73336.0,Comforter Sets
36,2020-07-31,80333.0,Comforter Sets
37,2020-08-01,80333.0,Comforter Sets
38,2020-08-02,80333.0,Comforter Sets
39,2020-08-03,47017.0,Comforter Sets
40,2020-08-04,47017.0,Comforter Sets
41,2020-08-05,47017.0,Comforter Sets
42,2020-08-06,47017.0,Comforter Sets
43,2020-08-07,66170.0,Comforter Sets
44,2020-08-08,66170.0,Comforter Sets
45,2020-08-09,66170.0,Comforter Sets
46,2020-08-10,55827.0,Comforter Sets
47,2020-08-11,55827.0,Comforter Sets
48,2020-08-12,55827.0,Comforter Sets
49,2020-08-13,62619.0,Comforter Sets
50,2020-08-14,62619.0,Comforter Sets
51,2020-08-15,62619.0,Comforter Sets
52,2020-08-16,62619.0,Comforter Sets
53,2020-08-17,68259.0,Comforter Sets
54,2020-08-18,68259.0,Comforter Sets
55,2020-08-19,43608.0,Comforter Sets
56,2020-08-20,43608.0,Comforter Sets
57,2020-08-21,43608.0,Comforter Sets
58,2020-08-22,43608.0,Comforter Sets
59,2020-08-23,44586.0,Comforter Sets
60,2020-08-24,44586.0,Comforter Sets
61,2020-08-25,44586.0,Comforter Sets
62,2020-08-26,44586.0,Comforter Sets
63,2020-08-27,44586.0,Comforter Sets
64,2020-08-28,44586.0,Comforter Sets
65,2020-08-29,44586.0,Comforter Sets
66,2020-08-30,60361.0,Comforter Sets
67,2020-08-31,49397.0,Comforter Sets
68,2020-09-01,70377.0,Comforter Sets
69,2020-09-02,70377.0,Comforter Sets
70,2020-09-03,70377.0,Comforter Sets
71,2020-09-04,70377.0,Comforter Sets
72,2020-09-05,70377.0,Comforter Sets
73,2020-09-06,70377.0,Comforter Sets
74,2020-09-07,70377.0,Comforter Sets
75,2020-09-08,99637.0,Comforter Sets
76,2020-09-09,99637.0,Comforter Sets
77,2020-09-10,99637.0,Comforter Sets
78,2020-09-11,99637.0,Comforter Sets
79,2020-09-12,99637.0,Comforter Sets
80,2020-09-13,99637.0,Comforter Sets
81,2020-09-14,99637.0,Comforter Sets
82,2020-09-15,99637.0,Comforter Sets
83,2020-09-16,99637.0,Comforter Sets
84,2020-09-17,99637.0,Comforter Sets
85,2020-09-18,99637.0,Comforter Sets
86,2020-09-19,99637.0,Comforter Sets
87,2020-09-20,99637.0,Comforter Sets
88,2020-09-21,64996.0,Comforter Sets
89,2020-09-22,64996.0,Comforter Sets
90,2020-09-23,64996.0,Comforter Sets
91,2020-09-24,72728.0,Comforter Sets
92,2020-09-25,72728.0,Comforter Sets
93,2020-09-26,72728.0,Comforter Sets
94,2020-09-27,72728.0,Comforter Sets
95,2020-09-28,72728.0,Comforter Sets
96,2020-09-29,72728.0,Comforter Sets
97,2020-09-30,72728.0,Comforter Sets
98,2020-10-01,72728.0,Comforter Sets
99,2020-10-02,72728.0,Comforter Sets
100,2020-10-03,53870.0,Comforter Sets
101,2020-10-04,66502.0,Comforter Sets
102,2020-10-05,66502.0,Comforter Sets
103,2020-10-06,66502.0,Comforter Sets
104,2020-10-07,66502.0,Comforter Sets
105,2020-10-08,66502.0,Comforter Sets
106,2020-10-09,66502.0,Comforter Sets
107,2020-10-10,66502.0,Comforter Sets
108,2020-10-11,66502.0,Comforter Sets
109,2020-10-12,37735.0,Comforter Sets
110,2020-10-13,18237.0,Comforter Sets
111,2020-10-14,6225.0,Comforter Sets
112,2020-10-15,3875.0,Comforter Sets
113,2020-10-16,3875.0,Comforter Sets
114,2020-10-17,3875.0,Comforter Sets
115,2020-10-18,3875.0,Comforter Sets
116,2020-10-19,15806.0,Comforter Sets
117,2020-10-20,15806.0,Comforter Sets
118,2020-10-21,27303.0,Comforter Sets
119,2020-10-22,27303.0,Comforter Sets
120,2020-10-23,25748.0,Comforter Sets
121,2020-10-24,25748.0,Comforter Sets
122,2020-10-25,25748.0,Comforter Sets
123,2020-10-26,25748.0,Comforter Sets
124,2020-10-27,29496.0,Comforter Sets
125,2020-10-28,29496.0,Comforter Sets
126,2020-10-29,29496.0,Comforter Sets
127,2020-10-30,36363.0,Comforter Sets
128,2020-10-31,36363.0,Comforter Sets
129,2020-11-01,36363.0,Comforter Sets
130,2020-11-02,36363.0,Comforter Sets
131,2020-11-03,36363.0,Comforter Sets
132,2020-11-04,36363.0,Comforter Sets
133,2020-11-05,63482.0,Comforter Sets
134,2020-11-06,63482.0,Comforter Sets
135,2020-11-07,63482.0,Comforter Sets
136,2020-11-08,63482.0,Comforter Sets
137,2020-11-09,54836.0,Comforter Sets
138,2020-11-10,54836.0,Comforter Sets
139,2020-11-11,54836.0,Comforter Sets
140,2020-11-12,46556.0,Comforter Sets
141,2020-11-13,46556.0,Comforter Sets
142,2020-11-14,46556.0,Comforter Sets
143,2020-11-15,46556.0,Comforter Sets
144,2020-11-16,46556.0,Comforter Sets
145,2020-11-17,52809.0,Comforter Sets
146,2020-11-18,52809.0,Comforter Sets
147,2020-11-19,52809.0,Comforter Sets
148,2020-11-20,69694.0,Comforter Sets
149,2020-11-21,69694.0,Comforter Sets
150,2020-11-22,69694.0,Comforter Sets
151,2020-11-23,69694.0,Comforter Sets
152,2020-11-24,49476.0,Comforter Sets
